Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.6,14.9,10.9,0.525,0.035,207,0.001,27721
2,Sage,14.5,14.9,7.1,0.518,0.025,199,0.001,19685
3,Phoenix,17.1,15.7,5.0,0.509,0.031,237,0.002,24354
4,Sova,14.9,14.6,6.4,0.504,0.134,206,0.001,105706
5,Reyna,17.4,15.9,4.4,0.495,0.096,236,0.002,75965
6,Killjoy,14.9,14.5,3.5,0.495,0.095,202,0.001,75256
7,Cypher,15.0,14.7,4.9,0.494,0.03,200,0.001,23411
8,Jett,17.4,16.2,3.6,0.494,0.179,237,0.002,140805
9,Skye,14.5,15.4,7.9,0.492,0.03,199,0.001,23635
10,Viper,15.3,14.8,6.0,0.492,0.002,211,0.001,1574
11,Raze,16.5,16.1,4.9,0.492,0.039,235,0.002,30735
12,Astra,15.3,14.8,8.4,0.49,0.021,208,0.001,16288
13,Deadlock,15.3,15.1,3.8,0.489,0.038,218,0.001,30084
14,Omen,14.8,15.1,9.6,0.485,0.131,202,0.001,103650
15,Fade,14.8,15.2,6.9,0.479,0.013,200,0.001,10511
16,Chamber,16.5,15.3,2.7,0.477,0.032,218,0.002,25308
17,Neon,16.1,16.5,4.2,0.474,0.004,222,0.002,3058
18,Breach,14.6,15.5,7.7,0.4679999999999999,0.008,200,0.001,6176
19,Yoru,16.3,16.0,4.5,0.465,0.008,221,0.002,6624
20,KAY/O,14.6,15.6,9.7,0.457,0.042,205,0.001,33155
21,Gekko,14.3,15.2,4.8,0.4529999999999999,0.005,193,0.001,3861
22,Harbor,14.5,15.4,6.6,0.436,0.001,198,0.001,747
1,Phoenix,17.4,15.8,5.0,0.526,0.031,239,0.002,18013
2,Brimstone,14.7,15.0,11.1,0.519,0.031,207,0.001,18368
3,Sage,14.6,14.9,7.0,0.511,0.021,200,0.001,12018
4,Cypher,15.1,14.6,5.0,0.51,0.03,201,0.001,17562
5,Raze,16.6,16.2,5.1,0.506,0.036,236,0.002,21129
6,Reyna,17.5,15.9,4.4,0.503,0.0969999999999999,237,0.002,56768
7,Killjoy,15.0,14.5,3.5,0.5,0.0969999999999999,203,0.001,56805
8,Fade,14.9,15.0,7.0,0.498,0.012,203,0.001,7301
9,Astra,15.5,14.8,8.6,0.498,0.02,209,0.001,11762
10,Sova,14.9,14.6,6.4,0.498,0.143,207,0.001,83543
11,Viper,15.4,14.8,6.1,0.494,0.002,210,0.001,899
12,Jett,17.5,16.2,3.5,0.493,0.184,237,0.002,107735
13,Omen,14.9,15.1,9.8,0.49,0.135,203,0.001,78995
14,Skye,14.6,15.4,7.9,0.489,0.027,200,0.001,15766
15,Deadlock,15.3,15.1,3.8,0.486,0.038,239,0.001,22343
16,Yoru,16.1,15.9,4.5,0.482,0.008,221,0.002,4926
17,Chamber,16.5,15.3,2.6,0.477,0.031,218,0.002,18073
18,Neon,16.3,16.5,4.0,0.4679999999999999,0.003,223,0.002,1961
19,Breach,14.5,15.5,8.0,0.467,0.006,199,0.001,3621
20,Gekko,14.5,15.4,4.7,0.46,0.004,194,0.001,2225
21,KAY/O,14.6,15.6,9.8,0.4529999999999999,0.044,205,0.001,25682
22,Harbor,14.5,15.5,6.4,0.434,0.001,199,0.001,519
1,Brimstone,14.6,14.8,11.3,0.529,0.0289999999999999,207,0.001,10956
2,Phoenix,17.2,15.7,5.1,0.527,0.0289999999999999,238,0.002,10955
3,Sage,14.7,14.8,7.1,0.518,0.018,201,0.001,6747
4,Astra,15.2,14.7,8.8,0.514,0.019,207,0.001,7363
5,Sova,14.9,14.6,6.4,0.502,0.145,206,0.001,54975
6,Reyna,17.4,15.9,4.4,0.501,0.098,235,0.002,36880
7,Raze,16.5,16.1,5.0,0.498,0.034,235,0.002,12948
8,Jett,17.5,16.2,3.5,0.497,0.19,236,0.002,71681
9,Killjoy,15.1,14.5,3.5,0.496,0.1,204,0.001,37998
10,Skye,14.6,15.3,8.0,0.494,0.024,200,0.001,8921
11,Cypher,14.9,14.7,4.9,0.492,0.032,199,0.001,12086
12,Omen,14.9,15.1,9.9,0.49,0.138,203,0.001,52176
13,Fade,14.8,15.1,7.1,0.488,0.011,200,0.001,4252
14,Yoru,16.0,15.8,4.6,0.487,0.008,219,0.002,3181
15,Deadlock,15.4,15.2,3.8,0.484,0.038,221,0.001,14452
16,Viper,15.4,15.1,6.3,0.484,0.001,207,0.001,508
17,Breach,14.4,15.5,8.0,0.479,0.005,198,0.001,1885
18,Neon,16.1,16.4,4.1,0.47,0.003,222,0.002,1154
19,Chamber,16.5,15.4,2.6,0.4679999999999999,0.0289999999999999,218,0.002,10790
20,Gekko,14.4,15.3,5.0,0.457,0.003,193,0.001,1062
21,KAY/O,14.5,15.6,10.0,0.4539999999999999,0.045,203,0.001,16886
22,Harbor,14.4,15.6,6.7,0.428,0.001,198,0.001,278
