Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,17.4,15.8,5.0,0.526,0.031,239,0.002,18013
2,Brimstone,14.7,15.0,11.1,0.519,0.031,207,0.001,18368
3,Sage,14.6,14.9,7.0,0.511,0.021,200,0.001,12018
4,Cypher,15.1,14.6,5.0,0.51,0.03,201,0.001,17562
5,Raze,16.6,16.2,5.1,0.506,0.036000000000000004,236,0.002,21129
6,Reyna,17.5,15.9,4.4,0.503,0.09699999999999999,237,0.002,56768
7,Killjoy,15.0,14.5,3.5,0.5,0.09699999999999999,203,0.001,56805
8,Fade,14.9,15.0,7.0,0.498,0.012,203,0.001,7301
9,Astra,15.5,14.8,8.6,0.498,0.02,209,0.001,11762
10,Sova,14.9,14.6,6.4,0.498,0.14300000000000002,207,0.001,83543
11,Viper,15.4,14.8,6.1,0.494,0.002,210,0.001,899
12,Jett,17.5,16.2,3.5,0.493,0.184,237,0.002,107735
13,Omen,14.9,15.1,9.8,0.49,0.135,203,0.001,78995
14,Skye,14.6,15.4,7.9,0.489,0.027000000000000003,200,0.001,15766
15,Deadlock,15.3,15.1,3.8,0.486,0.038,239,0.001,22343
16,Yoru,16.1,15.9,4.5,0.48200000000000004,0.008,221,0.002,4926
17,Chamber,16.5,15.3,2.6,0.47700000000000004,0.031,218,0.002,18073
18,Neon,16.3,16.5,4.0,0.46799999999999997,0.003,223,0.002,1961
19,Breach,14.5,15.5,8.0,0.467,0.006,199,0.001,3621
20,Gekko,14.5,15.4,4.7,0.46,0.004,194,0.001,2225
21,KAY/O,14.6,15.6,9.8,0.45299999999999996,0.044000000000000004,205,0.001,25682
22,Harbor,14.5,15.5,6.4,0.434,0.001,199,0.001,519
