Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,14.2,14.8,6.7,0.518,0.04,193,0.001,31537
2,Brimstone,14.7,14.9,8.8,0.505,0.123,205,0.001,96922
3,Viper,15.7,14.8,5.6,0.503,0.0139999999999999,215,0.001,11415
4,Reyna,17.8,15.6,4.1,0.5,0.08,241,0.002,63317
5,Phoenix,17.2,15.6,4.3,0.499,0.02,236,0.002,15977
6,Skye,14.6,15.1,7.7,0.496,0.124,197,0.001,98252
7,Sova,14.9,14.7,5.8,0.496,0.033,205,0.001,26238
8,Deadlock,15.4,15.1,3.8,0.495,0.045,210,0.001,35184
9,Raze,17.0,16.2,4.7,0.494,0.135,242,0.002,106995
10,Cypher,14.6,14.6,4.5,0.491,0.057,194,0.001,45046
11,Fade,14.7,15.0,6.5,0.491,0.019,200,0.001,14909
12,Chamber,16.3,15.0,2.6,0.49,0.0559999999999999,215,0.002,44570
13,Jett,17.5,16.1,3.4,0.488,0.118,237,0.002,93519
14,Gekko,14.4,15.1,4.6,0.488,0.01,192,0.001,7960
15,Yoru,16.7,15.9,4.2,0.486,0.0139999999999999,227,0.002,11266
16,Neon,16.2,16.5,4.1,0.48,0.004,223,0.002,3044
17,Killjoy,14.4,14.5,3.3,0.479,0.031,196,0.001,24783
18,Astra,15.1,14.8,6.9,0.475,0.013,204,0.001,10500
19,Omen,14.9,15.3,7.6,0.465,0.042,202,0.001,33197
20,Breach,14.5,15.5,7.1,0.4629999999999999,0.009,199,0.001,6840
21,KAY/O,14.3,15.6,9.1,0.436,0.008,202,0.001,6233
22,Harbor,14.1,15.3,5.9,0.425,0.003,192,0.001,2434
1,Sage,14.3,14.9,6.8,0.519,0.036,194,0.001,21333
2,Phoenix,17.4,15.6,4.4,0.509,0.019,237,0.002,10901
3,Brimstone,14.8,14.9,8.9,0.504,0.129,205,0.001,75794
4,Reyna,17.8,15.7,4.1,0.499,0.077,241,0.002,45180
5,Skye,14.5,15.1,7.7,0.499,0.13,197,0.001,76111
6,Gekko,14.6,15.1,4.6,0.498,0.009,194,0.001,4998
7,Cypher,14.6,14.6,4.4,0.494,0.059,194,0.001,34429
8,Raze,17.1,16.2,4.7,0.494,0.138,244,0.002,80897
9,Viper,15.8,14.8,5.5,0.494,0.013,216,0.001,7663
10,Deadlock,15.4,15.1,3.8,0.492,0.044,213,0.001,26094
11,Jett,17.6,16.1,3.4,0.49,0.123,238,0.002,72001
12,Sova,14.9,14.7,5.7,0.49,0.034,204,0.001,20032
13,Chamber,16.3,15.0,2.5,0.489,0.0579999999999999,214,0.002,33824
14,Killjoy,14.5,14.4,3.3,0.488,0.0289999999999999,197,0.001,16841
15,Fade,14.7,15.1,6.6,0.488,0.018,199,0.001,10646
16,Yoru,16.7,15.9,4.2,0.487,0.015,228,0.002,8657
17,Neon,16.2,16.3,4.0,0.482,0.003,225,0.002,2009
18,Astra,15.3,14.9,7.0,0.47,0.013,206,0.001,7463
19,Omen,14.9,15.3,7.8,0.467,0.038,203,0.001,22569
20,Breach,14.4,15.4,7.3,0.467,0.0069999999999999,197,0.001,4006
21,KAY/O,14.7,15.6,9.1,0.434,0.006,205,0.001,3692
22,Harbor,14.4,15.4,6.1,0.43,0.003,196,0.001,1702
1,Sage,14.3,14.9,6.8,0.521,0.035,194,0.001,13117
2,Neon,16.5,16.0,3.9,0.518,0.003,228,0.002,1219
3,Viper,15.8,14.8,5.7,0.51,0.0139999999999999,216,0.001,5208
4,Reyna,17.9,15.7,4.1,0.508,0.075,241,0.002,28187
5,Phoenix,17.3,15.5,4.4,0.508,0.017,237,0.002,6329
6,Brimstone,14.8,14.9,9.0,0.503,0.134,205,0.001,50857
7,Skye,14.5,15.0,7.7,0.501,0.132,196,0.001,50018
8,Astra,15.1,14.7,7.1,0.5,0.013,203,0.001,4792
9,Yoru,16.7,15.9,4.3,0.499,0.015,228,0.002,5625
10,Raze,17.1,16.2,4.7,0.499,0.139,243,0.002,52748
11,Sova,15.0,14.7,5.8,0.498,0.033,206,0.001,12571
12,Gekko,14.6,15.1,4.6,0.498,0.0069999999999999,193,0.001,2823
13,Jett,17.6,16.1,3.4,0.497,0.126,237,0.002,47738
14,Cypher,14.7,14.6,4.4,0.496,0.062,195,0.001,23346
15,Deadlock,15.5,15.1,3.8,0.49,0.046,207,0.001,17503
16,Fade,14.8,15.1,6.6,0.489,0.017,200,0.001,6305
17,Chamber,16.4,15.0,2.5,0.488,0.0579999999999999,215,0.002,21819
18,Killjoy,14.6,14.5,3.2,0.484,0.026,196,0.001,9785
19,Harbor,14.3,15.3,6.3,0.476,0.003,190,0.001,977
20,Omen,15.1,15.3,7.9,0.475,0.034,204,0.001,12874
21,Breach,14.7,15.4,7.5,0.474,0.006,200,0.001,2351
22,KAY/O,14.5,15.7,9.3,0.452,0.005,203,0.001,2023
