Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,14.2,14.8,6.7,0.518,0.04,193,0.001,31537
2,Brimstone,14.7,14.9,8.8,0.505,0.12300000000000001,205,0.001,96922
3,Viper,15.7,14.8,5.6,0.503,0.013999999999999999,215,0.001,11415
4,Reyna,17.8,15.6,4.1,0.5,0.08,241,0.002,63317
5,Phoenix,17.2,15.6,4.3,0.499,0.02,236,0.002,15977
6,Skye,14.6,15.1,7.7,0.496,0.124,197,0.001,98252
7,Sova,14.9,14.7,5.8,0.496,0.033,205,0.001,26238
8,Deadlock,15.4,15.1,3.8,0.495,0.045,210,0.001,35184
9,Raze,17.0,16.2,4.7,0.494,0.135,242,0.002,106995
10,Cypher,14.6,14.6,4.5,0.491,0.057,194,0.001,45046
11,Fade,14.7,15.0,6.5,0.491,0.019,200,0.001,14909
12,Chamber,16.3,15.0,2.6,0.49,0.055999999999999994,215,0.002,44570
13,Jett,17.5,16.1,3.4,0.488,0.11800000000000001,237,0.002,93519
14,Gekko,14.4,15.1,4.6,0.488,0.01,192,0.001,7960
15,Yoru,16.7,15.9,4.2,0.486,0.013999999999999999,227,0.002,11266
16,Neon,16.2,16.5,4.1,0.48,0.004,223,0.002,3044
17,Killjoy,14.4,14.5,3.3,0.479,0.031,196,0.001,24783
18,Astra,15.1,14.8,6.9,0.475,0.013000000000000001,204,0.001,10500
19,Omen,14.9,15.3,7.6,0.465,0.042,202,0.001,33197
20,Breach,14.5,15.5,7.1,0.46299999999999997,0.009000000000000001,199,0.001,6840
21,KAY/O,14.3,15.6,9.1,0.436,0.008,202,0.001,6233
22,Harbor,14.1,15.3,5.9,0.425,0.003,192,0.001,2434
