Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,17.2,15.4,4.6,0.512,0.016,236,0.002,12260
2,Killjoy,15.0,14.4,3.5,0.507,0.071,203,0.001,55552
3,Reyna,17.7,15.6,4.3,0.504,0.088,241,0.002,68476
4,Brimstone,14.7,14.8,9.7,0.503,0.143,206,0.001,111611
5,Skye,14.4,15.1,7.5,0.498,0.03,197,0.001,23354
6,Sage,14.2,14.9,6.7,0.497,0.027,194,0.001,20631
7,Cypher,15.1,14.7,4.6,0.495,0.045,203,0.001,34693
8,Raze,16.8,16.0,4.6,0.494,0.084,237,0.002,65025
9,Jett,17.5,16.0,3.6,0.49,0.151,239,0.002,117722
10,Sova,14.8,14.8,5.7,0.489,0.006,205,0.001,4602
11,Deadlock,15.4,15.1,3.8,0.489,0.039,212,0.001,30508
12,Gekko,14.3,15.2,4.6,0.488,0.01,191,0.001,8113
13,Breach,14.3,15.3,7.7,0.487,0.13,195,0.001,101515
14,Astra,15.3,14.7,6.9,0.485,0.009,206,0.001,7030
15,Yoru,16.1,15.7,4.3,0.484,0.009,221,0.002,7291
16,Neon,16.7,16.5,4.3,0.484,0.019,231,0.002,14624
17,Chamber,16.7,15.1,2.7,0.483,0.049,221,0.002,37997
18,Fade,14.6,15.1,6.2,0.481,0.021,198,0.001,15971
19,Viper,14.9,15.0,5.8,0.4679999999999999,0.02,205,0.001,15573
20,KAY/O,14.6,15.6,9.5,0.4539999999999999,0.015,204,0.001,11311
21,Omen,14.7,15.3,7.5,0.446,0.016,201,0.001,12133
22,Harbor,13.8,15.4,6.3,0.409,0.003,190,0.001,2183
1,Phoenix,17.1,15.4,4.6,0.507,0.0139999999999999,235,0.002,8226
2,Brimstone,14.8,14.8,9.8,0.505,0.15,206,0.001,86889
3,Killjoy,15.1,14.4,3.5,0.503,0.073,204,0.001,42250
4,Reyna,17.7,15.6,4.3,0.502,0.086,241,0.002,49478
5,Raze,16.9,15.9,4.5,0.501,0.088,238,0.002,50782
6,Sage,14.4,14.9,6.7,0.5,0.023,196,0.001,13526
7,Jett,17.5,16.0,3.5,0.499,0.157,239,0.002,90647
8,Skye,14.6,15.2,7.5,0.497,0.026,198,0.001,14750
9,Sova,15.0,14.8,5.8,0.496,0.005,207,0.001,3108
10,Gekko,14.2,15.0,4.6,0.492,0.009,191,0.001,5285
11,Breach,14.3,15.3,7.8,0.492,0.138,194,0.001,79686
12,Cypher,15.2,14.7,4.6,0.49,0.046,203,0.001,26806
13,Deadlock,15.5,15.1,3.8,0.485,0.038,208,0.001,21908
14,Viper,15.0,14.9,5.8,0.484,0.017,205,0.001,9964
15,Chamber,16.7,15.1,2.7,0.482,0.047,220,0.002,27227
16,Fade,14.7,15.0,6.3,0.481,0.019,199,0.001,10958
17,Neon,16.6,16.5,4.2,0.477,0.019,229,0.002,10702
18,Yoru,16.0,15.7,4.3,0.474,0.009,219,0.002,5469
19,Astra,15.3,14.9,7.0,0.4639999999999999,0.008,206,0.001,4807
20,KAY/O,14.4,15.5,9.5,0.4529999999999999,0.013,202,0.001,7478
21,Omen,14.8,15.3,7.5,0.449,0.012,201,0.001,6844
22,Harbor,14.3,15.3,6.1,0.3829999999999999,0.002,194,0.001,1383
1,Phoenix,17.1,15.3,4.6,0.519,0.013,237,0.002,4792
2,Sage,14.5,14.8,6.7,0.516,0.021,197,0.001,7876
3,Killjoy,15.2,14.4,3.4,0.511,0.076,206,0.001,28270
4,Reyna,17.8,15.6,4.2,0.511,0.083,241,0.002,31165
5,Brimstone,14.8,14.8,9.9,0.507,0.156,206,0.001,58255
6,Neon,16.5,16.4,4.4,0.501,0.018,229,0.002,6821
7,Jett,17.5,16.0,3.5,0.501,0.162,238,0.002,60374
8,Raze,16.8,15.9,4.5,0.5,0.091,237,0.002,34153
9,Deadlock,15.7,15.1,3.8,0.499,0.038,210,0.001,14227
10,Chamber,16.7,15.0,2.6,0.496,0.045,220,0.002,16830
11,Cypher,15.4,14.7,4.5,0.496,0.049,205,0.001,18222
12,Gekko,14.1,14.9,4.7,0.494,0.0069999999999999,191,0.001,2648
13,Breach,14.3,15.2,7.9,0.493,0.143,194,0.001,53553
14,Skye,14.6,15.1,7.5,0.493,0.022,198,0.001,8064
15,Fade,14.6,14.9,6.2,0.482,0.017,199,0.001,6408
16,Viper,15.2,14.9,5.7,0.481,0.015,208,0.001,5581
17,Yoru,15.9,15.8,4.4,0.479,0.009,219,0.002,3338
18,Sova,14.9,14.9,6.0,0.472,0.005,205,0.001,1879
19,KAY/O,14.7,15.5,9.6,0.452,0.011,207,0.001,4208
20,Omen,14.9,15.3,7.6,0.451,0.01,204,0.001,3555
21,Harbor,13.3,15.2,6.5,0.427,0.002,181,0.001,736
22,Astra,15.1,14.8,6.8,0.422,0.0069999999999999,204,0.001,2796
