Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,17.1,15.4,4.6,0.507,0.013999999999999999,235,0.002,8226
2,Brimstone,14.8,14.8,9.8,0.505,0.15,206,0.001,86889
3,Killjoy,15.1,14.4,3.5,0.503,0.073,204,0.001,42250
4,Reyna,17.7,15.6,4.3,0.502,0.086,241,0.002,49478
5,Raze,16.9,15.9,4.5,0.501,0.08800000000000001,238,0.002,50782
6,Sage,14.4,14.9,6.7,0.5,0.023,196,0.001,13526
7,Jett,17.5,16.0,3.5,0.499,0.157,239,0.002,90647
8,Skye,14.6,15.2,7.5,0.49700000000000005,0.026000000000000002,198,0.001,14750
9,Sova,15.0,14.8,5.8,0.496,0.005,207,0.001,3108
10,Gekko,14.2,15.0,4.6,0.49200000000000005,0.009000000000000001,191,0.001,5285
11,Breach,14.3,15.3,7.8,0.49200000000000005,0.138,194,0.001,79686
12,Cypher,15.2,14.7,4.6,0.49,0.046,203,0.001,26806
13,Deadlock,15.5,15.1,3.8,0.485,0.038,208,0.001,21908
14,Viper,15.0,14.9,5.8,0.484,0.017,205,0.001,9964
15,Chamber,16.7,15.1,2.7,0.48200000000000004,0.047,220,0.002,27227
16,Fade,14.7,15.0,6.3,0.48100000000000004,0.019,199,0.001,10958
17,Neon,16.6,16.5,4.2,0.47700000000000004,0.019,229,0.002,10702
18,Yoru,16.0,15.7,4.3,0.474,0.009000000000000001,219,0.002,5469
19,Astra,15.3,14.9,7.0,0.46399999999999997,0.008,206,0.001,4807
20,KAY/O,14.4,15.5,9.5,0.45299999999999996,0.013000000000000001,202,0.001,7478
21,Omen,14.8,15.3,7.5,0.449,0.012,201,0.001,6844
22,Harbor,14.3,15.3,6.1,0.38299999999999995,0.002,194,0.001,1383
