Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.6,15.0,9.8,0.512,0.033,205,0.001,26228
2,Phoenix,17.2,15.8,4.8,0.505,0.038,237,0.002,30122
3,Sage,14.4,15.1,6.9,0.503,0.034,197,0.001,26519
4,Fade,14.6,15.1,6.9,0.499,0.0139999999999999,200,0.001,10895
5,Reyna,17.5,15.9,4.4,0.499,0.1,239,0.002,79246
6,Sova,14.8,14.7,5.8,0.499,0.104,204,0.001,81977
7,Raze,16.7,16.0,4.6,0.498,0.04,236,0.002,31279
8,Killjoy,15.2,14.6,3.3,0.497,0.069,205,0.001,54675
9,Skye,14.5,15.3,7.8,0.497,0.059,198,0.001,46522
10,Cypher,15.2,14.8,4.6,0.496,0.04,203,0.001,31817
11,Jett,17.4,16.1,3.5,0.492,0.175,236,0.002,138120
12,Omen,14.8,15.1,8.6,0.489,0.135,202,0.001,106905
13,Deadlock,15.3,15.2,3.8,0.488,0.036,236,0.001,28144
14,Astra,15.1,14.8,7.4,0.486,0.019,203,0.001,15046
15,Yoru,16.1,15.9,4.5,0.485,0.009,219,0.002,7491
16,Viper,15.2,14.9,6.1,0.484,0.002,208,0.001,1541
17,Gekko,14.5,15.2,5.0,0.478,0.008,196,0.001,5966
18,Breach,14.5,15.4,7.9,0.476,0.025,199,0.001,19396
19,Chamber,16.4,15.2,2.7,0.476,0.044,218,0.002,35139
20,Neon,16.0,16.7,4.1,0.4639999999999999,0.005,220,0.002,4240
21,KAY/O,14.5,15.7,9.5,0.431,0.01,204,0.001,8188
22,Harbor,14.3,15.7,6.4,0.418,0.001,196,0.001,797
1,Brimstone,14.7,14.9,10.1,0.529,0.031,206,0.001,17941
2,Sage,14.6,15.1,7.0,0.514,0.0279999999999999,199,0.001,16259
3,Gekko,14.6,15.2,5.0,0.512,0.006,197,0.001,3463
4,Phoenix,17.3,15.8,4.8,0.505,0.038,238,0.002,21999
5,Raze,16.7,16.0,4.7,0.504,0.038,237,0.002,22169
6,Killjoy,15.3,14.7,3.3,0.503,0.074,206,0.001,43103
7,Sova,14.9,14.7,5.9,0.5,0.1119999999999999,205,0.001,65760
8,Reyna,17.6,15.9,4.4,0.496,0.1,239,0.002,58390
9,Skye,14.6,15.3,7.8,0.495,0.057,199,0.001,33116
10,Jett,17.3,16.1,3.5,0.493,0.181,236,0.002,106192
11,Cypher,15.2,14.8,4.6,0.493,0.0409999999999999,203,0.001,24071
12,Astra,15.2,14.7,7.5,0.493,0.018,205,0.001,10808
13,Fade,14.7,15.1,7.0,0.491,0.012,201,0.001,7171
14,Viper,15.4,14.6,5.8,0.489,0.002,215,0.001,1051
15,Omen,14.8,15.1,8.7,0.489,0.138,202,0.001,81015
16,Deadlock,15.5,15.2,3.8,0.487,0.034,214,0.001,19887
17,Chamber,16.6,15.2,2.6,0.484,0.042,219,0.002,24822
18,Breach,14.5,15.4,8.0,0.481,0.024,199,0.001,14205
19,Neon,16.1,16.6,4.2,0.479,0.005,223,0.002,2921
20,Yoru,16.1,15.9,4.5,0.478,0.01,220,0.002,5737
21,KAY/O,14.7,15.7,9.8,0.4429999999999999,0.009,208,0.001,5224
22,Harbor,14.5,15.5,6.6,0.424,0.001,197,0.001,668
1,Brimstone,14.5,14.9,10.1,0.523,0.027,205,0.001,10374
2,Phoenix,17.3,15.7,4.8,0.511,0.037,238,0.002,13945
3,Killjoy,15.4,14.6,3.3,0.506,0.078,207,0.001,29497
4,Sage,14.7,15.1,6.9,0.505,0.024,201,0.001,9053
5,Raze,16.8,16.1,4.7,0.504,0.036,238,0.002,13607
6,Viper,15.4,14.8,6.2,0.502,0.002,213,0.001,603
7,Yoru,16.0,15.8,4.6,0.5,0.009,218,0.002,3573
8,Sova,14.8,14.7,5.9,0.498,0.118,204,0.001,44602
9,Skye,14.5,15.2,7.8,0.495,0.053,198,0.001,20020
10,Jett,17.4,16.1,3.5,0.495,0.186,235,0.002,70264
11,Reyna,17.4,15.8,4.3,0.494,0.1009999999999999,237,0.002,38155
12,Cypher,15.3,14.8,4.6,0.494,0.043,204,0.001,16176
13,Deadlock,15.5,15.2,3.7,0.493,0.034,216,0.001,12753
14,Fade,14.7,15.1,7.0,0.493,0.011,201,0.001,4184
15,Omen,14.8,15.1,8.9,0.492,0.14,201,0.001,53012
16,Astra,15.3,14.8,7.6,0.492,0.019,204,0.001,7244
17,Breach,14.5,15.3,8.1,0.489,0.023,199,0.001,8770
18,Neon,16.5,16.7,4.3,0.485,0.004,225,0.002,1650
19,Gekko,14.5,15.5,5.1,0.481,0.005,194,0.001,1883
20,Chamber,16.5,15.2,2.6,0.475,0.0409999999999999,219,0.002,15618
21,KAY/O,14.7,15.8,10.0,0.441,0.0069999999999999,206,0.001,2753
22,Harbor,14.3,15.1,6.2,0.435,0.001,197,0.001,340
