Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.7,14.9,10.1,0.529,0.031,206,0.001,17941
2,Sage,14.6,15.1,7.0,0.514,0.027999999999999997,199,0.001,16259
3,Gekko,14.6,15.2,5.0,0.512,0.006,197,0.001,3463
4,Phoenix,17.3,15.8,4.8,0.505,0.038,238,0.002,21999
5,Raze,16.7,16.0,4.7,0.504,0.038,237,0.002,22169
6,Killjoy,15.3,14.7,3.3,0.503,0.07400000000000001,206,0.001,43103
7,Sova,14.9,14.7,5.9,0.5,0.11199999999999999,205,0.001,65760
8,Reyna,17.6,15.9,4.4,0.496,0.1,239,0.002,58390
9,Skye,14.6,15.3,7.8,0.495,0.057,199,0.001,33116
10,Jett,17.3,16.1,3.5,0.493,0.18100000000000002,236,0.002,106192
11,Cypher,15.2,14.8,4.6,0.493,0.040999999999999995,203,0.001,24071
12,Astra,15.2,14.7,7.5,0.493,0.018000000000000002,205,0.001,10808
13,Fade,14.7,15.1,7.0,0.491,0.012,201,0.001,7171
14,Viper,15.4,14.6,5.8,0.489,0.002,215,0.001,1051
15,Omen,14.8,15.1,8.7,0.489,0.138,202,0.001,81015
16,Deadlock,15.5,15.2,3.8,0.48700000000000004,0.034,214,0.001,19887
17,Chamber,16.6,15.2,2.6,0.484,0.042,219,0.002,24822
18,Breach,14.5,15.4,8.0,0.48100000000000004,0.024,199,0.001,14205
19,Neon,16.1,16.6,4.2,0.479,0.005,223,0.002,2921
20,Yoru,16.1,15.9,4.5,0.478,0.01,220,0.002,5737
21,KAY/O,14.7,15.7,9.8,0.44299999999999995,0.009000000000000001,208,0.001,5224
22,Harbor,14.5,15.5,6.6,0.424,0.001,197,0.001,668
