Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.7,14.9,9.7,0.518,0.024,206,0.001,18424
2,Killjoy,15.1,14.4,3.4,0.505,0.076,205,0.001,59422
3,Sage,14.3,15.0,6.9,0.502,0.021,196,0.001,16628
4,Skye,14.4,15.1,8.6,0.501,0.074,197,0.001,57771
5,Phoenix,17.2,15.6,4.6,0.5,0.017,236,0.001,13294
6,Gekko,14.4,15.1,4.8,0.499,0.045,191,0.001,34926
7,Raze,17.0,16.0,4.7,0.499,0.102,242,0.002,79420
8,Reyna,17.6,15.7,4.3,0.499,0.087,239,0.002,67455
9,Viper,15.5,14.8,6.0,0.496,0.011,213,0.001,8706
10,Omen,14.9,15.2,8.3,0.493,0.12,203,0.001,93277
11,Astra,15.3,14.8,7.1,0.493,0.025,205,0.001,19644
12,Jett,17.5,16.1,3.5,0.493,0.142,238,0.002,110490
13,Chamber,16.7,15.0,2.6,0.492,0.069,222,0.002,53372
14,Deadlock,15.5,15.1,3.8,0.486,0.04,221,0.001,30777
15,Fade,14.7,15.1,6.7,0.486,0.017,199,0.001,12903
16,Breach,14.4,15.4,7.8,0.482,0.0579999999999999,196,0.001,45165
17,Cypher,15.0,14.8,4.5,0.482,0.021,201,0.001,15973
18,Harbor,14.4,15.2,6.7,0.474,0.015,194,0.001,11864
19,Yoru,16.1,15.9,4.3,0.471,0.01,221,0.002,7553
20,Neon,16.2,16.5,4.3,0.471,0.01,226,0.002,7904
21,Sova,14.9,14.8,5.8,0.466,0.009,208,0.001,6639
22,KAY/O,14.5,15.6,9.9,0.4579999999999999,0.008,205,0.001,6565
1,Brimstone,14.7,14.8,9.9,0.521,0.021,207,0.001,12252
2,Phoenix,17.2,15.5,4.7,0.52,0.015,237,0.002,8926
3,Sage,14.5,15.0,7.0,0.517,0.017,198,0.001,10093
4,Skye,14.4,15.0,8.7,0.507,0.077,197,0.001,44602
5,Killjoy,15.2,14.4,3.4,0.506,0.08,205,0.001,46302
6,Viper,15.6,14.7,5.9,0.504,0.01,214,0.001,5705
7,Raze,17.0,16.0,4.7,0.504,0.105,241,0.002,60887
8,Reyna,17.7,15.7,4.3,0.497,0.084,239,0.002,48604
9,Deadlock,15.5,15.1,3.8,0.496,0.039,226,0.001,22736
10,Gekko,14.4,15.1,4.9,0.494,0.045,192,0.001,25799
11,Jett,17.5,16.1,3.5,0.494,0.146,238,0.002,84456
12,Omen,14.9,15.2,8.4,0.493,0.123,203,0.001,71410
13,Astra,15.2,14.7,7.2,0.492,0.025,204,0.001,14660
14,Cypher,15.2,14.8,4.6,0.491,0.019,203,0.001,11073
15,Sova,15.0,14.8,6.0,0.488,0.008,207,0.001,4507
16,Breach,14.3,15.4,7.9,0.484,0.06,194,0.001,34559
17,Chamber,16.8,15.1,2.6,0.481,0.069,222,0.002,39785
18,Fade,14.8,15.1,6.8,0.479,0.016,200,0.001,9035
19,Yoru,16.4,15.9,4.4,0.474,0.01,224,0.002,5646
20,Neon,16.5,16.6,4.3,0.473,0.01,228,0.002,5789
21,Harbor,14.4,15.2,6.7,0.469,0.015,195,0.001,8686
22,KAY/O,14.6,15.5,9.9,0.4529999999999999,0.0069999999999999,206,0.001,4095
1,Brimstone,14.7,14.8,10.1,0.539,0.019,207,0.001,7246
2,Sage,14.5,14.8,6.8,0.52,0.015,199,0.001,5697
3,Phoenix,17.4,15.5,4.8,0.516,0.0139999999999999,239,0.002,5245
4,Killjoy,15.2,14.4,3.4,0.51,0.084,205,0.001,31460
5,Raze,17.0,16.0,4.6,0.508,0.107,242,0.002,39745
6,Astra,15.3,14.7,7.4,0.506,0.025,205,0.001,9462
7,Sova,15.0,14.6,6.3,0.505,0.0069999999999999,209,0.001,2584
8,Viper,15.7,14.7,6.0,0.501,0.01,215,0.001,3570
9,Jett,17.5,16.2,3.5,0.5,0.15,238,0.002,55898
10,Deadlock,15.7,15.0,3.8,0.499,0.039,243,0.001,14573
11,Skye,14.3,15.0,8.7,0.499,0.078,196,0.001,29221
12,Reyna,17.6,15.7,4.2,0.498,0.081,239,0.002,30293
13,Gekko,14.2,15.0,4.8,0.498,0.0409999999999999,190,0.001,15378
14,Cypher,15.1,14.8,4.5,0.494,0.019,202,0.001,7005
15,Omen,14.9,15.1,8.5,0.494,0.128,202,0.001,47538
16,Chamber,16.7,15.1,2.5,0.489,0.069,221,0.002,25614
17,Fade,14.9,14.9,6.9,0.485,0.0139999999999999,202,0.001,5381
18,Yoru,16.3,16.0,4.4,0.484,0.009,222,0.002,3421
19,Breach,14.3,15.3,8.0,0.483,0.061,195,0.001,22554
20,Harbor,14.4,15.1,6.8,0.475,0.013,195,0.001,4954
21,Neon,16.6,16.8,4.3,0.47,0.01,228,0.002,3629
22,KAY/O,14.8,15.5,10.2,0.457,0.006,208,0.001,2281
