Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.7,14.8,9.9,0.521,0.021,207,0.001,12252
2,Phoenix,17.2,15.5,4.7,0.52,0.015,237,0.002,8926
3,Sage,14.5,15.0,7.0,0.517,0.017,198,0.001,10093
4,Skye,14.4,15.0,8.7,0.507,0.077,197,0.001,44602
5,Killjoy,15.2,14.4,3.4,0.506,0.08,205,0.001,46302
6,Viper,15.6,14.7,5.9,0.504,0.01,214,0.001,5705
7,Raze,17.0,16.0,4.7,0.504,0.105,241,0.002,60887
8,Reyna,17.7,15.7,4.3,0.49700000000000005,0.084,239,0.002,48604
9,Deadlock,15.5,15.1,3.8,0.496,0.039,226,0.001,22736
10,Gekko,14.4,15.1,4.9,0.494,0.045,192,0.001,25799
11,Jett,17.5,16.1,3.5,0.494,0.146,238,0.002,84456
12,Omen,14.9,15.2,8.4,0.493,0.12300000000000001,203,0.001,71410
13,Astra,15.2,14.7,7.2,0.49200000000000005,0.025,204,0.001,14660
14,Cypher,15.2,14.8,4.6,0.491,0.019,203,0.001,11073
15,Sova,15.0,14.8,6.0,0.488,0.008,207,0.001,4507
16,Breach,14.3,15.4,7.9,0.484,0.06,194,0.001,34559
17,Chamber,16.8,15.1,2.6,0.48100000000000004,0.069,222,0.002,39785
18,Fade,14.8,15.1,6.8,0.479,0.016,200,0.001,9035
19,Yoru,16.4,15.9,4.4,0.474,0.01,224,0.002,5646
20,Neon,16.5,16.6,4.3,0.473,0.01,228,0.002,5789
21,Harbor,14.4,15.2,6.7,0.469,0.015,195,0.001,8686
22,KAY/O,14.6,15.5,9.9,0.45299999999999996,0.006999999999999999,206,0.001,4095
