Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,14.1,15.0,6.9,0.512,0.026,196,0.001,20096
2,Phoenix,17.3,15.7,4.9,0.511,0.042,241,0.002,32652
3,Brimstone,14.5,14.9,9.3,0.51,0.024,205,0.001,18508
4,Killjoy,15.1,14.5,3.6,0.507,0.061,206,0.001,47111
5,Astra,15.1,14.5,7.2,0.502,0.075,205,0.001,58576
6,Skye,14.5,15.2,8.1,0.5,0.078,198,0.001,60435
7,Raze,16.5,16.0,4.8,0.496,0.034,236,0.002,26594
8,Cypher,14.9,14.7,4.6,0.496,0.04,201,0.001,30818
9,Fade,14.7,15.2,6.6,0.496,0.052,200,0.001,40220
10,Deadlock,15.5,15.2,3.9,0.494,0.037,217,0.001,28575
11,Reyna,17.6,15.8,4.3,0.494,0.0969999999999999,241,0.002,75307
12,Gekko,14.4,15.1,5.0,0.493,0.039,194,0.001,30012
13,Jett,17.2,16.0,3.5,0.492,0.172,235,0.002,133511
14,Viper,15.1,14.8,6.2,0.492,0.0559999999999999,209,0.001,43582
15,Sova,14.8,14.8,5.9,0.491,0.0139999999999999,206,0.001,11077
16,Yoru,16.3,15.8,4.4,0.482,0.012,223,0.002,9613
17,Chamber,16.3,15.1,2.7,0.48,0.06,217,0.002,46493
18,Omen,14.7,15.3,7.6,0.475,0.019,201,0.001,14451
19,Harbor,14.1,15.3,6.6,0.4639999999999999,0.032,192,0.001,25066
20,Neon,16.0,16.5,4.1,0.46,0.008,223,0.002,5996
21,Breach,14.3,15.5,7.3,0.46,0.006,198,0.001,4456
22,KAY/O,14.4,15.7,9.1,0.447,0.018,204,0.001,13735
1,Brimstone,14.6,14.9,9.4,0.526,0.022,206,0.001,12397
2,Phoenix,17.3,15.6,4.9,0.514,0.044,241,0.002,25519
3,Raze,16.8,16.0,4.8,0.514,0.032,239,0.002,18640
4,Sage,14.3,15.1,6.9,0.511,0.022,197,0.001,12682
5,Killjoy,15.2,14.5,3.5,0.509,0.064,208,0.001,36882
6,Gekko,14.4,15.1,4.9,0.505,0.038,194,0.001,21705
7,Fade,14.7,15.1,6.7,0.5,0.054,201,0.001,30854
8,Cypher,15.0,14.7,4.6,0.499,0.0409999999999999,202,0.001,23412
9,Deadlock,15.6,15.2,3.9,0.498,0.036,208,0.001,20743
10,Reyna,17.7,15.8,4.3,0.498,0.096,242,0.002,55384
11,Astra,15.1,14.5,7.3,0.497,0.084,204,0.001,48531
12,Skye,14.5,15.2,8.1,0.495,0.08,198,0.001,45982
13,Viper,15.2,14.8,6.3,0.492,0.054,210,0.001,31128
14,Sova,14.8,14.8,5.9,0.492,0.0139999999999999,206,0.001,8023
15,Jett,17.2,16.0,3.5,0.49,0.175,235,0.002,100695
16,Chamber,16.4,15.1,2.7,0.487,0.0579999999999999,217,0.002,33436
17,Neon,15.9,16.4,4.1,0.483,0.0069999999999999,221,0.002,4150
18,Yoru,16.1,15.8,4.4,0.482,0.013,222,0.002,7399
19,Omen,14.8,15.2,7.6,0.474,0.015,203,0.001,8684
20,Breach,14.0,15.5,7.4,0.467,0.005,195,0.001,2653
21,Harbor,14.0,15.2,6.6,0.456,0.031,192,0.001,17896
22,KAY/O,14.5,15.6,9.0,0.4429999999999999,0.016,204,0.001,9437
1,Sage,14.6,15.1,7.0,0.521,0.019,200,0.001,7177
2,Raze,16.5,15.9,4.7,0.511,0.031,237,0.002,11463
3,Phoenix,17.4,15.7,5.0,0.51,0.045,240,0.002,16573
4,Brimstone,14.4,14.9,9.5,0.508,0.02,205,0.001,7467
5,Astra,15.1,14.5,7.3,0.507,0.093,204,0.001,34398
6,Killjoy,15.3,14.6,3.5,0.506,0.069,208,0.001,25661
7,Reyna,17.6,15.7,4.3,0.504,0.095,241,0.002,35456
8,Viper,15.2,14.8,6.3,0.503,0.053,210,0.001,19773
9,Cypher,15.0,14.7,4.6,0.501,0.0409999999999999,202,0.001,15325
10,Omen,14.9,15.1,7.7,0.501,0.012,205,0.001,4539
11,Fade,14.7,15.1,6.6,0.5,0.054,201,0.001,20239
12,Gekko,14.3,15.0,4.9,0.497,0.035,193,0.001,12919
13,Jett,17.2,16.0,3.5,0.495,0.18,234,0.002,67004
14,Skye,14.3,15.2,8.1,0.494,0.081,197,0.001,30096
15,Deadlock,15.6,15.3,3.8,0.494,0.036,209,0.001,13439
16,Sova,14.9,14.9,6.0,0.489,0.013,206,0.001,4920
17,Yoru,16.3,15.8,4.5,0.483,0.012,223,0.002,4596
18,Breach,14.4,15.4,7.6,0.477,0.003,200,0.001,1300
19,Chamber,16.4,15.1,2.6,0.477,0.0559999999999999,218,0.002,20920
20,Neon,16.2,16.6,4.1,0.4629999999999999,0.0069999999999999,225,0.002,2441
21,Harbor,14.1,15.2,6.7,0.46,0.0279999999999999,192,0.001,10571
22,KAY/O,14.5,15.6,9.2,0.4379999999999999,0.015,204,0.001,5501
