Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,14.6,15.1,7.0,0.521,0.019,200,0.001,7177
2,Raze,16.5,15.9,4.7,0.511,0.031,237,0.002,11463
3,Phoenix,17.4,15.7,5.0,0.51,0.045,240,0.002,16573
4,Brimstone,14.4,14.9,9.5,0.508,0.02,205,0.001,7467
5,Astra,15.1,14.5,7.3,0.507,0.09300000000000001,204,0.001,34398
6,Killjoy,15.3,14.6,3.5,0.506,0.069,208,0.001,25661
7,Reyna,17.6,15.7,4.3,0.504,0.095,241,0.002,35456
8,Viper,15.2,14.8,6.3,0.503,0.053,210,0.001,19773
9,Cypher,15.0,14.7,4.6,0.501,0.040999999999999995,202,0.001,15325
10,Omen,14.9,15.1,7.7,0.501,0.012,205,0.001,4539
11,Fade,14.7,15.1,6.6,0.5,0.054000000000000006,201,0.001,20239
12,Gekko,14.3,15.0,4.9,0.49700000000000005,0.035,193,0.001,12919
13,Jett,17.2,16.0,3.5,0.495,0.18,234,0.002,67004
14,Skye,14.3,15.2,8.1,0.494,0.081,197,0.001,30096
15,Deadlock,15.6,15.3,3.8,0.494,0.036000000000000004,209,0.001,13439
16,Sova,14.9,14.9,6.0,0.489,0.013000000000000001,206,0.001,4920
17,Yoru,16.3,15.8,4.5,0.483,0.012,223,0.002,4596
18,Breach,14.4,15.4,7.6,0.47700000000000004,0.003,200,0.001,1300
19,Chamber,16.4,15.1,2.6,0.47700000000000004,0.055999999999999994,218,0.002,20920
20,Neon,16.2,16.6,4.1,0.46299999999999997,0.006999999999999999,225,0.002,2441
21,Harbor,14.1,15.2,6.7,0.46,0.027999999999999997,192,0.001,10571
22,KAY/O,14.5,15.6,9.2,0.43799999999999994,0.015,204,0.001,5501
