Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,15.0,15.0,10.2,0.518,0.025,213,0.001,14419
2,Sage,14.8,15.1,7.4,0.51,0.099,203,0.001,57534
3,Raze,17.2,16.3,4.9,0.501,0.124,246,0.002,72215
4,Reyna,17.8,15.8,4.3,0.498,0.076,242,0.002,44050
5,Killjoy,15.2,14.6,3.5,0.498,0.040999999999999995,207,0.001,24055
6,Astra,15.6,14.7,7.5,0.496,0.042,210,0.001,24361
7,Phoenix,17.1,15.7,4.7,0.495,0.013999999999999999,237,0.002,7865
8,Skye,14.6,15.1,8.1,0.494,0.11900000000000001,199,0.001,69426
9,Jett,17.5,16.3,3.6,0.494,0.139,239,0.002,80948
10,Yoru,16.2,15.7,4.5,0.493,0.009000000000000001,221,0.002,5103
11,Gekko,14.6,15.3,4.7,0.491,0.008,196,0.001,4836
12,Deadlock,15.6,15.2,3.8,0.489,0.040999999999999995,214,0.001,23766
13,Omen,15.2,15.1,8.6,0.489,0.11900000000000001,207,0.001,68883
14,Cypher,15.0,14.7,4.5,0.488,0.057,202,0.001,33004
15,Neon,16.1,16.5,4.2,0.48200000000000004,0.004,223,0.002,2374
16,Sova,15.0,15.0,5.7,0.479,0.005,209,0.001,3027
17,Chamber,16.6,15.2,2.7,0.478,0.027999999999999997,221,0.002,16202
18,Breach,14.4,15.3,7.8,0.47600000000000003,0.021,198,0.001,12048
19,Fade,14.9,15.2,6.3,0.47600000000000003,0.009000000000000001,204,0.001,5391
20,Harbor,14.5,15.2,6.2,0.47200000000000003,0.001,198,0.001,621
21,Viper,15.9,15.0,5.6,0.47,0.006999999999999999,218,0.001,4207
22,KAY/O,14.7,15.8,9.2,0.439,0.012,206,0.001,6911
