Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,13.4,13.9,4.2,0.51,0.074,194,0.001,206873
2,Brimstone,13.5,14.6,7.7,0.509,0.05,198,0.001,140398
3,Sage,12.3,14.5,6.9,0.498,0.105,178,0.001,296369
4,Sova,13.4,14.4,5.5,0.497,0.05,194,0.001,140236
5,Reyna,16.2,15.2,4.7,0.496,0.109,233,0.002,307950
6,Raze,15.0,15.3,5.2,0.495,0.067,225,0.002,189779
7,Jett,15.5,15.4,4.0,0.49,0.066,223,0.002,186306
8,Phoenix,15.1,15.0,4.7,0.49,0.037,220,0.002,103130
9,Deadlock,13.6,14.8,4.0,0.489,0.053,204,0.001,150188
10,Skye,12.6,14.7,7.7,0.489,0.048,184,0.001,134723
11,Viper,13.3,14.5,5.3,0.488,0.025,192,0.001,69688
12,Breach,13.5,15.1,6.0,0.488,0.019,195,0.001,53796
13,Omen,13.8,14.8,6.3,0.487,0.085,197,0.001,240444
14,Cypher,13.2,14.2,5.0,0.486,0.027,187,0.001,76052
15,Chamber,14.7,14.6,3.4,0.483,0.023,207,0.002,64357
16,Astra,13.8,14.4,5.9,0.481,0.009,197,0.001,24699
17,Fade,12.7,14.9,6.2,0.481,0.0279999999999999,184,0.001,78057
18,Gekko,12.7,14.9,4.7,0.479,0.038,181,0.001,106064
19,Neon,14.5,15.7,4.2,0.473,0.026,210,0.002,73883
20,Yoru,14.1,15.2,4.3,0.4629999999999999,0.025,202,0.001,70766
21,KAY/O,12.7,15.2,7.8,0.462,0.0279999999999999,187,0.001,78593
22,Harbor,12.8,15.0,5.6,0.462,0.008,184,0.001,21754
1,Killjoy,13.8,14.0,4.1,0.511,0.08,198,0.001,297762
2,Brimstone,13.9,14.6,8.0,0.51,0.054,203,0.001,198785
3,Reyna,16.9,15.2,4.6,0.501,0.113,240,0.002,420801
4,Phoenix,15.8,15.0,4.7,0.5,0.036,229,0.002,133912
5,Sova,13.9,14.4,5.6,0.5,0.053,200,0.001,198031
6,Sage,12.8,14.5,6.9,0.498,0.096,183,0.001,354702
7,Raze,15.6,15.4,5.2,0.498,0.065,232,0.002,240174
8,Jett,16.3,15.4,3.9,0.497,0.076,232,0.002,283830
9,Astra,14.4,14.4,6.2,0.493,0.01,202,0.001,37563
10,Skye,13.1,14.8,7.7,0.49,0.047,189,0.001,173688
11,Omen,14.3,14.9,6.7,0.49,0.09,202,0.001,334207
12,Viper,13.8,14.5,5.4,0.489,0.022,198,0.001,83306
13,Deadlock,14.1,14.8,4.0,0.488,0.047,208,0.001,174942
14,Breach,13.9,15.2,6.1,0.488,0.02,199,0.001,72669
15,Cypher,13.7,14.2,5.0,0.487,0.027,192,0.001,101950
16,Chamber,15.4,14.7,3.3,0.486,0.024,215,0.002,90771
17,Fade,13.3,14.8,6.2,0.485,0.026,190,0.001,95326
18,Gekko,13.1,14.9,4.7,0.483,0.033,186,0.001,122846
19,Neon,15.2,15.8,4.2,0.476,0.022,218,0.002,82904
20,KAY/O,13.2,15.2,8.0,0.465,0.0289999999999999,192,0.001,107534
21,Yoru,14.7,15.3,4.3,0.4639999999999999,0.021,209,0.001,78540
22,Harbor,13.3,15.1,5.7,0.4579999999999999,0.0069999999999999,190,0.001,26412
1,Brimstone,14.2,14.7,8.3,0.512,0.055,206,0.001,204701
2,Killjoy,14.1,14.0,4.0,0.507,0.084,201,0.001,311106
3,Reyna,17.4,15.3,4.6,0.504,0.118,246,0.002,438600
4,Phoenix,16.4,15.1,4.7,0.503,0.036,236,0.002,132894
5,Sage,13.2,14.6,7.0,0.502,0.087,187,0.001,323793
6,Sova,14.2,14.4,5.7,0.502,0.055,204,0.001,205299
7,Raze,16.0,15.5,5.2,0.498,0.063,236,0.002,233009
8,Jett,16.8,15.5,3.9,0.498,0.085,238,0.002,316465
9,Astra,14.8,14.5,6.4,0.495,0.011,207,0.001,42428
10,Viper,14.1,14.5,5.5,0.493,0.021,202,0.001,76957
11,Cypher,14.1,14.2,5.0,0.492,0.027,197,0.001,98775
12,Omen,14.6,14.9,6.9,0.491,0.093,206,0.001,345959
13,Chamber,15.8,14.7,3.2,0.491,0.025,219,0.002,92916
14,Fade,13.7,14.9,6.3,0.489,0.023,195,0.001,86042
15,Deadlock,14.4,14.8,3.9,0.487,0.05,204,0.001,187123
16,Skye,13.5,14.9,7.7,0.487,0.045,194,0.001,168472
17,Breach,14.2,15.2,6.2,0.483,0.02,202,0.001,73330
18,Gekko,13.5,15.0,4.7,0.481,0.0289999999999999,190,0.001,108415
19,Neon,15.6,15.9,4.2,0.479,0.02,223,0.002,72769
20,KAY/O,13.5,15.2,8.1,0.467,0.0289999999999999,197,0.001,107475
21,Yoru,15.1,15.3,4.3,0.461,0.018,214,0.001,67211
22,Harbor,13.6,15.0,5.8,0.457,0.006,193,0.001,22487
