Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,13.8,14.0,4.1,0.511,0.08,198,0.001,297762
2,Brimstone,13.9,14.6,8.0,0.51,0.054000000000000006,203,0.001,198785
3,Reyna,16.9,15.2,4.6,0.501,0.113,240,0.002,420801
4,Phoenix,15.8,15.0,4.7,0.5,0.036000000000000004,229,0.002,133912
5,Sova,13.9,14.4,5.6,0.5,0.053,200,0.001,198031
6,Sage,12.8,14.5,6.9,0.498,0.096,183,0.001,354702
7,Raze,15.6,15.4,5.2,0.498,0.065,232,0.002,240174
8,Jett,16.3,15.4,3.9,0.49700000000000005,0.076,232,0.002,283830
9,Astra,14.4,14.4,6.2,0.493,0.01,202,0.001,37563
10,Skye,13.1,14.8,7.7,0.49,0.047,189,0.001,173688
11,Omen,14.3,14.9,6.7,0.49,0.09,202,0.001,334207
12,Viper,13.8,14.5,5.4,0.489,0.022000000000000002,198,0.001,83306
13,Deadlock,14.1,14.8,4.0,0.488,0.047,208,0.001,174942
14,Breach,13.9,15.2,6.1,0.488,0.02,199,0.001,72669
15,Cypher,13.7,14.2,5.0,0.48700000000000004,0.027000000000000003,192,0.001,101950
16,Chamber,15.4,14.7,3.3,0.486,0.024,215,0.002,90771
17,Fade,13.3,14.8,6.2,0.485,0.026000000000000002,190,0.001,95326
18,Gekko,13.1,14.9,4.7,0.483,0.033,186,0.001,122846
19,Neon,15.2,15.8,4.2,0.47600000000000003,0.022000000000000002,218,0.002,82904
20,KAY/O,13.2,15.2,8.0,0.465,0.028999999999999998,192,0.001,107534
21,Yoru,14.7,15.3,4.3,0.46399999999999997,0.021,209,0.001,78540
22,Harbor,13.3,15.1,5.7,0.45799999999999996,0.006999999999999999,190,0.001,26412
