Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,13.0,14.0,3.9,0.509,0.048,189,0.001,134471
2,Brimstone,13.5,14.6,6.8,0.502,0.063,196,0.001,176815
3,Sage,12.4,14.6,6.4,0.499,0.107,178,0.001,301198
4,Reyna,16.5,15.1,4.4,0.498,0.11,235,0.002,311193
5,Raze,15.1,15.3,4.8,0.496,0.079,225,0.002,223644
6,Gekko,12.9,14.9,4.6,0.495,0.043,183,0.001,120791
7,Skye,12.8,14.8,7.0,0.493,0.063,184,0.001,179423
8,Deadlock,13.6,14.8,4.0,0.493,0.0559999999999999,197,0.001,157859
9,Phoenix,15.2,15.0,4.4,0.492,0.037,219,0.002,104425
10,Cypher,13.2,14.2,4.7,0.489,0.037,186,0.001,105687
11,Fade,12.8,14.9,5.9,0.487,0.03,185,0.001,86124
12,Omen,13.9,14.9,5.5,0.487,0.072,198,0.001,202460
13,Astra,13.7,14.3,5.1,0.487,0.008,194,0.001,23663
14,Jett,15.5,15.3,3.8,0.486,0.0559999999999999,221,0.002,156951
15,Viper,13.3,14.5,5.0,0.486,0.031,192,0.001,86358
16,Chamber,14.6,14.5,3.2,0.485,0.026,203,0.001,74090
17,Breach,13.5,15.2,5.4,0.483,0.02,194,0.001,55761
18,Sova,13.1,14.6,5.1,0.482,0.03,191,0.001,83652
19,Neon,14.7,15.7,4.0,0.478,0.026,212,0.002,74640
20,Harbor,12.7,15.0,5.2,0.4639999999999999,0.009,183,0.001,25068
21,Yoru,14.2,15.2,4.1,0.461,0.0279999999999999,203,0.001,78274
22,KAY/O,12.8,15.2,7.5,0.457,0.023,188,0.001,64007
1,Killjoy,13.4,14.0,3.9,0.512,0.049,193,0.001,183851
2,Brimstone,13.9,14.5,7.1,0.509,0.07,201,0.001,259379
3,Reyna,17.1,15.1,4.4,0.503,0.114,243,0.002,423380
4,Sage,12.8,14.6,6.5,0.502,0.098,183,0.001,366426
5,Raze,15.7,15.4,4.9,0.501,0.0819999999999999,232,0.002,304315
6,Phoenix,15.8,15.0,4.4,0.497,0.036,228,0.002,134412
7,Viper,13.8,14.5,5.1,0.497,0.03,197,0.001,110141
8,Gekko,13.3,14.9,4.6,0.496,0.039,188,0.001,144817
9,Deadlock,14.1,14.8,4.0,0.494,0.05,204,0.001,187643
10,Fade,13.4,14.9,6.0,0.492,0.0289999999999999,191,0.001,107767
11,Jett,16.2,15.3,3.8,0.492,0.061,230,0.002,228851
12,Skye,13.3,14.8,7.1,0.491,0.066,190,0.001,244007
13,Cypher,13.6,14.2,4.8,0.49,0.039,191,0.001,146599
14,Chamber,15.1,14.5,3.2,0.486,0.0289999999999999,210,0.002,107844
15,Astra,14.3,14.4,5.3,0.486,0.009,201,0.001,34715
16,Sova,13.6,14.6,5.1,0.485,0.0289999999999999,196,0.001,108918
17,Omen,14.3,14.9,5.8,0.483,0.072,203,0.001,267343
18,Breach,13.9,15.3,5.5,0.482,0.02,199,0.001,75899
19,Neon,15.3,15.7,4.0,0.478,0.023,220,0.002,84315
20,Harbor,13.2,15.0,5.3,0.4639999999999999,0.008,188,0.001,31481
21,Yoru,14.7,15.2,4.1,0.462,0.024,210,0.002,88851
22,KAY/O,13.2,15.3,7.6,0.4589999999999999,0.022,193,0.001,80893
1,Reyna,17.6,15.1,4.4,0.507,0.118,249,0.002,441553
2,Brimstone,14.2,14.6,7.2,0.506,0.074,204,0.001,274556
3,Phoenix,16.4,15.0,4.4,0.505,0.035,235,0.002,130672
4,Killjoy,13.6,14.1,3.9,0.505,0.048,195,0.001,180972
5,Sage,13.1,14.6,6.6,0.502,0.09,187,0.001,336353
6,Raze,16.2,15.5,4.9,0.502,0.086,238,0.002,320316
7,Skye,13.6,14.8,7.1,0.497,0.068,194,0.001,252107
8,Jett,16.7,15.4,3.7,0.497,0.067,236,0.002,250110
9,Viper,14.1,14.5,5.2,0.497,0.0289999999999999,201,0.001,106562
10,Gekko,13.7,14.9,4.6,0.497,0.036,192,0.001,132568
11,Deadlock,14.4,14.8,3.9,0.494,0.054,203,0.001,201687
12,Fade,13.8,14.9,6.0,0.494,0.027,195,0.001,100686
13,Cypher,13.9,14.2,4.7,0.492,0.04,193,0.001,149063
14,Sova,14.0,14.6,5.2,0.49,0.0279999999999999,201,0.001,103021
15,Chamber,15.5,14.5,3.1,0.488,0.031,214,0.002,115056
16,Astra,14.7,14.4,5.4,0.483,0.01,205,0.001,38947
17,Omen,14.6,15.0,6.0,0.483,0.071,206,0.001,263808
18,Breach,14.2,15.3,5.6,0.481,0.021,202,0.001,77964
19,Neon,15.8,15.8,4.0,0.475,0.02,225,0.002,73746
20,Yoru,15.2,15.3,4.1,0.466,0.021,215,0.002,79343
21,Harbor,13.5,15.0,5.4,0.461,0.008,191,0.001,28557
22,KAY/O,13.5,15.3,7.8,0.46,0.02,197,0.001,75200
