Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,13.4,14.0,3.9,0.512,0.049,193,0.001,183851
2,Brimstone,13.9,14.5,7.1,0.509,0.07,201,0.001,259379
3,Reyna,17.1,15.1,4.4,0.503,0.114,243,0.002,423380
4,Sage,12.8,14.6,6.5,0.502,0.098,183,0.001,366426
5,Raze,15.7,15.4,4.9,0.501,0.08199999999999999,232,0.002,304315
6,Phoenix,15.8,15.0,4.4,0.49700000000000005,0.036000000000000004,228,0.002,134412
7,Viper,13.8,14.5,5.1,0.49700000000000005,0.03,197,0.001,110141
8,Gekko,13.3,14.9,4.6,0.496,0.039,188,0.001,144817
9,Deadlock,14.1,14.8,4.0,0.494,0.05,204,0.001,187643
10,Fade,13.4,14.9,6.0,0.49200000000000005,0.028999999999999998,191,0.001,107767
11,Jett,16.2,15.3,3.8,0.49200000000000005,0.061,230,0.002,228851
12,Skye,13.3,14.8,7.1,0.491,0.066,190,0.001,244007
13,Cypher,13.6,14.2,4.8,0.49,0.039,191,0.001,146599
14,Chamber,15.1,14.5,3.2,0.486,0.028999999999999998,210,0.002,107844
15,Astra,14.3,14.4,5.3,0.486,0.009000000000000001,201,0.001,34715
16,Sova,13.6,14.6,5.1,0.485,0.028999999999999998,196,0.001,108918
17,Omen,14.3,14.9,5.8,0.483,0.07200000000000001,203,0.001,267343
18,Breach,13.9,15.3,5.5,0.48200000000000004,0.02,199,0.001,75899
19,Neon,15.3,15.7,4.0,0.478,0.023,220,0.002,84315
20,Harbor,13.2,15.0,5.3,0.46399999999999997,0.008,188,0.001,31481
21,Yoru,14.7,15.2,4.1,0.462,0.024,210,0.002,88851
22,KAY/O,13.2,15.3,7.6,0.45899999999999996,0.022000000000000002,193,0.001,80893
