Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,13.4,14.4,7.2,0.505,0.065,196,0.001,181507
2,Killjoy,13.0,14.0,4.1,0.505,0.053,189,0.001,147945
3,Reyna,16.5,14.9,4.7,0.502,0.111,238,0.002,309151
4,Gekko,12.8,14.7,4.7,0.496,0.042,183,0.001,118258
5,Sage,12.1,14.4,6.7,0.496,0.106,176,0.001,294915
6,Breach,13.4,15.0,5.9,0.494,0.04,193,0.001,112600
7,Jett,15.5,15.2,4.1,0.493,0.059,224,0.002,165080
8,Cypher,13.2,14.2,4.9,0.493,0.03,188,0.001,85033
9,Raze,14.8,15.2,4.9,0.493,0.066,222,0.002,184663
10,Phoenix,15.1,14.7,4.5,0.493,0.037,220,0.001,102248
11,Deadlock,13.6,14.7,4.0,0.492,0.0559999999999999,198,0.001,155349
12,Skye,12.5,14.6,7.3,0.491,0.054,182,0.001,149777
13,Fade,12.6,14.8,6.2,0.489,0.03,184,0.001,82832
14,Viper,13.0,14.4,5.2,0.489,0.032,190,0.001,88097
15,Neon,14.8,15.5,4.3,0.487,0.034,217,0.002,93821
16,Chamber,14.6,14.5,3.4,0.485,0.025,206,0.002,70185
17,Astra,13.7,14.3,5.3,0.483,0.008,195,0.001,21430
18,Omen,13.6,14.8,5.6,0.479,0.066,194,0.001,182726
19,Sova,12.9,14.6,5.2,0.478,0.027,190,0.001,75204
20,Harbor,12.6,14.8,5.5,0.469,0.01,183,0.001,26993
21,KAY/O,12.7,15.1,8.0,0.467,0.024,189,0.001,67736
22,Yoru,14.0,15.1,4.4,0.4639999999999999,0.026,202,0.001,72994
1,Brimstone,13.8,14.4,7.5,0.511,0.073,201,0.001,267526
2,Reyna,17.2,15.0,4.6,0.505,0.115,246,0.002,423016
3,Killjoy,13.5,14.0,4.1,0.503,0.0559999999999999,195,0.001,206101
4,Sage,12.6,14.5,6.8,0.5,0.098,181,0.001,357918
5,Phoenix,15.8,14.8,4.6,0.499,0.035,227,0.002,128658
6,Raze,15.4,15.2,4.9,0.496,0.064,229,0.002,234783
7,Jett,16.3,15.2,4.0,0.495,0.067,234,0.002,245895
8,Breach,13.8,15.0,6.0,0.495,0.048,198,0.001,174756
9,Viper,13.6,14.4,5.3,0.493,0.031,196,0.001,114047
10,Neon,15.5,15.6,4.3,0.492,0.032,224,0.002,115781
11,Gekko,13.2,14.8,4.7,0.491,0.038,188,0.001,140516
12,Deadlock,14.1,14.8,4.0,0.491,0.05,204,0.001,183067
13,Cypher,13.7,14.3,4.9,0.491,0.032,193,0.001,116009
14,Chamber,15.3,14.6,3.3,0.49,0.0279999999999999,213,0.002,101633
15,Fade,13.2,14.8,6.2,0.49,0.0279999999999999,190,0.001,102756
16,Skye,13.0,14.7,7.3,0.488,0.053,188,0.001,194178
17,Astra,14.2,14.3,5.5,0.484,0.009,201,0.001,31572
18,Sova,13.4,14.6,5.3,0.477,0.025,194,0.001,90361
19,Omen,14.0,14.9,5.8,0.476,0.064,200,0.001,232979
20,Yoru,14.6,15.2,4.4,0.4679999999999999,0.022,208,0.001,81360
21,Harbor,13.0,14.8,5.6,0.467,0.009,187,0.001,34829
22,KAY/O,13.2,15.1,8.1,0.4639999999999999,0.024,195,0.001,88529
1,Brimstone,14.1,14.4,7.8,0.512,0.078,205,0.001,288511
2,Killjoy,13.8,14.0,4.1,0.509,0.057,198,0.001,209309
3,Reyna,17.7,15.0,4.6,0.509,0.12,251,0.002,440769
4,Phoenix,16.3,14.8,4.6,0.505,0.034,234,0.002,125351
5,Sage,12.9,14.5,6.8,0.502,0.088,185,0.001,324070
6,Jett,16.9,15.3,4.0,0.5,0.074,240,0.002,272724
7,Raze,15.9,15.3,4.9,0.499,0.064,234,0.002,234979
8,Gekko,13.6,14.8,4.8,0.498,0.035,191,0.001,128884
9,Cypher,14.1,14.3,4.9,0.494,0.032,197,0.001,116174
10,Skye,13.4,14.7,7.3,0.494,0.052,193,0.001,191411
11,Neon,15.9,15.7,4.3,0.493,0.03,229,0.002,110038
12,Fade,13.6,14.8,6.2,0.493,0.026,194,0.001,96698
13,Breach,14.1,15.1,6.1,0.493,0.053,201,0.001,195120
14,Viper,13.9,14.5,5.4,0.492,0.031,199,0.001,113757
15,Deadlock,14.4,14.8,4.0,0.491,0.053,206,0.001,195012
16,Chamber,15.6,14.6,3.3,0.489,0.0289999999999999,217,0.002,108376
17,Astra,14.6,14.4,5.6,0.484,0.01,205,0.001,35214
18,Sova,13.8,14.6,5.4,0.484,0.022,200,0.001,80772
19,Omen,14.3,14.9,6.0,0.476,0.061,203,0.001,224059
20,KAY/O,13.5,15.1,8.2,0.4679999999999999,0.022,199,0.001,82554
21,Yoru,15.0,15.2,4.3,0.467,0.019,214,0.001,71319
22,Harbor,13.3,14.9,5.6,0.462,0.009,190,0.001,32406
