Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.1,14.4,7.8,0.512,0.078,205,0.001,288511
2,Killjoy,13.8,14.0,4.1,0.509,0.057,198,0.001,209309
3,Reyna,17.7,15.0,4.6,0.509,0.12,251,0.002,440769
4,Phoenix,16.3,14.8,4.6,0.505,0.034,234,0.002,125351
5,Sage,12.9,14.5,6.8,0.502,0.08800000000000001,185,0.001,324070
6,Jett,16.9,15.3,4.0,0.5,0.07400000000000001,240,0.002,272724
7,Raze,15.9,15.3,4.9,0.499,0.064,234,0.002,234979
8,Gekko,13.6,14.8,4.8,0.498,0.035,191,0.001,128884
9,Cypher,14.1,14.3,4.9,0.494,0.032,197,0.001,116174
10,Skye,13.4,14.7,7.3,0.494,0.052000000000000005,193,0.001,191411
11,Neon,15.9,15.7,4.3,0.493,0.03,229,0.002,110038
12,Fade,13.6,14.8,6.2,0.493,0.026000000000000002,194,0.001,96698
13,Breach,14.1,15.1,6.1,0.493,0.053,201,0.001,195120
14,Viper,13.9,14.5,5.4,0.49200000000000005,0.031,199,0.001,113757
15,Deadlock,14.4,14.8,4.0,0.491,0.053,206,0.001,195012
16,Chamber,15.6,14.6,3.3,0.489,0.028999999999999998,217,0.002,108376
17,Astra,14.6,14.4,5.6,0.484,0.01,205,0.001,35214
18,Sova,13.8,14.6,5.4,0.484,0.022000000000000002,200,0.001,80772
19,Omen,14.3,14.9,6.0,0.47600000000000003,0.061,203,0.001,224059
20,KAY/O,13.5,15.1,8.2,0.46799999999999997,0.022000000000000002,199,0.001,82554
21,Yoru,15.0,15.2,4.3,0.467,0.019,214,0.001,71319
22,Harbor,13.3,14.9,5.6,0.462,0.009000000000000001,190,0.001,32406
