Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,13.5,14.2,3.8,0.508,0.053,193,0.001,198074
2,Brimstone,13.8,14.6,7.5,0.504,0.052,200,0.001,193267
3,Reyna,17.0,15.2,4.5,0.502,0.1169999999999999,242,0.002,434703
4,Sage,12.8,14.6,6.7,0.5,0.104,183,0.001,386717
5,Gekko,13.3,14.9,4.9,0.499,0.038,188,0.001,140210
6,Phoenix,16.0,15.0,4.5,0.498,0.037,229,0.002,137112
7,Breach,14.0,15.1,6.0,0.497,0.025,200,0.001,91195
8,Raze,15.5,15.3,4.8,0.496,0.061,229,0.002,226784
9,Jett,16.3,15.3,3.9,0.496,0.077,232,0.002,286083
10,Deadlock,14.0,14.8,3.9,0.495,0.048,206,0.001,178736
11,Sova,13.6,14.5,5.2,0.492,0.043,195,0.001,159212
12,Omen,14.3,14.9,6.2,0.491,0.0969999999999999,202,0.001,359530
13,Skye,13.3,14.8,7.3,0.49,0.054,191,0.001,200422
14,Fade,13.4,14.9,6.2,0.49,0.025,192,0.001,94261
15,Cypher,13.9,14.3,4.8,0.49,0.03,194,0.001,112252
16,Astra,14.3,14.4,5.6,0.489,0.011,200,0.001,39670
17,Viper,13.8,14.6,5.4,0.488,0.021,198,0.001,79963
18,Chamber,15.1,14.6,3.2,0.486,0.0289999999999999,210,0.002,109406
19,Neon,15.3,15.7,4.1,0.482,0.024,221,0.002,90947
20,Yoru,14.8,15.3,4.2,0.471,0.023,209,0.001,84822
21,Harbor,13.2,15.1,5.7,0.4629999999999999,0.0069999999999999,189,0.001,26396
22,KAY/O,13.3,15.2,8.2,0.461,0.024,195,0.001,89468
1,Reyna,17.5,15.2,4.5,0.507,0.121,248,0.002,452192
2,Killjoy,13.8,14.2,3.8,0.506,0.054,196,0.001,200909
3,Brimstone,14.1,14.7,7.7,0.505,0.053,203,0.001,198023
4,Phoenix,16.5,15.1,4.5,0.504,0.037,235,0.002,136354
5,Sage,13.2,14.6,6.8,0.503,0.096,187,0.001,357871
6,Gekko,13.7,14.9,4.9,0.5,0.034,193,0.001,127907
7,Raze,16.0,15.4,4.8,0.499,0.059,234,0.002,221695
8,Jett,16.8,15.4,3.9,0.498,0.086,238,0.002,319594
9,Fade,13.7,14.9,6.3,0.496,0.023,196,0.001,86956
10,Sova,14.0,14.5,5.3,0.495,0.043,199,0.001,161260
11,Breach,14.3,15.1,6.1,0.494,0.026,203,0.001,96921
12,Deadlock,14.4,14.9,3.9,0.493,0.051,207,0.001,190740
13,Skye,13.6,14.8,7.4,0.492,0.053,195,0.001,199155
14,Omen,14.6,14.9,6.4,0.492,0.1,206,0.001,374192
15,Cypher,14.2,14.3,4.8,0.491,0.03,197,0.001,111235
16,Chamber,15.5,14.6,3.2,0.488,0.031,214,0.002,115636
17,Astra,14.6,14.5,5.8,0.484,0.012,203,0.001,44196
18,Neon,15.8,15.9,4.1,0.481,0.022,226,0.002,80604
19,Viper,14.0,14.6,5.4,0.479,0.019,200,0.001,70398
20,Yoru,15.3,15.3,4.3,0.471,0.02,215,0.001,73725
21,KAY/O,13.7,15.3,8.3,0.461,0.023,199,0.001,84135
22,Harbor,13.6,15.1,5.7,0.4529999999999999,0.006,193,0.001,22474
