Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Reyna,17.5,15.2,4.5,0.507,0.121,248,0.002,452192
2,Killjoy,13.8,14.2,3.8,0.506,0.054000000000000006,196,0.001,200909
3,Brimstone,14.1,14.7,7.7,0.505,0.053,203,0.001,198023
4,Phoenix,16.5,15.1,4.5,0.504,0.037000000000000005,235,0.002,136354
5,Sage,13.2,14.6,6.8,0.503,0.096,187,0.001,357871
6,Gekko,13.7,14.9,4.9,0.5,0.034,193,0.001,127907
7,Raze,16.0,15.4,4.8,0.499,0.059000000000000004,234,0.002,221695
8,Jett,16.8,15.4,3.9,0.498,0.086,238,0.002,319594
9,Fade,13.7,14.9,6.3,0.496,0.023,196,0.001,86956
10,Sova,14.0,14.5,5.3,0.495,0.043,199,0.001,161260
11,Breach,14.3,15.1,6.1,0.494,0.026000000000000002,203,0.001,96921
12,Deadlock,14.4,14.9,3.9,0.493,0.051,207,0.001,190740
13,Skye,13.6,14.8,7.4,0.49200000000000005,0.053,195,0.001,199155
14,Omen,14.6,14.9,6.4,0.49200000000000005,0.1,206,0.001,374192
15,Cypher,14.2,14.3,4.8,0.491,0.03,197,0.001,111235
16,Chamber,15.5,14.6,3.2,0.488,0.031,214,0.002,115636
17,Astra,14.6,14.5,5.8,0.484,0.012,203,0.001,44196
18,Neon,15.8,15.9,4.1,0.48100000000000004,0.022000000000000002,226,0.002,80604
19,Viper,14.0,14.6,5.4,0.479,0.019,200,0.001,70398
20,Yoru,15.3,15.3,4.3,0.47100000000000003,0.02,215,0.001,73725
21,KAY/O,13.7,15.3,8.3,0.461,0.023,199,0.001,84135
22,Harbor,13.6,15.1,5.7,0.45299999999999996,0.006,193,0.001,22474
