Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Raze,15.1,15.3,5.3,0.504,0.074,228,0.002,206808
2,Killjoy,13.1,14.1,4.0,0.503,0.05,189,0.001,139407
3,Brimstone,13.5,14.7,7.2,0.502,0.044,197,0.001,123058
4,Reyna,16.5,15.0,4.6,0.501,0.11,237,0.002,308660
5,Sage,12.3,14.5,6.8,0.499,0.105,177,0.001,292159
6,Breach,13.6,15.1,6.1,0.498,0.027,195,0.001,74333
7,Phoenix,15.2,14.9,4.6,0.496,0.036,221,0.001,100983
8,Gekko,12.8,14.8,4.8,0.494,0.049,182,0.001,136788
9,Jett,15.6,15.3,4.0,0.493,0.06,224,0.002,167954
10,Deadlock,13.6,14.8,4.0,0.493,0.0559999999999999,200,0.001,155602
11,Astra,13.9,14.4,5.4,0.492,0.01,196,0.001,28060
12,Skye,12.7,14.7,7.7,0.49,0.06,184,0.001,166927
13,Chamber,14.8,14.5,3.4,0.49,0.03,207,0.002,83289
14,Omen,13.8,14.9,5.8,0.489,0.084,197,0.001,233970
15,Fade,12.7,14.9,6.2,0.488,0.0289999999999999,183,0.001,81621
16,Sova,13.1,14.7,5.3,0.485,0.0279999999999999,191,0.001,78893
17,Viper,13.3,14.6,5.4,0.485,0.0279999999999999,194,0.001,78831
18,Cypher,13.3,14.3,4.8,0.484,0.026,188,0.001,71661
19,Neon,14.9,15.7,4.3,0.477,0.03,216,0.002,83512
20,Harbor,12.8,15.0,5.6,0.4679999999999999,0.013,185,0.001,36677
21,Yoru,14.2,15.3,4.3,0.465,0.026,202,0.001,73469
22,KAY/O,12.8,15.2,8.3,0.462,0.025,189,0.001,70705
1,Brimstone,13.9,14.7,7.5,0.505,0.046,202,0.001,170053
2,Reyna,17.2,15.1,4.6,0.505,0.115,244,0.002,421561
3,Raze,15.8,15.4,5.2,0.505,0.074,235,0.002,271359
4,Killjoy,13.5,14.1,3.9,0.504,0.052,194,0.001,189934
5,Sage,12.7,14.6,6.9,0.5,0.096,182,0.001,353148
6,Phoenix,15.9,14.9,4.6,0.5,0.035,228,0.001,128863
7,Breach,13.9,15.1,6.2,0.498,0.03,199,0.001,111756
8,Chamber,15.4,14.5,3.3,0.497,0.033,213,0.002,121485
9,Gekko,13.3,14.9,4.8,0.497,0.047,187,0.001,172982
10,Astra,14.5,14.4,5.5,0.497,0.012,202,0.001,42490
11,Skye,13.2,14.7,7.8,0.496,0.061,190,0.001,225146
12,Jett,16.4,15.4,3.9,0.494,0.068,233,0.002,250133
13,Omen,14.3,14.9,6.1,0.494,0.087,202,0.001,320174
14,Deadlock,14.1,14.8,4.0,0.494,0.05,202,0.001,184895
15,Viper,13.8,14.6,5.5,0.491,0.027,199,0.001,98480
16,Fade,13.3,14.9,6.2,0.49,0.027,190,0.001,101020
17,Cypher,13.8,14.3,4.8,0.488,0.026,194,0.001,94880
18,Neon,15.4,15.8,4.3,0.484,0.027,222,0.002,100289
19,Sova,13.6,14.7,5.3,0.481,0.026,196,0.001,96436
20,Harbor,13.3,15.0,5.7,0.472,0.0139999999999999,189,0.001,51073
21,Yoru,14.6,15.3,4.3,0.462,0.022,208,0.001,80773
22,KAY/O,13.2,15.2,8.4,0.461,0.024,194,0.001,89614
1,Reyna,17.7,15.1,4.5,0.508,0.119,250,0.002,437249
2,Raze,16.2,15.4,5.2,0.507,0.076,241,0.002,278374
3,Killjoy,13.9,14.1,3.9,0.505,0.052,197,0.001,191605
4,Phoenix,16.5,15.0,4.6,0.505,0.034,235,0.002,126477
5,Brimstone,14.1,14.7,7.6,0.505,0.046,205,0.001,170529
6,Sage,13.1,14.6,6.9,0.502,0.087,187,0.001,319044
7,Gekko,13.7,14.9,4.8,0.502,0.046,191,0.001,167409
8,Chamber,15.8,14.5,3.2,0.501,0.036,218,0.002,131755
9,Astra,14.8,14.4,5.6,0.499,0.013,206,0.001,47512
10,Jett,16.9,15.4,3.9,0.498,0.075,239,0.002,275694
11,Breach,14.2,15.1,6.3,0.497,0.033,202,0.001,121710
12,Skye,13.5,14.8,7.8,0.495,0.061,193,0.001,225588
13,Fade,13.6,14.9,6.2,0.495,0.025,194,0.001,93723
14,Deadlock,14.4,14.8,4.0,0.492,0.054,208,0.001,198881
15,Viper,14.3,14.6,5.5,0.492,0.025,204,0.001,92547
16,Omen,14.6,14.9,6.2,0.492,0.089,205,0.001,327711
17,Cypher,14.1,14.3,4.8,0.49,0.025,197,0.001,90964
18,Sova,14.0,14.7,5.4,0.488,0.023,201,0.001,85503
19,Neon,15.9,15.8,4.3,0.488,0.025,228,0.002,91365
20,Harbor,13.6,15.0,5.8,0.471,0.0139999999999999,192,0.001,50800
21,Yoru,15.1,15.3,4.3,0.467,0.019,213,0.001,70649
22,KAY/O,13.6,15.2,8.5,0.4639999999999999,0.023,198,0.001,83987
