Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Raze,15.1,15.3,5.3,0.504,0.07400000000000001,228,0.002,206808
2,Killjoy,13.1,14.1,4.0,0.503,0.05,189,0.001,139407
3,Brimstone,13.5,14.7,7.2,0.502,0.044000000000000004,197,0.001,123058
4,Reyna,16.5,15.0,4.6,0.501,0.11,237,0.002,308660
5,Sage,12.3,14.5,6.8,0.499,0.105,177,0.001,292159
6,Breach,13.6,15.1,6.1,0.498,0.027000000000000003,195,0.001,74333
7,Phoenix,15.2,14.9,4.6,0.496,0.036000000000000004,221,0.001,100983
8,Gekko,12.8,14.8,4.8,0.494,0.049,182,0.001,136788
9,Jett,15.6,15.3,4.0,0.493,0.06,224,0.002,167954
10,Deadlock,13.6,14.8,4.0,0.493,0.055999999999999994,200,0.001,155602
11,Astra,13.9,14.4,5.4,0.49200000000000005,0.01,196,0.001,28060
12,Skye,12.7,14.7,7.7,0.49,0.06,184,0.001,166927
13,Chamber,14.8,14.5,3.4,0.49,0.03,207,0.002,83289
14,Omen,13.8,14.9,5.8,0.489,0.084,197,0.001,233970
15,Fade,12.7,14.9,6.2,0.488,0.028999999999999998,183,0.001,81621
16,Sova,13.1,14.7,5.3,0.485,0.027999999999999997,191,0.001,78893
17,Viper,13.3,14.6,5.4,0.485,0.027999999999999997,194,0.001,78831
18,Cypher,13.3,14.3,4.8,0.484,0.026000000000000002,188,0.001,71661
19,Neon,14.9,15.7,4.3,0.47700000000000004,0.03,216,0.002,83512
20,Harbor,12.8,15.0,5.6,0.46799999999999997,0.013000000000000001,185,0.001,36677
21,Yoru,14.2,15.3,4.3,0.465,0.026000000000000002,202,0.001,73469
22,KAY/O,12.8,15.2,8.3,0.462,0.025,189,0.001,70705
