Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,13.0,13.9,4.2,0.508,0.048,189,0.001,135561
2,Gekko,12.8,14.7,5.0,0.505,0.047,182,0.001,132718
3,Brimstone,13.3,14.5,7.1,0.504,0.044,196,0.001,122958
4,Reyna,16.5,15.0,4.7,0.5,0.1119999999999999,237,0.002,312937
5,Astra,13.7,14.1,5.7,0.499,0.0139999999999999,194,0.001,39066
6,Sage,12.1,14.5,6.8,0.498,0.108,174,0.001,300590
7,Raze,14.9,15.2,5.0,0.495,0.06,223,0.002,167080
8,Cypher,13.3,14.1,5.0,0.493,0.032,187,0.001,88589
9,Phoenix,15.2,14.9,4.7,0.491,0.037,220,0.002,104065
10,Viper,13.2,14.4,5.6,0.491,0.042,192,0.001,116164
11,Jett,15.6,15.2,4.0,0.491,0.064,223,0.002,178544
12,Deadlock,13.5,14.7,4.1,0.491,0.055,200,0.001,152630
13,Breach,13.6,15.1,5.9,0.491,0.018,196,0.001,50394
14,Fade,12.8,14.8,6.3,0.489,0.035,186,0.001,97335
15,Skye,12.6,14.7,7.7,0.488,0.055,184,0.001,153410
16,Omen,13.7,14.9,5.7,0.483,0.067,196,0.001,186340
17,Chamber,14.6,14.4,3.5,0.482,0.032,205,0.002,89760
18,Neon,14.8,15.6,4.3,0.481,0.0289999999999999,215,0.002,81206
19,Sova,12.9,14.5,5.4,0.48,0.031,189,0.001,85947
20,Harbor,12.6,14.8,5.7,0.477,0.018,181,0.001,50924
21,Yoru,14.2,15.1,4.4,0.47,0.0279999999999999,204,0.001,78963
22,KAY/O,12.7,15.1,7.9,0.4639999999999999,0.025,189,0.001,70850
1,Killjoy,13.4,14.0,4.1,0.507,0.049,194,0.001,181560
2,Brimstone,13.8,14.6,7.4,0.507,0.046,201,0.001,169467
3,Gekko,13.3,14.7,5.0,0.505,0.045,188,0.001,165636
4,Reyna,17.2,15.1,4.7,0.503,0.1159999999999999,245,0.002,428823
5,Sage,12.5,14.6,6.9,0.499,0.099,180,0.001,365718
6,Raze,15.5,15.3,5.0,0.499,0.057,230,0.002,209084
7,Astra,14.2,14.1,5.9,0.498,0.017,200,0.001,63975
8,Phoenix,15.9,14.9,4.7,0.498,0.037,229,0.002,136419
9,Deadlock,14.1,14.8,4.1,0.495,0.049,201,0.001,179622
10,Viper,13.8,14.4,5.7,0.495,0.044,199,0.001,161028
11,Cypher,13.7,14.1,5.0,0.495,0.032,193,0.001,119531
12,Jett,16.3,15.3,4.0,0.493,0.073,232,0.002,270083
13,Fade,13.3,14.8,6.3,0.493,0.034,191,0.001,127050
14,Skye,13.2,14.8,7.7,0.492,0.0559999999999999,190,0.001,205893
15,Breach,14.0,15.1,6.0,0.488,0.019,200,0.001,70037
16,Neon,15.4,15.7,4.3,0.486,0.026,222,0.002,96620
17,Chamber,15.2,14.4,3.4,0.485,0.035,211,0.002,128768
18,Omen,14.2,14.9,5.9,0.485,0.065,201,0.001,240069
19,Sova,13.5,14.5,5.5,0.483,0.0289999999999999,196,0.001,107725
20,Harbor,13.1,14.9,5.9,0.477,0.02,186,0.001,74555
21,Yoru,14.8,15.2,4.4,0.469,0.024,211,0.002,88875
22,KAY/O,13.2,15.2,8.0,0.4629999999999999,0.026,194,0.001,94583
1,Killjoy,13.7,14.0,4.1,0.506,0.049,197,0.001,180682
2,Brimstone,14.0,14.6,7.6,0.506,0.046,203,0.001,170361
3,Reyna,17.7,15.1,4.7,0.506,0.122,250,0.002,450022
4,Astra,14.6,14.1,6.0,0.505,0.021,204,0.001,77208
5,Phoenix,16.5,15.0,4.7,0.505,0.037,235,0.002,135050
6,Gekko,13.7,14.8,5.0,0.505,0.043,192,0.001,158315
7,Raze,16.0,15.4,5.0,0.502,0.055,235,0.002,203824
8,Sage,12.9,14.6,7.0,0.501,0.09,184,0.001,333946
9,Viper,14.1,14.4,5.8,0.5,0.045,202,0.001,165563
10,Jett,16.8,15.4,4.0,0.498,0.0819999999999999,238,0.002,302715
11,Fade,13.7,14.8,6.3,0.496,0.033,196,0.001,123556
12,Skye,13.6,14.8,7.7,0.496,0.0559999999999999,194,0.001,208413
13,Cypher,14.0,14.2,4.9,0.495,0.032,196,0.001,119038
14,Deadlock,14.4,14.8,4.1,0.495,0.052,206,0.001,191374
15,Chamber,15.6,14.4,3.3,0.489,0.037,216,0.002,137388
16,Sova,13.9,14.5,5.5,0.489,0.027,201,0.001,99333
17,Neon,15.9,15.9,4.3,0.487,0.024,227,0.002,87881
18,Omen,14.5,14.9,6.1,0.486,0.062,205,0.001,230179
19,Breach,14.3,15.2,6.1,0.485,0.019,204,0.001,70772
20,Harbor,13.4,14.9,5.9,0.477,0.021,190,0.001,77492
21,Yoru,15.3,15.3,4.4,0.471,0.021,216,0.002,78208
22,KAY/O,13.6,15.3,8.1,0.461,0.024,199,0.001,89247
