Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,13.0,13.9,4.2,0.508,0.048,189,0.001,135561
2,Gekko,12.8,14.7,5.0,0.505,0.047,182,0.001,132718
3,Brimstone,13.3,14.5,7.1,0.504,0.044000000000000004,196,0.001,122958
4,Reyna,16.5,15.0,4.7,0.5,0.11199999999999999,237,0.002,312937
5,Astra,13.7,14.1,5.7,0.499,0.013999999999999999,194,0.001,39066
6,Sage,12.1,14.5,6.8,0.498,0.10800000000000001,174,0.001,300590
7,Raze,14.9,15.2,5.0,0.495,0.06,223,0.002,167080
8,Cypher,13.3,14.1,5.0,0.493,0.032,187,0.001,88589
9,Phoenix,15.2,14.9,4.7,0.491,0.037000000000000005,220,0.002,104065
10,Viper,13.2,14.4,5.6,0.491,0.042,192,0.001,116164
11,Jett,15.6,15.2,4.0,0.491,0.064,223,0.002,178544
12,Deadlock,13.5,14.7,4.1,0.491,0.055,200,0.001,152630
13,Breach,13.6,15.1,5.9,0.491,0.018000000000000002,196,0.001,50394
14,Fade,12.8,14.8,6.3,0.489,0.035,186,0.001,97335
15,Skye,12.6,14.7,7.7,0.488,0.055,184,0.001,153410
16,Omen,13.7,14.9,5.7,0.483,0.067,196,0.001,186340
17,Chamber,14.6,14.4,3.5,0.48200000000000004,0.032,205,0.002,89760
18,Neon,14.8,15.6,4.3,0.48100000000000004,0.028999999999999998,215,0.002,81206
19,Sova,12.9,14.5,5.4,0.48,0.031,189,0.001,85947
20,Harbor,12.6,14.8,5.7,0.47700000000000004,0.018000000000000002,181,0.001,50924
21,Yoru,14.2,15.1,4.4,0.47,0.027999999999999997,204,0.001,78963
22,KAY/O,12.7,15.1,7.9,0.46399999999999997,0.025,189,0.001,70850
