Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,13.3,14.1,4.1,0.506,0.049,193,0.001,138064
2,Sage,12.3,14.5,7.1,0.503,0.1169999999999999,178,0.001,330394
3,Reyna,16.4,15.1,4.6,0.499,0.11,235,0.002,309981
4,Raze,15.1,15.4,5.1,0.498,0.074,227,0.002,208457
5,Brimstone,13.5,14.7,7.2,0.498,0.046,198,0.001,130514
6,Skye,12.8,14.7,7.7,0.494,0.0579999999999999,185,0.001,163049
7,Phoenix,15.2,15.0,4.6,0.491,0.036,221,0.002,102670
8,Cypher,13.6,14.2,5.0,0.491,0.036,192,0.001,102655
9,Astra,13.9,14.4,5.5,0.49,0.011,197,0.001,31929
10,Deadlock,13.7,14.8,4.1,0.49,0.0559999999999999,201,0.001,156649
11,Viper,13.3,14.5,5.2,0.49,0.031,193,0.001,87287
12,Omen,14.1,14.9,5.8,0.489,0.084,200,0.001,235377
13,Gekko,12.8,14.9,4.7,0.487,0.042,183,0.001,119114
14,Breach,13.7,15.3,5.8,0.487,0.021,197,0.001,59887
15,Jett,15.5,15.4,4.0,0.484,0.06,223,0.002,168540
16,Fade,12.8,14.9,6.0,0.484,0.0289999999999999,185,0.001,81226
17,Chamber,14.6,14.7,3.4,0.482,0.022,205,0.002,61661
18,Sova,13.2,14.6,5.2,0.478,0.0289999999999999,192,0.001,80960
19,Neon,14.6,15.7,4.2,0.476,0.0279999999999999,212,0.002,77930
20,Yoru,14.3,15.2,4.3,0.469,0.026,204,0.001,73727
21,Harbor,12.8,15.1,5.3,0.461,0.008,184,0.001,23309
22,KAY/O,12.8,15.2,7.8,0.46,0.025,190,0.001,70184
1,Killjoy,13.8,14.2,4.1,0.507,0.051,198,0.001,188611
2,Sage,12.8,14.5,7.2,0.505,0.1119999999999999,184,0.001,416834
3,Reyna,17.1,15.2,4.6,0.502,0.114,243,0.002,421967
4,Brimstone,13.9,14.7,7.5,0.502,0.049,203,0.001,181675
5,Raze,15.7,15.4,5.1,0.502,0.075,233,0.002,276370
6,Skye,13.3,14.8,7.8,0.496,0.06,191,0.001,221176
7,Cypher,14.1,14.3,5.0,0.495,0.039,197,0.001,145566
8,Phoenix,15.8,15.1,4.7,0.493,0.036,229,0.002,132336
9,Astra,14.5,14.4,5.7,0.493,0.0139999999999999,204,0.001,50705
10,Omen,14.5,14.9,6.0,0.492,0.087,205,0.001,323799
11,Deadlock,14.2,14.8,4.1,0.491,0.05,206,0.001,184381
12,Jett,16.2,15.5,4.0,0.491,0.067,231,0.002,249559
13,Gekko,13.3,14.9,4.7,0.491,0.039,188,0.001,142919
14,Viper,13.9,14.5,5.3,0.488,0.0289999999999999,198,0.001,109089
15,Breach,14.1,15.2,5.9,0.488,0.023,201,0.001,84406
16,Fade,13.4,14.9,6.0,0.487,0.027,191,0.001,99225
17,Chamber,15.1,14.7,3.4,0.482,0.024,211,0.002,87832
18,Sova,13.6,14.7,5.2,0.48,0.027,197,0.001,100266
19,Neon,15.2,15.8,4.2,0.475,0.024,219,0.002,89677
20,Yoru,14.8,15.2,4.3,0.469,0.022,210,0.001,81678
21,KAY/O,13.3,15.2,8.0,0.4629999999999999,0.025,195,0.001,91730
22,Harbor,13.2,15.1,5.5,0.456,0.008,189,0.001,28353
1,Sage,13.2,14.6,7.3,0.509,0.107,188,0.001,398096
2,Raze,16.2,15.5,5.0,0.505,0.076,239,0.002,283128
3,Reyna,17.5,15.2,4.6,0.505,0.118,248,0.002,437966
4,Killjoy,14.1,14.2,4.0,0.504,0.051,201,0.001,187856
5,Brimstone,14.2,14.7,7.8,0.504,0.05,207,0.001,184924
6,Astra,14.8,14.4,5.8,0.503,0.016,207,0.001,57927
7,Phoenix,16.4,15.1,4.7,0.499,0.035,235,0.002,128535
8,Skye,13.6,14.8,7.7,0.497,0.061,195,0.001,227234
9,Cypher,14.4,14.2,5.0,0.496,0.0409999999999999,201,0.001,151129
10,Gekko,13.7,14.9,4.7,0.494,0.035,192,0.001,130616
11,Jett,16.7,15.5,4.0,0.493,0.074,237,0.002,273701
12,Omen,14.8,15.0,6.2,0.493,0.089,209,0.001,331771
13,Deadlock,14.6,14.8,4.1,0.491,0.053,214,0.001,196865
14,Breach,14.3,15.2,6.0,0.49,0.024,204,0.001,88560
15,Fade,13.8,14.9,6.0,0.489,0.024,196,0.001,90117
16,Viper,14.2,14.6,5.3,0.487,0.0279999999999999,202,0.001,102645
17,Sova,14.1,14.7,5.3,0.487,0.025,202,0.001,91578
18,Chamber,15.5,14.7,3.3,0.483,0.024,215,0.002,90154
19,Neon,15.7,15.8,4.2,0.481,0.021,225,0.002,78564
20,Yoru,15.2,15.2,4.3,0.471,0.019,216,0.002,71058
21,KAY/O,13.7,15.3,8.1,0.465,0.023,199,0.001,86890
22,Harbor,13.5,15.1,5.5,0.457,0.0069999999999999,192,0.001,24378
