Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Killjoy,13.3,14.1,4.1,0.506,0.049,193,0.001,138064
2,Sage,12.3,14.5,7.1,0.503,0.11699999999999999,178,0.001,330394
3,Reyna,16.4,15.1,4.6,0.499,0.11,235,0.002,309981
4,Raze,15.1,15.4,5.1,0.498,0.07400000000000001,227,0.002,208457
5,Brimstone,13.5,14.7,7.2,0.498,0.046,198,0.001,130514
6,Skye,12.8,14.7,7.7,0.494,0.057999999999999996,185,0.001,163049
7,Phoenix,15.2,15.0,4.6,0.491,0.036000000000000004,221,0.002,102670
8,Cypher,13.6,14.2,5.0,0.491,0.036000000000000004,192,0.001,102655
9,Astra,13.9,14.4,5.5,0.49,0.011000000000000001,197,0.001,31929
10,Deadlock,13.7,14.8,4.1,0.49,0.055999999999999994,201,0.001,156649
11,Viper,13.3,14.5,5.2,0.49,0.031,193,0.001,87287
12,Omen,14.1,14.9,5.8,0.489,0.084,200,0.001,235377
13,Gekko,12.8,14.9,4.7,0.48700000000000004,0.042,183,0.001,119114
14,Breach,13.7,15.3,5.8,0.48700000000000004,0.021,197,0.001,59887
15,Jett,15.5,15.4,4.0,0.484,0.06,223,0.002,168540
16,Fade,12.8,14.9,6.0,0.484,0.028999999999999998,185,0.001,81226
17,Chamber,14.6,14.7,3.4,0.48200000000000004,0.022000000000000002,205,0.002,61661
18,Sova,13.2,14.6,5.2,0.478,0.028999999999999998,192,0.001,80960
19,Neon,14.6,15.7,4.2,0.47600000000000003,0.027999999999999997,212,0.002,77930
20,Yoru,14.3,15.2,4.3,0.469,0.026000000000000002,204,0.001,73727
21,Harbor,12.8,15.1,5.3,0.461,0.008,184,0.001,23309
22,KAY/O,12.8,15.2,7.8,0.46,0.025,190,0.001,70184
