Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.5,15.0,10.2,0.517,0.046,205,0.001,72345
2,Phoenix,17.3,15.7,4.9,0.512,0.033,240,0.002,50717
3,Sage,14.1,14.9,7.1,0.505,0.038,194,0.001,59847
4,Astra,15.4,14.8,8.0,0.505,0.02,208,0.001,31156
5,Sova,14.8,14.6,6.2,0.504,0.109,206,0.001,169877
6,Reyna,17.5,15.8,4.5,0.499,0.099,239,0.002,154375
7,Killjoy,14.6,14.5,3.6,0.495,0.091,199,0.001,142242
8,Cypher,14.7,14.6,4.9,0.494,0.0279999999999999,198,0.001,43481
9,Skye,14.4,15.3,7.9,0.493,0.038,198,0.001,59549
10,Raze,16.5,16.1,5.0,0.491,0.046,236,0.002,72235
11,Jett,17.4,16.1,3.6,0.491,0.157,237,0.002,244137
12,Deadlock,15.1,15.1,3.8,0.486,0.043,215,0.001,67289
13,Omen,14.8,15.2,9.0,0.484,0.121,203,0.001,189431
14,Chamber,16.5,15.2,2.8,0.483,0.033,219,0.002,51380
15,Fade,14.5,15.1,6.7,0.479,0.016,199,0.001,25313
16,Gekko,14.1,15.3,4.8,0.476,0.009,191,0.001,13961
17,Viper,14.7,14.9,5.9,0.475,0.004,203,0.001,6880
18,Breach,14.5,15.5,7.3,0.473,0.012,200,0.001,18356
19,Yoru,16.0,15.8,4.4,0.471,0.009,219,0.002,13723
20,Neon,15.8,16.5,4.1,0.4589999999999999,0.005,219,0.002,8410
21,KAY/O,14.4,15.6,9.3,0.4529999999999999,0.04,202,0.001,62057
22,Harbor,14.2,15.3,6.3,0.447,0.002,195,0.001,2379
1,Brimstone,14.5,15.0,10.5,0.523,0.044,205,0.001,55576
2,Sage,14.2,14.9,7.0,0.507,0.034,196,0.001,43090
3,Phoenix,17.2,15.8,4.9,0.504,0.033,239,0.002,41656
4,Sova,14.9,14.6,6.2,0.501,0.1159999999999999,207,0.001,147447
5,Cypher,14.8,14.6,4.9,0.499,0.0289999999999999,199,0.001,36359
6,Reyna,17.5,15.8,4.5,0.497,0.098,239,0.002,124823
7,Killjoy,14.7,14.5,3.6,0.496,0.092,200,0.001,117367
8,Raze,16.5,16.0,4.9,0.494,0.044,235,0.002,55932
9,Deadlock,15.2,15.1,3.8,0.493,0.042,220,0.001,53727
10,Astra,15.4,14.9,8.1,0.492,0.02,208,0.001,25602
11,Jett,17.4,16.2,3.6,0.491,0.162,237,0.002,206227
12,Skye,14.5,15.3,7.9,0.486,0.036,198,0.001,45542
13,Chamber,16.4,15.3,2.8,0.486,0.033,218,0.002,41668
14,Omen,14.9,15.2,9.2,0.485,0.124,203,0.001,157089
15,Fade,14.5,15.1,6.8,0.482,0.015,199,0.001,19665
16,Viper,14.8,14.7,5.9,0.479,0.003,206,0.001,4357
17,Yoru,16.0,15.8,4.4,0.479,0.009,220,0.002,11403
18,Breach,14.4,15.5,7.5,0.477,0.01,199,0.001,13173
19,Gekko,14.1,15.3,4.8,0.471,0.008,191,0.001,9719
20,KAY/O,14.4,15.6,9.4,0.4529999999999999,0.04,203,0.001,51245
21,Neon,16.0,16.5,4.1,0.45,0.005,221,0.002,6160
22,Harbor,14.5,15.6,6.6,0.424,0.001,197,0.001,1607
1,Brimstone,14.6,14.9,10.7,0.53,0.04,206,0.001,39370
2,Phoenix,17.2,15.7,4.9,0.513,0.032,238,0.002,31766
3,Sage,14.4,14.9,7.0,0.509,0.03,197,0.001,29255
4,Astra,15.3,14.8,8.3,0.505,0.021,207,0.001,20201
5,Sova,14.8,14.6,6.3,0.503,0.123,206,0.001,120328
6,Reyna,17.5,15.9,4.5,0.501,0.098,238,0.002,96058
7,Cypher,15.0,14.7,5.0,0.501,0.03,200,0.001,28855
8,Fade,14.7,15.1,6.9,0.498,0.0139999999999999,200,0.001,13719
9,Raze,16.5,16.0,5.0,0.494,0.0409999999999999,236,0.002,40225
10,Killjoy,14.7,14.5,3.6,0.494,0.094,200,0.001,91933
11,Deadlock,15.2,15.1,3.8,0.493,0.0409999999999999,220,0.001,39865
12,Skye,14.5,15.3,8.0,0.491,0.034,199,0.001,33108
13,Jett,17.5,16.2,3.6,0.489,0.1689999999999999,237,0.002,165670
14,Omen,14.8,15.1,9.4,0.482,0.127,203,0.001,124494
15,Yoru,16.2,15.9,4.5,0.481,0.009,220,0.002,8654
16,Chamber,16.5,15.3,2.7,0.481,0.032,219,0.002,31560
17,Neon,15.8,16.4,4.1,0.48,0.005,220,0.002,4478
18,Viper,14.7,14.8,5.9,0.479,0.003,204,0.001,2570
19,Breach,14.4,15.6,7.6,0.467,0.009,198,0.001,9215
20,Gekko,14.4,15.3,4.8,0.4639999999999999,0.006,193,0.001,6052
21,Harbor,14.4,15.4,6.6,0.451,0.001,198,0.001,1173
22,KAY/O,14.5,15.7,9.5,0.451,0.04,203,0.001,39376
