Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.5,15.0,10.5,0.523,0.044000000000000004,205,0.001,55576
2,Sage,14.2,14.9,7.0,0.507,0.034,196,0.001,43090
3,Phoenix,17.2,15.8,4.9,0.504,0.033,239,0.002,41656
4,Sova,14.9,14.6,6.2,0.501,0.11599999999999999,207,0.001,147447
5,Cypher,14.8,14.6,4.9,0.499,0.028999999999999998,199,0.001,36359
6,Reyna,17.5,15.8,4.5,0.49700000000000005,0.098,239,0.002,124823
7,Killjoy,14.7,14.5,3.6,0.496,0.092,200,0.001,117367
8,Raze,16.5,16.0,4.9,0.494,0.044000000000000004,235,0.002,55932
9,Deadlock,15.2,15.1,3.8,0.493,0.042,220,0.001,53727
10,Astra,15.4,14.9,8.1,0.49200000000000005,0.02,208,0.001,25602
11,Jett,17.4,16.2,3.6,0.491,0.162,237,0.002,206227
12,Skye,14.5,15.3,7.9,0.486,0.036000000000000004,198,0.001,45542
13,Chamber,16.4,15.3,2.8,0.486,0.033,218,0.002,41668
14,Omen,14.9,15.2,9.2,0.485,0.124,203,0.001,157089
15,Fade,14.5,15.1,6.8,0.48200000000000004,0.015,199,0.001,19665
16,Viper,14.8,14.7,5.9,0.479,0.003,206,0.001,4357
17,Yoru,16.0,15.8,4.4,0.479,0.009000000000000001,220,0.002,11403
18,Breach,14.4,15.5,7.5,0.47700000000000004,0.01,199,0.001,13173
19,Gekko,14.1,15.3,4.8,0.47100000000000003,0.008,191,0.001,9719
20,KAY/O,14.4,15.6,9.4,0.45299999999999996,0.04,203,0.001,51245
21,Neon,16.0,16.5,4.1,0.45,0.005,221,0.002,6160
22,Harbor,14.5,15.6,6.6,0.424,0.001,197,0.001,1607
