Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,17.2,15.5,4.4,0.51,0.025,238,0.002,38801
2,Sage,13.9,14.9,6.7,0.51,0.05,190,0.001,77403
3,Brimstone,14.6,14.9,8.4,0.509,0.109,204,0.001,169912
4,Raze,17.0,16.1,4.8,0.5,0.123,242,0.002,192195
5,Skye,14.4,15.1,7.5,0.497,0.107,196,0.001,167367
6,Reyna,17.8,15.6,4.2,0.496,0.09,242,0.002,139952
7,Sova,14.8,14.7,5.7,0.493,0.032,204,0.001,49155
8,Viper,15.2,14.8,5.5,0.493,0.018,209,0.001,27964
9,Killjoy,14.2,14.4,3.4,0.492,0.037,194,0.001,57524
10,Jett,17.3,16.0,3.5,0.489,0.105,237,0.002,162864
11,Deadlock,15.0,15.1,3.8,0.489,0.049,207,0.001,76633
12,Cypher,14.4,14.6,4.5,0.488,0.051,193,0.001,79724
13,Chamber,16.1,14.9,2.7,0.486,0.051,214,0.002,79091
14,Fade,14.5,15.1,6.3,0.486,0.022,198,0.001,33713
15,Gekko,14.3,15.2,4.7,0.482,0.016,192,0.001,24617
16,Astra,15.1,14.8,6.5,0.48,0.0139999999999999,203,0.001,22234
17,Yoru,16.5,15.8,4.2,0.479,0.0139999999999999,224,0.002,21730
18,Omen,14.8,15.3,7.2,0.472,0.054,202,0.001,83649
19,Neon,16.0,16.4,4.0,0.4629999999999999,0.005,220,0.002,8283
20,Breach,14.5,15.5,6.7,0.462,0.013,199,0.001,20926
21,Harbor,14.4,15.5,5.9,0.449,0.004,193,0.001,5936
22,KAY/O,14.4,15.6,8.7,0.437,0.012,202,0.001,18812
1,Sage,14.0,14.8,6.8,0.516,0.046,191,0.001,57975
2,Phoenix,17.2,15.6,4.4,0.51,0.023,237,0.002,29573
3,Brimstone,14.7,14.9,8.5,0.506,0.114,204,0.001,144909
4,Reyna,17.8,15.6,4.2,0.499,0.087,242,0.002,110588
5,Skye,14.5,15.1,7.6,0.499,0.113,197,0.001,143812
6,Raze,17.0,16.1,4.8,0.498,0.126,242,0.002,160722
7,Gekko,14.4,15.1,4.6,0.492,0.0139999999999999,192,0.001,17664
8,Sova,14.8,14.7,5.7,0.492,0.032,205,0.001,40440
9,Fade,14.6,15.1,6.4,0.49,0.021,198,0.001,26329
10,Killjoy,14.4,14.4,3.4,0.489,0.035,196,0.001,45019
11,Deadlock,15.2,15.1,3.8,0.489,0.049,207,0.001,61773
12,Viper,15.4,14.9,5.6,0.489,0.017,211,0.001,21319
13,Chamber,16.2,14.9,2.6,0.487,0.052,214,0.002,65901
14,Cypher,14.5,14.6,4.5,0.487,0.053,193,0.001,67660
15,Jett,17.4,16.0,3.4,0.485,0.109,237,0.002,138503
16,Astra,15.1,14.8,6.6,0.48,0.0139999999999999,203,0.001,17510
17,Omen,14.8,15.2,7.4,0.478,0.05,202,0.001,63953
18,Yoru,16.5,15.9,4.2,0.477,0.0139999999999999,226,0.002,17745
19,Breach,14.5,15.5,6.8,0.4639999999999999,0.012,198,0.001,15182
20,Neon,16.3,16.4,3.9,0.4579999999999999,0.005,223,0.002,6109
21,KAY/O,14.5,15.6,8.8,0.445,0.011,204,0.001,13805
22,Harbor,14.3,15.4,6.0,0.419,0.003,193,0.001,4280
1,Sage,14.1,14.9,6.7,0.512,0.043,192,0.001,42033
2,Phoenix,17.2,15.5,4.4,0.509,0.023,236,0.002,22144
3,Brimstone,14.7,14.9,8.6,0.507,0.118,204,0.001,116259
4,Reyna,17.8,15.6,4.1,0.5,0.085,242,0.002,83506
5,Raze,17.0,16.1,4.8,0.497,0.129,242,0.002,127108
6,Skye,14.5,15.1,7.6,0.497,0.119,197,0.001,116960
7,Gekko,14.5,15.2,4.7,0.495,0.012,193,0.001,11738
8,Killjoy,14.4,14.4,3.4,0.494,0.033,195,0.001,32716
9,Viper,15.5,14.9,5.6,0.494,0.016,212,0.001,15537
10,Deadlock,15.3,15.1,3.8,0.492,0.047,209,0.001,46429
11,Jett,17.4,16.0,3.4,0.49,0.113,237,0.002,110686
12,Sova,14.9,14.8,5.8,0.49,0.031,205,0.001,30762
13,Chamber,16.3,14.9,2.6,0.488,0.054,215,0.002,52583
14,Cypher,14.6,14.6,4.5,0.488,0.055,194,0.001,53771
15,Fade,14.7,15.1,6.5,0.481,0.02,199,0.001,19304
16,Yoru,16.6,15.8,4.2,0.48,0.0139999999999999,226,0.002,14092
17,Omen,14.9,15.3,7.5,0.475,0.047,202,0.001,45953
18,Astra,15.1,14.8,6.7,0.475,0.0139999999999999,203,0.001,13671
19,Breach,14.3,15.5,6.9,0.4639999999999999,0.01,196,0.001,10259
20,Neon,16.1,16.4,4.0,0.461,0.004,222,0.002,4348
21,Harbor,14.0,15.4,6.0,0.442,0.003,190,0.001,3204
22,KAY/O,14.5,15.7,8.9,0.437,0.01,203,0.001,9444
