Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,14.1,14.9,6.7,0.512,0.043,192,0.001,42033
2,Phoenix,17.2,15.5,4.4,0.509,0.023,236,0.002,22144
3,Brimstone,14.7,14.9,8.6,0.507,0.11800000000000001,204,0.001,116259
4,Reyna,17.8,15.6,4.1,0.5,0.085,242,0.002,83506
5,Raze,17.0,16.1,4.8,0.49700000000000005,0.129,242,0.002,127108
6,Skye,14.5,15.1,7.6,0.49700000000000005,0.11900000000000001,197,0.001,116960
7,Gekko,14.5,15.2,4.7,0.495,0.012,193,0.001,11738
8,Killjoy,14.4,14.4,3.4,0.494,0.033,195,0.001,32716
9,Viper,15.5,14.9,5.6,0.494,0.016,212,0.001,15537
10,Deadlock,15.3,15.1,3.8,0.49200000000000005,0.047,209,0.001,46429
11,Jett,17.4,16.0,3.4,0.49,0.113,237,0.002,110686
12,Sova,14.9,14.8,5.8,0.49,0.031,205,0.001,30762
13,Chamber,16.3,14.9,2.6,0.488,0.054000000000000006,215,0.002,52583
14,Cypher,14.6,14.6,4.5,0.488,0.055,194,0.001,53771
15,Fade,14.7,15.1,6.5,0.48100000000000004,0.02,199,0.001,19304
16,Yoru,16.6,15.8,4.2,0.48,0.013999999999999999,226,0.002,14092
17,Omen,14.9,15.3,7.5,0.475,0.047,202,0.001,45953
18,Astra,15.1,14.8,6.7,0.475,0.013999999999999999,203,0.001,13671
19,Breach,14.3,15.5,6.9,0.46399999999999997,0.01,196,0.001,10259
20,Neon,16.1,16.4,4.0,0.461,0.004,222,0.002,4348
21,Harbor,14.0,15.4,6.0,0.442,0.003,190,0.001,3204
22,KAY/O,14.5,15.7,8.9,0.43700000000000006,0.01,203,0.001,9444
