Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.6,14.8,9.2,0.511,0.126,205,0.001,193780
2,Phoenix,17.0,15.4,4.6,0.507,0.021,235,0.002,31667
3,Killjoy,14.7,14.4,3.7,0.505,0.067,201,0.001,102781
4,Reyna,17.8,15.5,4.4,0.504,0.096,243,0.002,147992
5,Sage,13.8,14.8,6.8,0.501,0.038,190,0.001,58773
6,Skye,14.3,15.1,7.4,0.498,0.04,196,0.001,61785
7,Raze,16.7,15.8,4.6,0.497,0.073,237,0.002,112918
8,Jett,17.4,15.9,3.6,0.493,0.132,239,0.002,203597
9,Breach,14.2,15.3,7.3,0.493,0.107,195,0.001,165173
10,Cypher,14.9,14.7,4.8,0.493,0.039,201,0.001,60604
11,Fade,14.5,15.0,6.2,0.491,0.024,197,0.001,36929
12,Gekko,14.0,15.0,4.7,0.49,0.017,190,0.001,25664
13,Deadlock,15.1,15.1,3.9,0.487,0.045,210,0.001,68584
14,Chamber,16.4,15.0,2.8,0.485,0.047,219,0.002,72308
15,Neon,16.6,16.4,4.3,0.484,0.021,230,0.002,31797
16,Sova,14.6,14.9,5.5,0.479,0.009,202,0.001,14264
17,Viper,14.7,14.9,5.7,0.476,0.026,203,0.001,39835
18,Yoru,15.9,15.8,4.4,0.466,0.01,217,0.002,15606
19,Astra,15.1,14.9,6.6,0.4639999999999999,0.011,205,0.001,17673
20,Omen,14.5,15.2,7.2,0.4589999999999999,0.027,200,0.001,42106
21,KAY/O,14.3,15.5,9.1,0.4529999999999999,0.018,202,0.001,27917
22,Harbor,14.0,15.4,6.1,0.432,0.004,192,0.001,6309
1,Brimstone,14.7,14.8,9.3,0.51,0.132,205,0.001,165368
2,Killjoy,14.8,14.4,3.6,0.506,0.067,202,0.001,84496
3,Reyna,17.8,15.6,4.3,0.504,0.094,242,0.002,117351
4,Phoenix,17.0,15.4,4.6,0.502,0.019,234,0.002,24155
5,Sage,14.0,14.9,6.8,0.502,0.034,192,0.001,42468
6,Cypher,15.0,14.7,4.7,0.497,0.0409999999999999,202,0.001,51361
7,Jett,17.5,15.9,3.6,0.494,0.138,239,0.002,173410
8,Raze,16.7,15.9,4.6,0.494,0.076,237,0.002,95295
9,Gekko,14.2,15.0,4.7,0.494,0.015,191,0.001,18472
10,Skye,14.3,15.1,7.4,0.491,0.037,196,0.001,46405
11,Sova,14.7,14.7,5.6,0.49,0.008,204,0.001,10261
12,Breach,14.3,15.3,7.4,0.49,0.115,196,0.001,144025
13,Deadlock,15.3,15.1,3.9,0.487,0.044,209,0.001,54968
14,Chamber,16.5,15.1,2.8,0.486,0.048,220,0.002,60115
15,Fade,14.6,15.0,6.2,0.486,0.023,199,0.001,28813
16,Viper,14.8,14.8,5.7,0.485,0.025,204,0.001,31163
17,Neon,16.5,16.4,4.3,0.485,0.02,229,0.002,25428
18,Yoru,16.0,15.7,4.4,0.471,0.01,219,0.002,12299
19,Astra,15.1,14.7,6.8,0.4629999999999999,0.01,206,0.001,13117
20,Omen,14.7,15.2,7.4,0.4579999999999999,0.024,201,0.001,29792
21,KAY/O,14.4,15.5,9.2,0.452,0.017,203,0.001,21482
22,Harbor,14.1,15.3,6.2,0.425,0.004,192,0.001,4602
1,Brimstone,14.7,14.8,9.5,0.511,0.1369999999999999,206,0.001,132897
2,Killjoy,14.9,14.4,3.6,0.506,0.069,202,0.001,67070
3,Sage,14.1,14.9,6.8,0.504,0.03,193,0.001,29237
4,Reyna,17.7,15.6,4.3,0.502,0.092,241,0.002,88671
5,Phoenix,17.1,15.4,4.5,0.5,0.018,235,0.002,17215
6,Jett,17.5,16.0,3.6,0.496,0.144,239,0.002,139516
7,Raze,16.8,15.9,4.6,0.495,0.078,237,0.002,75644
8,Skye,14.4,15.1,7.4,0.493,0.034,197,0.001,32964
9,Breach,14.3,15.3,7.5,0.491,0.121,195,0.001,116785
10,Cypher,15.1,14.7,4.7,0.49,0.043,203,0.001,41131
11,Deadlock,15.3,15.1,3.9,0.489,0.043,206,0.001,41238
12,Sova,14.7,14.7,5.6,0.489,0.0069999999999999,204,0.001,6764
13,Viper,14.8,14.9,5.8,0.486,0.023,204,0.001,22100
14,Chamber,16.6,15.1,2.8,0.485,0.049,220,0.002,47108
15,Gekko,14.2,15.1,4.7,0.485,0.013,191,0.001,12317
16,Fade,14.6,15.0,6.2,0.483,0.022,198,0.001,21336
17,Neon,16.6,16.5,4.3,0.481,0.02,230,0.002,18982
18,Astra,15.2,14.8,6.8,0.471,0.01,207,0.001,9477
19,Yoru,15.7,15.8,4.3,0.469,0.01,215,0.002,9393
20,KAY/O,14.4,15.5,9.3,0.456,0.016,203,0.001,15452
21,Omen,14.6,15.2,7.4,0.4539999999999999,0.02,200,0.001,18935
22,Harbor,14.0,15.3,6.2,0.449,0.003,190,0.001,3070
