Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.6,14.8,9.2,0.511,0.126,205,0.001,193780
2,Phoenix,17.0,15.4,4.6,0.507,0.021,235,0.002,31667
3,Killjoy,14.7,14.4,3.7,0.505,0.067,201,0.001,102781
4,Reyna,17.8,15.5,4.4,0.504,0.096,243,0.002,147992
5,Sage,13.8,14.8,6.8,0.501,0.038,190,0.001,58773
6,Skye,14.3,15.1,7.4,0.498,0.04,196,0.001,61785
7,Raze,16.7,15.8,4.6,0.49700000000000005,0.073,237,0.002,112918
8,Jett,17.4,15.9,3.6,0.493,0.132,239,0.002,203597
9,Breach,14.2,15.3,7.3,0.493,0.107,195,0.001,165173
10,Cypher,14.9,14.7,4.8,0.493,0.039,201,0.001,60604
11,Fade,14.5,15.0,6.2,0.491,0.024,197,0.001,36929
12,Gekko,14.0,15.0,4.7,0.49,0.017,190,0.001,25664
13,Deadlock,15.1,15.1,3.9,0.48700000000000004,0.045,210,0.001,68584
14,Chamber,16.4,15.0,2.8,0.485,0.047,219,0.002,72308
15,Neon,16.6,16.4,4.3,0.484,0.021,230,0.002,31797
16,Sova,14.6,14.9,5.5,0.479,0.009000000000000001,202,0.001,14264
17,Viper,14.7,14.9,5.7,0.47600000000000003,0.026000000000000002,203,0.001,39835
18,Yoru,15.9,15.8,4.4,0.466,0.01,217,0.002,15606
19,Astra,15.1,14.9,6.6,0.46399999999999997,0.011000000000000001,205,0.001,17673
20,Omen,14.5,15.2,7.2,0.45899999999999996,0.027000000000000003,200,0.001,42106
21,KAY/O,14.3,15.5,9.1,0.45299999999999996,0.018000000000000002,202,0.001,27917
22,Harbor,14.0,15.4,6.1,0.43200000000000005,0.004,192,0.001,6309
