Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.5,15.0,9.5,0.517,0.042,204,0.001,66283
2,Phoenix,17.3,15.7,4.7,0.507,0.037,239,0.002,58484
3,Sage,14.1,15.1,7.0,0.5,0.05,194,0.001,78692
4,Killjoy,14.8,14.5,3.4,0.5,0.061,202,0.001,94872
5,Reyna,17.6,15.8,4.4,0.498,0.105,241,0.002,163333
6,Raze,16.6,16.0,4.7,0.497,0.045,236,0.002,70113
7,Sova,14.7,14.7,5.8,0.496,0.0819999999999999,204,0.001,128578
8,Gekko,14.3,15.2,4.9,0.496,0.013,194,0.001,20411
9,Jett,17.3,16.0,3.6,0.493,0.153,237,0.002,238054
10,Cypher,15.0,14.7,4.6,0.492,0.036,202,0.001,56552
11,Astra,15.2,14.8,7.0,0.491,0.019,205,0.001,29426
12,Fade,14.5,15.1,6.7,0.49,0.017,199,0.001,26295
13,Breach,14.5,15.4,7.4,0.489,0.027,200,0.001,42859
14,Deadlock,15.0,15.2,3.8,0.488,0.042,222,0.001,65664
15,Omen,14.8,15.1,8.1,0.488,0.127,203,0.001,198356
16,Skye,14.3,15.2,7.7,0.488,0.061,198,0.001,95333
17,Chamber,16.3,15.1,2.8,0.485,0.043,217,0.002,67656
18,Viper,14.8,14.7,5.8,0.484,0.004,206,0.001,5708
19,Neon,15.9,16.5,4.0,0.476,0.0069999999999999,222,0.002,11436
20,Yoru,16.0,15.8,4.4,0.467,0.01,219,0.002,16184
21,KAY/O,14.4,15.7,9.3,0.452,0.015,205,0.001,22736
22,Harbor,14.1,15.7,6.2,0.433,0.002,192,0.001,2637
1,Brimstone,14.5,15.0,9.5,0.513,0.039,204,0.001,50121
2,Sage,14.2,15.1,7.0,0.505,0.046,196,0.001,57924
3,Phoenix,17.3,15.7,4.7,0.504,0.038,239,0.002,47621
4,Killjoy,14.9,14.6,3.4,0.501,0.063,202,0.001,79872
5,Sova,14.8,14.7,5.8,0.499,0.088,204,0.001,112151
6,Reyna,17.6,15.8,4.4,0.497,0.103,240,0.002,130928
7,Gekko,14.4,15.2,5.0,0.496,0.011,195,0.001,14363
8,Fade,14.5,15.1,6.8,0.495,0.016,199,0.001,19863
9,Raze,16.6,16.0,4.6,0.495,0.043,236,0.002,54733
10,Cypher,15.0,14.7,4.6,0.494,0.037,202,0.001,47424
11,Skye,14.4,15.3,7.7,0.492,0.061,198,0.001,76816
12,Deadlock,15.2,15.2,3.8,0.49,0.0409999999999999,220,0.001,52145
13,Jett,17.3,16.1,3.6,0.489,0.16,236,0.002,203207
14,Omen,14.8,15.1,8.3,0.489,0.129,203,0.001,164135
15,Breach,14.5,15.4,7.5,0.488,0.027,199,0.001,34271
16,Astra,15.2,14.8,7.2,0.488,0.019,205,0.001,24118
17,Viper,15.1,14.8,5.9,0.486,0.003,208,0.001,3899
18,Neon,16.1,16.5,4.1,0.48,0.0069999999999999,223,0.002,8371
19,Chamber,16.3,15.1,2.8,0.48,0.044,217,0.002,55532
20,Harbor,14.5,15.6,6.5,0.476,0.001,197,0.001,1841
21,Yoru,16.0,15.8,4.5,0.474,0.01,219,0.002,13094
22,KAY/O,14.5,15.6,9.4,0.447,0.013,206,0.001,16952
1,Brimstone,14.5,14.9,9.7,0.518,0.038,205,0.001,37280
2,Phoenix,17.3,15.8,4.7,0.505,0.038,238,0.002,37124
3,Sage,14.3,15.1,7.0,0.505,0.04,197,0.001,39273
4,Gekko,14.5,15.1,5.0,0.504,0.01,195,0.001,9382
5,Killjoy,15.0,14.6,3.4,0.502,0.065,203,0.001,63481
6,Raze,16.6,16.0,4.6,0.5,0.0409999999999999,236,0.002,40463
7,Cypher,15.1,14.7,4.6,0.499,0.039,202,0.001,38029
8,Sova,14.8,14.7,5.8,0.499,0.094,204,0.001,92329
9,Reyna,17.6,15.9,4.4,0.498,0.103,240,0.002,100835
10,Jett,17.4,16.1,3.5,0.493,0.166,236,0.002,163207
11,Skye,14.4,15.3,7.7,0.492,0.06,198,0.001,59179
12,Astra,15.2,14.8,7.3,0.491,0.019,205,0.001,18522
13,Fade,14.5,15.2,6.8,0.491,0.015,199,0.001,14569
14,Deadlock,15.3,15.2,3.8,0.49,0.039,219,0.001,38027
15,Breach,14.6,15.4,7.6,0.489,0.026,199,0.001,25411
16,Omen,14.8,15.1,8.5,0.488,0.132,202,0.001,129482
17,Chamber,16.4,15.1,2.7,0.484,0.045,218,0.002,43867
18,Viper,15.0,14.8,5.9,0.476,0.002,208,0.001,2408
19,Neon,16.2,16.5,4.1,0.471,0.006,225,0.002,6098
20,Yoru,16.1,16.1,4.5,0.4679999999999999,0.01,218,0.002,9644
21,KAY/O,14.7,15.7,9.5,0.452,0.012,207,0.001,11594
22,Harbor,14.5,15.3,6.6,0.44,0.001,198,0.001,1192
