Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.5,14.9,9.7,0.518,0.038,205,0.001,37280
2,Phoenix,17.3,15.8,4.7,0.505,0.038,238,0.002,37124
3,Sage,14.3,15.1,7.0,0.505,0.04,197,0.001,39273
4,Gekko,14.5,15.1,5.0,0.504,0.01,195,0.001,9382
5,Killjoy,15.0,14.6,3.4,0.502,0.065,203,0.001,63481
6,Raze,16.6,16.0,4.6,0.5,0.040999999999999995,236,0.002,40463
7,Cypher,15.1,14.7,4.6,0.499,0.039,202,0.001,38029
8,Sova,14.8,14.7,5.8,0.499,0.094,204,0.001,92329
9,Reyna,17.6,15.9,4.4,0.498,0.10300000000000001,240,0.002,100835
10,Jett,17.4,16.1,3.5,0.493,0.166,236,0.002,163207
11,Skye,14.4,15.3,7.7,0.49200000000000005,0.06,198,0.001,59179
12,Astra,15.2,14.8,7.3,0.491,0.019,205,0.001,18522
13,Fade,14.5,15.2,6.8,0.491,0.015,199,0.001,14569
14,Deadlock,15.3,15.2,3.8,0.49,0.039,219,0.001,38027
15,Breach,14.6,15.4,7.6,0.489,0.026000000000000002,199,0.001,25411
16,Omen,14.8,15.1,8.5,0.488,0.132,202,0.001,129482
17,Chamber,16.4,15.1,2.7,0.484,0.045,218,0.002,43867
18,Viper,15.0,14.8,5.9,0.47600000000000003,0.002,208,0.001,2408
19,Neon,16.2,16.5,4.1,0.47100000000000003,0.006,225,0.002,6098
20,Yoru,16.1,16.1,4.5,0.46799999999999997,0.01,218,0.002,9644
21,KAY/O,14.7,15.7,9.5,0.452,0.012,207,0.001,11594
22,Harbor,14.5,15.3,6.6,0.44,0.001,198,0.001,1192
