Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.5,14.9,9.3,0.51,0.033,204,0.001,49896
2,Phoenix,17.1,15.5,4.6,0.507,0.022,237,0.002,34281
3,Killjoy,14.8,14.4,3.5,0.506,0.066,202,0.001,101808
4,Gekko,14.2,15.1,4.8,0.504,0.047,191,0.001,71701
5,Sage,14.0,15.0,7.0,0.501,0.034,193,0.001,52246
6,Raze,16.9,16.0,4.8,0.5,0.092,242,0.002,141952
7,Viper,15.2,14.8,5.9,0.498,0.0139999999999999,209,0.001,22224
8,Reyna,17.7,15.7,4.3,0.498,0.095,242,0.002,145111
9,Jett,17.4,16.0,3.6,0.495,0.124,238,0.002,190948
10,Skye,14.3,15.1,8.3,0.495,0.071,196,0.001,109097
11,Chamber,16.6,15.0,2.8,0.493,0.062,221,0.002,94755
12,Astra,15.1,14.7,6.8,0.493,0.024,203,0.001,36828
13,Omen,14.9,15.2,7.8,0.492,0.11,203,0.001,168461
14,Deadlock,15.2,15.1,3.8,0.491,0.047,214,0.001,71812
15,Fade,14.4,15.1,6.6,0.489,0.02,198,0.001,31160
16,Breach,14.3,15.4,7.5,0.487,0.051,197,0.001,78567
17,Cypher,14.8,14.7,4.6,0.486,0.023,199,0.001,35952
18,Sova,14.6,14.9,5.7,0.483,0.012,204,0.001,18044
19,Neon,16.3,16.5,4.3,0.48,0.012,227,0.002,18364
20,Yoru,15.9,15.8,4.3,0.466,0.01,218,0.002,15920
21,Harbor,14.2,15.3,6.4,0.4589999999999999,0.017,193,0.001,25783
22,KAY/O,14.3,15.6,9.4,0.44,0.013,202,0.001,19869
1,Brimstone,14.6,14.9,9.4,0.517,0.03,205,0.001,37224
2,Sage,14.2,15.0,7.0,0.505,0.0289999999999999,194,0.001,36737
3,Phoenix,17.2,15.6,4.6,0.505,0.021,237,0.002,26399
4,Gekko,14.3,15.1,4.9,0.503,0.047,191,0.001,58811
5,Killjoy,14.9,14.4,3.5,0.502,0.069,203,0.001,86172
6,Raze,17.0,16.0,4.8,0.501,0.096,242,0.002,120726
7,Skye,14.3,15.1,8.4,0.499,0.071,196,0.001,89363
8,Reyna,17.8,15.7,4.3,0.498,0.092,242,0.002,114849
9,Viper,15.3,14.8,5.9,0.496,0.013,210,0.001,16466
10,Jett,17.4,16.1,3.6,0.494,0.13,238,0.002,162192
11,Omen,14.9,15.2,7.9,0.493,0.113,203,0.001,141403
12,Chamber,16.7,15.1,2.7,0.491,0.064,221,0.002,80612
13,Astra,15.2,14.7,6.9,0.491,0.024,204,0.001,30189
14,Fade,14.6,15.1,6.6,0.49,0.019,199,0.001,24186
15,Deadlock,15.3,15.1,3.8,0.489,0.046,214,0.001,57278
16,Breach,14.4,15.4,7.6,0.487,0.052,197,0.001,65371
17,Sova,14.7,14.9,5.8,0.481,0.011,205,0.001,13305
18,Cypher,15.0,14.8,4.6,0.48,0.023,201,0.001,28593
19,Neon,16.4,16.6,4.3,0.476,0.012,227,0.002,14566
20,Yoru,16.1,15.8,4.3,0.474,0.01,220,0.002,12708
21,Harbor,14.2,15.2,6.5,0.467,0.016,193,0.001,20633
22,KAY/O,14.3,15.6,9.4,0.449,0.011,203,0.001,14130
1,Brimstone,14.6,14.9,9.6,0.512,0.027,205,0.001,26374
2,Sage,14.4,15.0,7.0,0.507,0.025,196,0.001,24164
3,Phoenix,17.3,15.6,4.7,0.507,0.02,238,0.002,19016
4,Killjoy,14.9,14.4,3.5,0.505,0.072,203,0.001,69460
5,Viper,15.4,14.7,5.9,0.502,0.012,212,0.001,11488
6,Raze,16.9,16.0,4.7,0.501,0.098,242,0.002,94295
7,Gekko,14.3,15.1,4.8,0.498,0.046,191,0.001,44507
8,Omen,14.9,15.2,8.1,0.498,0.1159999999999999,203,0.001,111355
9,Fade,14.6,15.1,6.7,0.496,0.018,199,0.001,17022
10,Reyna,17.7,15.7,4.3,0.496,0.09,241,0.002,86542
11,Skye,14.3,15.1,8.4,0.496,0.073,196,0.001,70013
12,Jett,17.4,16.1,3.6,0.495,0.135,238,0.002,129706
13,Astra,15.1,14.8,7.0,0.494,0.025,203,0.001,23768
14,Deadlock,15.4,15.1,3.8,0.493,0.043,225,0.001,41798
15,Chamber,16.7,15.1,2.7,0.491,0.066,222,0.002,63790
16,Breach,14.3,15.3,7.7,0.49,0.055,196,0.001,53260
17,Neon,16.4,16.5,4.3,0.489,0.011,226,0.002,10717
18,Cypher,15.0,14.7,4.6,0.489,0.022,201,0.001,21517
19,Sova,15.0,14.9,5.9,0.482,0.009,207,0.001,9079
20,Yoru,16.1,16.0,4.4,0.466,0.01,219,0.002,9825
21,Harbor,14.3,15.3,6.5,0.465,0.016,194,0.001,15330
22,KAY/O,14.3,15.7,9.7,0.442,0.01,203,0.001,9711
