Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.5,14.9,9.3,0.51,0.033,204,0.001,49896
2,Phoenix,17.1,15.5,4.6,0.507,0.022000000000000002,237,0.002,34281
3,Killjoy,14.8,14.4,3.5,0.506,0.066,202,0.001,101808
4,Gekko,14.2,15.1,4.8,0.504,0.047,191,0.001,71701
5,Sage,14.0,15.0,7.0,0.501,0.034,193,0.001,52246
6,Raze,16.9,16.0,4.8,0.5,0.092,242,0.002,141952
7,Viper,15.2,14.8,5.9,0.498,0.013999999999999999,209,0.001,22224
8,Reyna,17.7,15.7,4.3,0.498,0.095,242,0.002,145111
9,Jett,17.4,16.0,3.6,0.495,0.124,238,0.002,190948
10,Skye,14.3,15.1,8.3,0.495,0.071,196,0.001,109097
11,Chamber,16.6,15.0,2.8,0.493,0.062,221,0.002,94755
12,Astra,15.1,14.7,6.8,0.493,0.024,203,0.001,36828
13,Omen,14.9,15.2,7.8,0.49200000000000005,0.11,203,0.001,168461
14,Deadlock,15.2,15.1,3.8,0.491,0.047,214,0.001,71812
15,Fade,14.4,15.1,6.6,0.489,0.02,198,0.001,31160
16,Breach,14.3,15.4,7.5,0.48700000000000004,0.051,197,0.001,78567
17,Cypher,14.8,14.7,4.6,0.486,0.023,199,0.001,35952
18,Sova,14.6,14.9,5.7,0.483,0.012,204,0.001,18044
19,Neon,16.3,16.5,4.3,0.48,0.012,227,0.002,18364
20,Yoru,15.9,15.8,4.3,0.466,0.01,218,0.002,15920
21,Harbor,14.2,15.3,6.4,0.45899999999999996,0.017,193,0.001,25783
22,KAY/O,14.3,15.6,9.4,0.44,0.013000000000000001,202,0.001,19869
