Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,17.3,15.6,4.9,0.513,0.039,241,0.002,60187
2,Brimstone,14.4,14.9,8.9,0.511,0.031,204,0.001,47584
3,Gekko,14.2,15.0,5.0,0.508,0.042,193,0.001,64262
4,Killjoy,14.8,14.4,3.7,0.504,0.053,204,0.001,81691
5,Sage,13.9,15.0,7.0,0.503,0.039,192,0.001,59963
6,Viper,15.0,14.7,6.2,0.502,0.0579999999999999,208,0.001,88612
7,Astra,15.1,14.5,6.9,0.501,0.0559999999999999,205,0.001,86434
8,Raze,16.5,15.9,4.8,0.497,0.0409999999999999,237,0.002,62468
9,Reyna,17.7,15.7,4.4,0.496,0.102,243,0.002,156613
10,Skye,14.3,15.2,8.0,0.494,0.071,198,0.001,109182
11,Cypher,14.8,14.6,4.7,0.494,0.037,200,0.001,57140
12,Fade,14.4,15.1,6.6,0.493,0.046,199,0.001,70469
13,Deadlock,15.2,15.2,3.9,0.49,0.044,210,0.001,66762
14,Sova,14.5,14.7,5.8,0.488,0.018,203,0.001,27483
15,Jett,17.2,16.0,3.6,0.486,0.149,236,0.002,227787
16,Chamber,16.3,14.9,2.8,0.483,0.0579999999999999,217,0.002,89138
17,Omen,14.6,15.3,7.2,0.48,0.03,201,0.001,45894
18,Yoru,16.2,15.8,4.4,0.477,0.012,223,0.002,18911
19,Neon,16.1,16.5,4.2,0.471,0.01,225,0.002,15953
20,Harbor,13.9,15.3,6.4,0.465,0.033,190,0.001,50239
21,Breach,14.3,15.6,7.0,0.4589999999999999,0.01,199,0.001,15110
22,KAY/O,14.3,15.7,8.8,0.449,0.021,202,0.001,31640
1,Brimstone,14.4,14.9,9.0,0.515,0.0289999999999999,203,0.001,36133
2,Phoenix,17.4,15.6,4.9,0.512,0.04,241,0.002,49839
3,Gekko,14.3,15.0,5.0,0.506,0.042,193,0.001,51980
4,Killjoy,14.9,14.4,3.6,0.505,0.055,204,0.001,68436
5,Cypher,14.8,14.6,4.7,0.504,0.038,200,0.001,47739
6,Raze,16.6,16.0,4.8,0.503,0.039,237,0.002,48506
7,Sage,13.9,15.1,7.0,0.502,0.034,193,0.001,42883
8,Viper,15.1,14.7,6.2,0.502,0.0579999999999999,209,0.001,72476
9,Reyna,17.7,15.7,4.4,0.501,0.1,243,0.002,125367
10,Astra,15.1,14.5,7.0,0.499,0.061,204,0.001,76397
11,Fade,14.6,15.1,6.6,0.497,0.047,200,0.001,58662
12,Sova,14.6,14.7,5.8,0.497,0.017,204,0.001,20781
13,Skye,14.3,15.2,8.0,0.494,0.073,198,0.001,90921
14,Jett,17.2,16.0,3.6,0.493,0.155,236,0.002,193366
15,Deadlock,15.3,15.2,3.9,0.487,0.042,210,0.001,52830
16,Chamber,16.3,15.0,2.8,0.485,0.06,217,0.002,74692
17,Omen,14.7,15.2,7.4,0.48,0.027,202,0.001,33254
18,Yoru,16.2,15.9,4.4,0.477,0.012,221,0.002,15557
19,Neon,16.1,16.5,4.1,0.476,0.01,224,0.002,12139
20,Harbor,13.9,15.2,6.5,0.465,0.034,191,0.001,42023
21,Breach,14.4,15.6,7.1,0.465,0.009,199,0.001,10738
22,KAY/O,14.4,15.7,8.9,0.446,0.02,204,0.001,24733
1,Phoenix,17.4,15.6,5.0,0.514,0.0409999999999999,241,0.002,39869
2,Brimstone,14.4,14.9,9.1,0.512,0.027,204,0.001,25947
3,Cypher,14.9,14.6,4.7,0.511,0.039,201,0.001,37911
4,Sage,14.1,15.1,7.0,0.506,0.03,194,0.001,28915
5,Killjoy,14.9,14.5,3.6,0.506,0.057,205,0.001,54924
6,Gekko,14.3,15.1,5.0,0.504,0.04,193,0.001,39040
7,Raze,16.5,15.9,4.8,0.502,0.037,237,0.002,35873
8,Viper,15.1,14.8,6.2,0.502,0.057,209,0.001,55348
9,Astra,15.1,14.5,7.1,0.501,0.067,204,0.001,64588
10,Reyna,17.7,15.7,4.4,0.5,0.1,242,0.002,96161
11,Skye,14.3,15.2,8.0,0.497,0.075,197,0.001,71853
12,Fade,14.6,15.2,6.6,0.493,0.048,200,0.001,46251
13,Sova,14.7,14.7,5.9,0.493,0.015,204,0.001,14716
14,Jett,17.2,16.0,3.6,0.49,0.162,235,0.002,155987
15,Deadlock,15.3,15.2,3.9,0.489,0.0409999999999999,206,0.001,39315
16,Chamber,16.3,15.0,2.8,0.479,0.06,217,0.002,58012
17,Breach,14.3,15.6,7.2,0.474,0.0069999999999999,198,0.001,7099
18,Yoru,16.1,15.9,4.4,0.474,0.012,220,0.002,11821
19,Omen,14.6,15.3,7.5,0.471,0.023,202,0.001,21996
20,Neon,16.0,16.5,4.1,0.4679999999999999,0.009,223,0.002,8726
21,Harbor,14.0,15.2,6.5,0.465,0.033,191,0.001,31832
22,KAY/O,14.4,15.7,8.9,0.441,0.019,204,0.001,18079
