Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.4,14.9,9.0,0.515,0.028999999999999998,203,0.001,36133
2,Phoenix,17.4,15.6,4.9,0.512,0.04,241,0.002,49839
3,Gekko,14.3,15.0,5.0,0.506,0.042,193,0.001,51980
4,Killjoy,14.9,14.4,3.6,0.505,0.055,204,0.001,68436
5,Cypher,14.8,14.6,4.7,0.504,0.038,200,0.001,47739
6,Raze,16.6,16.0,4.8,0.503,0.039,237,0.002,48506
7,Sage,13.9,15.1,7.0,0.502,0.034,193,0.001,42883
8,Viper,15.1,14.7,6.2,0.502,0.057999999999999996,209,0.001,72476
9,Reyna,17.7,15.7,4.4,0.501,0.1,243,0.002,125367
10,Astra,15.1,14.5,7.0,0.499,0.061,204,0.001,76397
11,Fade,14.6,15.1,6.6,0.49700000000000005,0.047,200,0.001,58662
12,Sova,14.6,14.7,5.8,0.49700000000000005,0.017,204,0.001,20781
13,Skye,14.3,15.2,8.0,0.494,0.073,198,0.001,90921
14,Jett,17.2,16.0,3.6,0.493,0.155,236,0.002,193366
15,Deadlock,15.3,15.2,3.9,0.48700000000000004,0.042,210,0.001,52830
16,Chamber,16.3,15.0,2.8,0.485,0.06,217,0.002,74692
17,Omen,14.7,15.2,7.4,0.48,0.027000000000000003,202,0.001,33254
18,Yoru,16.2,15.9,4.4,0.47700000000000004,0.012,221,0.002,15557
19,Neon,16.1,16.5,4.1,0.47600000000000003,0.01,224,0.002,12139
20,Harbor,13.9,15.2,6.5,0.465,0.034,191,0.001,42023
21,Breach,14.4,15.6,7.1,0.465,0.009000000000000001,199,0.001,10738
22,KAY/O,14.4,15.7,8.9,0.446,0.02,204,0.001,24733
