Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,14.4,15.0,7.5,0.511,0.1009999999999999,199,0.001,155996
2,Brimstone,14.7,15.0,9.5,0.507,0.038,209,0.001,58233
3,Raze,17.0,16.2,4.9,0.5,0.106,244,0.002,164012
4,Reyna,17.7,15.7,4.4,0.5,0.089,242,0.002,137368
5,Skye,14.5,15.1,8.0,0.497,0.096,199,0.001,149591
6,Phoenix,17.1,15.6,4.7,0.497,0.021,237,0.002,32546
7,Killjoy,14.8,14.5,3.7,0.497,0.042,204,0.001,65184
8,Jett,17.4,16.2,3.7,0.49,0.12,239,0.002,185362
9,Astra,15.4,14.8,7.1,0.489,0.035,210,0.001,54167
10,Omen,15.1,15.1,7.9,0.489,0.111,207,0.001,171660
11,Fade,14.6,15.2,6.2,0.489,0.015,199,0.001,23243
12,Cypher,14.9,14.7,4.6,0.489,0.052,201,0.001,80244
13,Deadlock,15.3,15.1,3.9,0.485,0.046,216,0.001,71819
14,Gekko,14.3,15.2,4.7,0.485,0.016,194,0.001,24867
15,Breach,14.5,15.4,7.3,0.485,0.024,200,0.001,37823
16,Viper,15.2,14.9,5.7,0.481,0.012,210,0.001,18335
17,Chamber,16.4,15.2,2.9,0.479,0.0289999999999999,220,0.002,44831
18,Sova,14.7,15.0,5.5,0.479,0.012,206,0.001,18623
19,Neon,15.9,16.4,4.2,0.474,0.006,222,0.002,9623
20,Yoru,16.1,15.7,4.4,0.467,0.009,221,0.002,14703
21,KAY/O,14.4,15.7,9.0,0.445,0.019,204,0.001,29398
22,Harbor,14.5,15.5,6.1,0.4379999999999999,0.002,198,0.001,3125
1,Brimstone,14.8,15.0,9.7,0.512,0.035,210,0.001,43822
2,Sage,14.5,15.0,7.5,0.511,0.1,200,0.001,126078
3,Reyna,17.7,15.7,4.4,0.5,0.086,242,0.002,108378
4,Skye,14.5,15.1,8.0,0.497,0.102,199,0.001,129223
5,Raze,17.0,16.2,4.9,0.497,0.109,245,0.002,138417
6,Gekko,14.4,15.2,4.7,0.496,0.0139999999999999,195,0.001,17652
7,Phoenix,17.0,15.6,4.7,0.496,0.019,237,0.002,24149
8,Viper,15.4,14.8,5.7,0.49,0.01,212,0.001,13154
9,Breach,14.5,15.3,7.5,0.489,0.024,199,0.001,30306
10,Killjoy,14.8,14.5,3.6,0.489,0.042,204,0.001,52807
11,Astra,15.5,14.7,7.2,0.489,0.036,210,0.001,45466
12,Jett,17.4,16.2,3.7,0.489,0.124,238,0.002,157257
13,Deadlock,15.4,15.2,3.9,0.489,0.046,215,0.001,57752
14,Omen,15.1,15.1,8.1,0.488,0.113,207,0.001,142719
15,Cypher,14.9,14.7,4.6,0.483,0.054,201,0.001,68012
16,Fade,14.7,15.1,6.1,0.483,0.0139999999999999,201,0.001,17210
17,Chamber,16.5,15.2,2.9,0.481,0.0289999999999999,221,0.002,36457
18,Sova,14.9,14.9,5.5,0.474,0.01,207,0.001,12882
19,Neon,16.2,16.5,4.1,0.467,0.006,224,0.002,7251
20,Yoru,16.2,15.8,4.4,0.466,0.009,221,0.002,11773
21,KAY/O,14.6,15.6,9.1,0.457,0.017,206,0.001,22126
22,Harbor,14.2,15.4,6.2,0.457,0.002,196,0.001,2109
1,Brimstone,14.8,15.0,9.9,0.518,0.032,210,0.001,31258
2,Sage,14.6,15.0,7.4,0.514,0.099,201,0.001,96765
3,Skye,14.5,15.1,8.0,0.5,0.107,199,0.001,104382
4,Raze,17.0,16.2,4.9,0.499,0.114,244,0.002,110604
5,Astra,15.5,14.7,7.3,0.497,0.038,210,0.001,37420
6,Reyna,17.6,15.8,4.3,0.495,0.083,241,0.002,80386
7,Phoenix,17.1,15.7,4.7,0.494,0.017,237,0.002,16778
8,Fade,14.8,15.2,6.2,0.491,0.012,202,0.001,11812
9,Omen,15.1,15.1,8.3,0.489,0.115,207,0.001,111667
10,Cypher,14.9,14.7,4.6,0.489,0.055,201,0.001,53215
11,Jett,17.4,16.2,3.6,0.489,0.129,239,0.002,125741
12,Deadlock,15.6,15.2,3.9,0.488,0.045,220,0.001,43487
13,Breach,14.5,15.3,7.6,0.487,0.023,199,0.001,22720
14,Killjoy,15.0,14.6,3.6,0.486,0.0409999999999999,205,0.001,39538
15,Viper,15.6,14.9,5.7,0.484,0.009,215,0.001,8799
16,Yoru,16.3,15.7,4.4,0.479,0.009,224,0.002,8948
17,Gekko,14.5,15.2,4.7,0.478,0.012,196,0.001,11496
18,Chamber,16.5,15.2,2.8,0.478,0.0279999999999999,221,0.002,27726
19,Sova,14.7,14.9,5.5,0.474,0.009,206,0.001,8278
20,Neon,16.0,16.5,4.2,0.472,0.005,224,0.002,5068
21,KAY/O,14.5,15.6,9.1,0.4479999999999999,0.016,205,0.001,15649
22,Harbor,14.3,15.5,6.5,0.441,0.001,196,0.001,1448
