Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.8,15.0,9.7,0.512,0.035,210,0.001,43822
2,Sage,14.5,15.0,7.5,0.511,0.1,200,0.001,126078
3,Reyna,17.7,15.7,4.4,0.5,0.086,242,0.002,108378
4,Skye,14.5,15.1,8.0,0.49700000000000005,0.102,199,0.001,129223
5,Raze,17.0,16.2,4.9,0.49700000000000005,0.109,245,0.002,138417
6,Gekko,14.4,15.2,4.7,0.496,0.013999999999999999,195,0.001,17652
7,Phoenix,17.0,15.6,4.7,0.496,0.019,237,0.002,24149
8,Viper,15.4,14.8,5.7,0.49,0.01,212,0.001,13154
9,Breach,14.5,15.3,7.5,0.489,0.024,199,0.001,30306
10,Killjoy,14.8,14.5,3.6,0.489,0.042,204,0.001,52807
11,Astra,15.5,14.7,7.2,0.489,0.036000000000000004,210,0.001,45466
12,Jett,17.4,16.2,3.7,0.489,0.124,238,0.002,157257
13,Deadlock,15.4,15.2,3.9,0.489,0.046,215,0.001,57752
14,Omen,15.1,15.1,8.1,0.488,0.113,207,0.001,142719
15,Cypher,14.9,14.7,4.6,0.483,0.054000000000000006,201,0.001,68012
16,Fade,14.7,15.1,6.1,0.483,0.013999999999999999,201,0.001,17210
17,Chamber,16.5,15.2,2.9,0.48100000000000004,0.028999999999999998,221,0.002,36457
18,Sova,14.9,14.9,5.5,0.474,0.01,207,0.001,12882
19,Neon,16.2,16.5,4.1,0.467,0.006,224,0.002,7251
20,Yoru,16.2,15.8,4.4,0.466,0.009000000000000001,221,0.002,11773
21,KAY/O,14.6,15.6,9.1,0.457,0.017,206,0.001,22126
22,Harbor,14.2,15.4,6.2,0.457,0.002,196,0.001,2109
