Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.3,14.9,9.1,0.512,0.0559999999999999,204,0.001,164011
2,Phoenix,17.1,15.4,4.8,0.507,0.034,240,0.002,100457
3,Sova,14.6,14.5,5.9,0.502,0.074,206,0.001,218970
4,Reyna,17.5,15.6,4.5,0.501,0.113,244,0.002,331731
5,Sage,13.5,14.8,7.0,0.498,0.066,188,0.001,194043
6,Cypher,14.4,14.4,4.9,0.496,0.026,196,0.001,75042
7,Killjoy,14.1,14.3,3.8,0.493,0.089,197,0.001,263177
8,Jett,17.3,15.9,3.8,0.492,0.1169999999999999,239,0.002,343253
9,Astra,15.2,14.7,7.0,0.492,0.016,208,0.001,46767
10,Raze,16.2,15.8,5.0,0.489,0.0559999999999999,236,0.002,165162
11,Deadlock,14.6,15.0,3.8,0.486,0.047,211,0.001,138963
12,Omen,14.7,15.1,7.8,0.486,0.105,204,0.001,308468
13,Skye,13.9,15.1,7.8,0.485,0.042,195,0.001,124510
14,Chamber,16.2,15.0,3.0,0.484,0.0289999999999999,219,0.002,84353
15,Fade,14.1,15.0,6.3,0.484,0.02,196,0.001,57635
16,Viper,14.3,14.7,5.6,0.483,0.013,200,0.001,37895
17,Gekko,13.8,15.2,4.7,0.478,0.019,190,0.001,56200
18,Breach,14.3,15.5,6.6,0.472,0.018,201,0.001,52106
19,Neon,15.7,16.3,4.1,0.466,0.011,221,0.002,33377
20,KAY/O,14.0,15.4,8.5,0.4629999999999999,0.033,199,0.001,97625
21,Yoru,15.7,15.6,4.3,0.4629999999999999,0.012,217,0.002,36750
22,Harbor,13.7,15.3,6.0,0.435,0.004,191,0.001,10510
1,Brimstone,14.4,14.9,9.3,0.512,0.055,205,0.001,147115
2,Phoenix,17.2,15.5,4.8,0.508,0.034,242,0.002,91584
3,Sage,13.7,14.8,7.0,0.503,0.061,190,0.001,163626
4,Sova,14.7,14.5,5.9,0.502,0.079,207,0.001,212019
5,Reyna,17.6,15.7,4.5,0.501,0.1119999999999999,244,0.002,301028
6,Killjoy,14.3,14.3,3.7,0.496,0.089,199,0.001,239728
7,Raze,16.4,15.9,5.0,0.496,0.055,238,0.002,147987
8,Astra,15.3,14.7,7.1,0.495,0.016,209,0.001,44131
9,Cypher,14.6,14.4,4.9,0.494,0.026,198,0.001,69572
10,Jett,17.4,15.9,3.7,0.493,0.124,241,0.002,333970
11,Chamber,16.3,15.0,3.0,0.492,0.0289999999999999,220,0.002,78712
12,Deadlock,14.9,15.0,3.9,0.489,0.047,213,0.001,125195
13,Skye,14.1,15.1,7.8,0.488,0.042,197,0.001,111695
14,Omen,14.8,15.1,8.0,0.486,0.107,205,0.001,288169
15,Fade,14.2,15.0,6.4,0.485,0.019,197,0.001,52201
16,Breach,14.4,15.4,6.7,0.483,0.017,201,0.001,45752
17,Viper,14.4,14.8,5.7,0.483,0.011,201,0.001,30367
18,Gekko,14.0,15.1,4.7,0.48,0.017,192,0.001,46716
19,Neon,15.7,16.3,4.1,0.465,0.01,221,0.002,27061
20,Yoru,15.7,15.6,4.3,0.461,0.011,218,0.002,30549
21,KAY/O,14.1,15.5,8.6,0.457,0.034,200,0.001,91748
22,Harbor,14.0,15.2,6.1,0.449,0.003,194,0.001,8347
1,Brimstone,14.5,14.9,9.4,0.515,0.053,206,0.001,130885
2,Phoenix,17.3,15.5,4.8,0.512,0.034,242,0.002,84365
3,Sova,14.9,14.5,6.0,0.506,0.084,208,0.001,206804
4,Sage,13.9,14.9,7.0,0.503,0.057,192,0.001,139230
5,Reyna,17.7,15.7,4.5,0.502,0.111,245,0.002,272140
6,Astra,15.4,14.7,7.3,0.499,0.017,210,0.001,42609
7,Killjoy,14.4,14.3,3.7,0.497,0.089,199,0.001,218450
8,Raze,16.5,15.9,5.0,0.494,0.054,238,0.002,132259
9,Jett,17.5,15.9,3.7,0.492,0.132,241,0.002,325234
10,Chamber,16.4,15.0,3.0,0.491,0.03,221,0.002,74064
11,Cypher,14.7,14.5,5.0,0.491,0.026,199,0.001,63652
12,Skye,14.2,15.1,7.8,0.49,0.0409999999999999,198,0.001,100096
13,Deadlock,15.0,15.0,3.8,0.49,0.045,212,0.001,111787
14,Fade,14.4,15.0,6.4,0.489,0.018,199,0.001,45376
15,Omen,14.9,15.1,8.2,0.487,0.109,205,0.001,268699
16,Viper,14.5,14.8,5.7,0.483,0.01,202,0.001,23949
17,Breach,14.4,15.4,6.8,0.475,0.016,201,0.001,39596
18,Gekko,14.1,15.2,4.8,0.475,0.016,193,0.001,38369
19,Yoru,15.9,15.7,4.3,0.4639999999999999,0.011,219,0.002,26653
20,KAY/O,14.2,15.5,8.8,0.461,0.035,202,0.001,85842
21,Neon,15.9,16.4,4.1,0.4539999999999999,0.009,222,0.002,22314
22,Harbor,14.1,15.4,6.2,0.4429999999999999,0.003,195,0.001,6706
