Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.4,14.9,9.3,0.512,0.055,205,0.001,147115
2,Phoenix,17.2,15.5,4.8,0.508,0.034,242,0.002,91584
3,Sage,13.7,14.8,7.0,0.503,0.061,190,0.001,163626
4,Sova,14.7,14.5,5.9,0.502,0.079,207,0.001,212019
5,Reyna,17.6,15.7,4.5,0.501,0.11199999999999999,244,0.002,301028
6,Killjoy,14.3,14.3,3.7,0.496,0.08900000000000001,199,0.001,239728
7,Raze,16.4,15.9,5.0,0.496,0.055,238,0.002,147987
8,Astra,15.3,14.7,7.1,0.495,0.016,209,0.001,44131
9,Cypher,14.6,14.4,4.9,0.494,0.026000000000000002,198,0.001,69572
10,Jett,17.4,15.9,3.7,0.493,0.124,241,0.002,333970
11,Chamber,16.3,15.0,3.0,0.49200000000000005,0.028999999999999998,220,0.002,78712
12,Deadlock,14.9,15.0,3.9,0.489,0.047,213,0.001,125195
13,Skye,14.1,15.1,7.8,0.488,0.042,197,0.001,111695
14,Omen,14.8,15.1,8.0,0.486,0.107,205,0.001,288169
15,Fade,14.2,15.0,6.4,0.485,0.019,197,0.001,52201
16,Breach,14.4,15.4,6.7,0.483,0.017,201,0.001,45752
17,Viper,14.4,14.8,5.7,0.483,0.011000000000000001,201,0.001,30367
18,Gekko,14.0,15.1,4.7,0.48,0.017,192,0.001,46716
19,Neon,15.7,16.3,4.1,0.465,0.01,221,0.002,27061
20,Yoru,15.7,15.6,4.3,0.461,0.011000000000000001,218,0.002,30549
21,KAY/O,14.1,15.5,8.6,0.457,0.034,200,0.001,91748
22,Harbor,14.0,15.2,6.1,0.449,0.003,194,0.001,8347
