Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.3,14.7,7.8,0.505,0.088,202,0.001,260834
2,Sage,13.4,14.8,6.7,0.503,0.072,186,0.001,211206
3,Raze,16.7,15.8,4.8,0.5,0.1009999999999999,242,0.002,297777
4,Phoenix,16.9,15.3,4.3,0.499,0.031,237,0.002,91194
5,Reyna,17.8,15.4,4.3,0.499,0.11,246,0.002,325043
6,Killjoy,13.8,14.3,3.6,0.496,0.044,193,0.001,130232
7,Viper,14.6,14.7,5.4,0.492,0.025,204,0.001,72338
8,Skye,14.0,15.0,7.3,0.492,0.081,195,0.001,238717
9,Gekko,13.9,15.0,4.6,0.491,0.026,191,0.001,76422
10,Deadlock,14.6,15.0,3.9,0.491,0.052,209,0.001,154099
11,Cypher,14.1,14.4,4.6,0.49,0.044,192,0.001,130063
12,Sova,14.3,14.7,5.4,0.49,0.0289999999999999,202,0.001,84063
13,Fade,14.0,15.0,6.1,0.489,0.024,196,0.001,72044
14,Jett,17.1,15.7,3.6,0.488,0.084,237,0.002,247441
15,Chamber,15.8,14.7,2.8,0.487,0.04,214,0.002,116715
16,Astra,14.9,14.7,6.0,0.481,0.013,203,0.001,39376
17,Omen,14.7,15.1,6.6,0.479,0.066,204,0.001,195320
18,Breach,14.3,15.4,6.0,0.476,0.019,199,0.001,57362
19,Neon,15.9,16.1,3.9,0.47,0.011,223,0.002,33727
20,Yoru,15.8,15.6,4.1,0.467,0.016,220,0.002,47609
21,Harbor,13.6,15.2,5.6,0.444,0.005,189,0.001,15940
22,KAY/O,13.9,15.5,8.1,0.437,0.017,199,0.001,51282
1,Brimstone,14.4,14.7,7.9,0.506,0.091,204,0.001,244087
2,Phoenix,17.1,15.3,4.4,0.505,0.03,238,0.002,81731
3,Sage,13.6,14.8,6.7,0.505,0.067,188,0.001,181708
4,Reyna,17.9,15.4,4.2,0.5,0.109,247,0.002,292682
5,Raze,16.9,15.8,4.8,0.499,0.106,243,0.002,286491
6,Sova,14.6,14.6,5.5,0.497,0.0289999999999999,204,0.001,77525
7,Viper,14.6,14.7,5.4,0.496,0.023,204,0.001,63276
8,Skye,14.1,15.0,7.3,0.495,0.084,196,0.001,226564
9,Killjoy,13.9,14.3,3.6,0.495,0.043,194,0.001,115189
10,Gekko,14.0,15.1,4.6,0.494,0.025,192,0.001,66066
11,Fade,14.2,15.0,6.1,0.491,0.024,197,0.001,64666
12,Cypher,14.2,14.4,4.6,0.491,0.045,193,0.001,120742
13,Chamber,16.0,14.7,2.8,0.49,0.042,216,0.002,112036
14,Deadlock,14.8,15.0,3.8,0.489,0.052,207,0.001,139060
15,Jett,17.3,15.8,3.6,0.488,0.088,238,0.002,237342
16,Astra,14.9,14.6,6.0,0.48,0.013,204,0.001,36114
17,Omen,14.8,15.2,6.7,0.476,0.064,204,0.001,172716
18,Yoru,16.1,15.7,4.1,0.475,0.015,223,0.002,41373
19,Breach,14.4,15.4,6.1,0.474,0.019,201,0.001,51282
20,Neon,15.9,16.1,3.9,0.472,0.01,223,0.002,27094
21,Harbor,13.8,15.2,5.6,0.45,0.005,191,0.001,13382
22,KAY/O,14.1,15.5,8.2,0.445,0.016,201,0.001,44345
1,Brimstone,14.5,14.8,8.0,0.51,0.094,205,0.001,230767
2,Sage,13.7,14.8,6.7,0.507,0.063,190,0.001,156262
3,Phoenix,17.2,15.3,4.3,0.507,0.03,240,0.002,72785
4,Reyna,18.0,15.4,4.2,0.502,0.107,247,0.002,262825
5,Gekko,14.1,15.1,4.6,0.499,0.023,192,0.001,56054
6,Killjoy,14.0,14.3,3.6,0.499,0.042,195,0.001,102428
7,Skye,14.3,15.0,7.3,0.499,0.087,197,0.001,213620
8,Raze,17.0,15.9,4.8,0.497,0.11,244,0.002,270881
9,Sova,14.6,14.6,5.5,0.497,0.03,205,0.001,72944
10,Viper,14.8,14.7,5.4,0.492,0.023,206,0.001,55498
11,Jett,17.3,15.8,3.5,0.491,0.092,239,0.002,226153
12,Fade,14.3,15.0,6.2,0.49,0.023,198,0.001,57185
13,Chamber,16.1,14.7,2.8,0.489,0.043,216,0.002,107019
14,Cypher,14.4,14.5,4.6,0.488,0.045,194,0.001,112065
15,Deadlock,14.9,15.0,3.9,0.488,0.051,207,0.001,126723
16,Astra,15.0,14.6,6.1,0.485,0.0139999999999999,204,0.001,33921
17,Omen,14.8,15.2,6.8,0.477,0.063,204,0.001,154350
18,Breach,14.4,15.4,6.2,0.473,0.018,200,0.001,43518
19,Yoru,16.3,15.7,4.1,0.473,0.015,224,0.002,37372
20,Neon,16.0,16.2,3.9,0.47,0.009,224,0.002,21949
21,Harbor,14.0,15.2,5.6,0.455,0.005,193,0.001,11686
22,KAY/O,14.2,15.5,8.3,0.45,0.016,202,0.001,38920
