Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.4,14.7,7.9,0.506,0.091,204,0.001,244087
2,Phoenix,17.1,15.3,4.4,0.505,0.03,238,0.002,81731
3,Sage,13.6,14.8,6.7,0.505,0.067,188,0.001,181708
4,Reyna,17.9,15.4,4.2,0.5,0.109,247,0.002,292682
5,Raze,16.9,15.8,4.8,0.499,0.106,243,0.002,286491
6,Sova,14.6,14.6,5.5,0.49700000000000005,0.028999999999999998,204,0.001,77525
7,Viper,14.6,14.7,5.4,0.496,0.023,204,0.001,63276
8,Skye,14.1,15.0,7.3,0.495,0.084,196,0.001,226564
9,Killjoy,13.9,14.3,3.6,0.495,0.043,194,0.001,115189
10,Gekko,14.0,15.1,4.6,0.494,0.025,192,0.001,66066
11,Fade,14.2,15.0,6.1,0.491,0.024,197,0.001,64666
12,Cypher,14.2,14.4,4.6,0.491,0.045,193,0.001,120742
13,Chamber,16.0,14.7,2.8,0.49,0.042,216,0.002,112036
14,Deadlock,14.8,15.0,3.8,0.489,0.052000000000000005,207,0.001,139060
15,Jett,17.3,15.8,3.6,0.488,0.08800000000000001,238,0.002,237342
16,Astra,14.9,14.6,6.0,0.48,0.013000000000000001,204,0.001,36114
17,Omen,14.8,15.2,6.7,0.47600000000000003,0.064,204,0.001,172716
18,Yoru,16.1,15.7,4.1,0.475,0.015,223,0.002,41373
19,Breach,14.4,15.4,6.1,0.474,0.019,201,0.001,51282
20,Neon,15.9,16.1,3.9,0.47200000000000003,0.01,223,0.002,27094
21,Harbor,13.8,15.2,5.6,0.45,0.005,191,0.001,13382
22,KAY/O,14.1,15.5,8.2,0.445,0.016,201,0.001,44345
