Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.3,14.6,8.5,0.507,0.0969999999999999,204,0.001,281998
2,Killjoy,14.1,14.2,3.9,0.502,0.061,198,0.001,178182
3,Phoenix,16.8,15.2,4.5,0.501,0.0289999999999999,236,0.002,84462
4,Reyna,17.8,15.3,4.5,0.5,0.113,248,0.002,328137
5,Sage,13.2,14.7,6.8,0.498,0.066,185,0.001,191132
6,Raze,16.4,15.6,4.7,0.494,0.064,236,0.002,186496
7,Jett,17.3,15.6,3.8,0.493,0.1,241,0.002,289633
8,Gekko,13.7,14.9,4.7,0.492,0.026,190,0.001,76324
9,Breach,14.2,15.2,6.6,0.491,0.075,199,0.001,217510
10,Cypher,14.5,14.5,4.8,0.491,0.034,199,0.001,98545
11,Skye,13.8,14.9,7.3,0.49,0.049,194,0.001,141747
12,Fade,13.9,14.9,6.2,0.49,0.025,194,0.001,73002
13,Chamber,16.1,14.8,3.1,0.49,0.037,219,0.002,108355
14,Deadlock,14.7,15.0,3.9,0.487,0.051,208,0.001,147564
15,Viper,14.2,14.7,5.6,0.486,0.03,199,0.001,85843
16,Neon,16.3,16.1,4.2,0.485,0.025,229,0.002,73024
17,Astra,14.8,14.6,6.1,0.474,0.012,205,0.001,34081
18,Sova,14.1,14.8,5.4,0.473,0.016,200,0.001,47176
19,Omen,14.4,15.1,6.6,0.471,0.049,201,0.001,142271
20,Yoru,15.5,15.5,4.3,0.462,0.013,215,0.002,38814
21,KAY/O,14.0,15.4,8.5,0.46,0.021,201,0.001,59827
22,Harbor,13.6,15.2,5.9,0.445,0.0069999999999999,190,0.001,19621
1,Brimstone,14.5,14.6,8.6,0.514,0.1009999999999999,205,0.001,267309
2,Killjoy,14.3,14.3,3.9,0.507,0.062,200,0.001,164219
3,Phoenix,17.0,15.2,4.5,0.505,0.0279999999999999,238,0.002,74549
4,Reyna,17.9,15.4,4.5,0.502,0.111,249,0.002,296429
5,Raze,16.5,15.6,4.7,0.497,0.066,238,0.002,174920
6,Jett,17.4,15.7,3.8,0.497,0.106,242,0.002,281708
7,Cypher,14.6,14.5,4.8,0.496,0.034,200,0.001,91200
8,Gekko,13.9,14.9,4.7,0.496,0.025,191,0.001,65837
9,Sage,13.4,14.8,6.8,0.495,0.06,187,0.001,160111
10,Viper,14.3,14.6,5.6,0.494,0.0289999999999999,201,0.001,76837
11,Fade,14.1,14.9,6.2,0.493,0.025,196,0.001,66226
12,Skye,14.0,14.9,7.3,0.492,0.048,195,0.001,127396
13,Breach,14.3,15.2,6.7,0.49,0.079,199,0.001,211159
14,Chamber,16.3,14.9,3.0,0.49,0.039,220,0.002,104487
15,Deadlock,14.9,15.0,3.9,0.489,0.05,210,0.001,132650
16,Neon,16.5,16.1,4.3,0.488,0.024,231,0.002,64489
17,Astra,14.9,14.6,6.2,0.481,0.012,205,0.001,31437
18,Sova,14.3,14.9,5.4,0.475,0.015,202,0.001,39941
19,Omen,14.5,15.1,6.7,0.47,0.046,202,0.001,123402
20,KAY/O,14.0,15.4,8.6,0.462,0.02,201,0.001,53846
21,Yoru,15.7,15.5,4.3,0.4589999999999999,0.013,218,0.002,33940
22,Harbor,13.7,15.1,5.9,0.4539999999999999,0.006,190,0.001,16480
1,Brimstone,14.5,14.6,8.7,0.513,0.105,206,0.001,254750
2,Killjoy,14.4,14.3,3.8,0.506,0.062,201,0.001,151666
3,Phoenix,17.1,15.2,4.6,0.505,0.027,239,0.002,66103
4,Reyna,17.9,15.4,4.4,0.501,0.111,249,0.002,269840
5,Sage,13.6,14.8,6.9,0.501,0.0559999999999999,189,0.001,135363
6,Jett,17.5,15.7,3.8,0.498,0.1119999999999999,242,0.002,271210
7,Raze,16.7,15.7,4.7,0.498,0.067,239,0.002,163098
8,Fade,14.2,14.9,6.2,0.494,0.025,197,0.001,59604
9,Breach,14.4,15.2,6.8,0.494,0.083,199,0.001,202033
10,Skye,14.1,15.0,7.3,0.493,0.046,196,0.001,112331
11,Cypher,14.7,14.5,4.8,0.493,0.035,202,0.001,84719
12,Viper,14.5,14.7,5.6,0.493,0.0289999999999999,202,0.001,70719
13,Gekko,14.0,15.0,4.7,0.491,0.023,191,0.001,56763
14,Neon,16.5,16.2,4.3,0.49,0.024,232,0.002,57944
15,Deadlock,15.0,15.0,3.9,0.49,0.049,209,0.001,117942
16,Chamber,16.4,14.9,3.0,0.488,0.0409999999999999,222,0.002,99291
17,Astra,15.1,14.7,6.3,0.48,0.012,207,0.001,28784
18,Sova,14.4,14.8,5.4,0.479,0.0139999999999999,204,0.001,34074
19,Omen,14.6,15.2,6.8,0.4679999999999999,0.043,202,0.001,103415
20,Yoru,15.8,15.5,4.3,0.467,0.012,219,0.002,29082
21,KAY/O,14.2,15.4,8.7,0.461,0.02,203,0.001,48444
22,Harbor,13.8,15.1,5.9,0.4539999999999999,0.006,191,0.001,14284
