Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.5,14.6,8.6,0.514,0.10099999999999999,205,0.001,267309
2,Killjoy,14.3,14.3,3.9,0.507,0.062,200,0.001,164219
3,Phoenix,17.0,15.2,4.5,0.505,0.027999999999999997,238,0.002,74549
4,Reyna,17.9,15.4,4.5,0.502,0.111,249,0.002,296429
5,Raze,16.5,15.6,4.7,0.49700000000000005,0.066,238,0.002,174920
6,Jett,17.4,15.7,3.8,0.49700000000000005,0.106,242,0.002,281708
7,Cypher,14.6,14.5,4.8,0.496,0.034,200,0.001,91200
8,Gekko,13.9,14.9,4.7,0.496,0.025,191,0.001,65837
9,Sage,13.4,14.8,6.8,0.495,0.06,187,0.001,160111
10,Viper,14.3,14.6,5.6,0.494,0.028999999999999998,201,0.001,76837
11,Fade,14.1,14.9,6.2,0.493,0.025,196,0.001,66226
12,Skye,14.0,14.9,7.3,0.49200000000000005,0.048,195,0.001,127396
13,Breach,14.3,15.2,6.7,0.49,0.079,199,0.001,211159
14,Chamber,16.3,14.9,3.0,0.49,0.039,220,0.002,104487
15,Deadlock,14.9,15.0,3.9,0.489,0.05,210,0.001,132650
16,Neon,16.5,16.1,4.3,0.488,0.024,231,0.002,64489
17,Astra,14.9,14.6,6.2,0.48100000000000004,0.012,205,0.001,31437
18,Sova,14.3,14.9,5.4,0.475,0.015,202,0.001,39941
19,Omen,14.5,15.1,6.7,0.47,0.046,202,0.001,123402
20,KAY/O,14.0,15.4,8.6,0.462,0.02,201,0.001,53846
21,Yoru,15.7,15.5,4.3,0.45899999999999996,0.013000000000000001,218,0.002,33940
22,Harbor,13.7,15.1,5.9,0.45399999999999996,0.006,190,0.001,16480
