Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.2,14.8,8.5,0.506,0.053,202,0.001,154548
2,Phoenix,17.1,15.4,4.5,0.501,0.036,240,0.002,106393
3,Killjoy,14.2,14.4,3.6,0.499,0.055,198,0.001,161071
4,Fade,14.2,15.1,6.5,0.497,0.02,198,0.001,59245
5,Sage,13.5,14.9,6.9,0.497,0.079,188,0.001,230782
6,Reyna,17.7,15.6,4.4,0.497,0.1169999999999999,246,0.002,345303
7,Raze,16.4,15.7,4.7,0.497,0.053,236,0.002,155082
8,Sova,14.4,14.6,5.5,0.496,0.0559999999999999,202,0.001,165601
9,Gekko,14.0,15.0,4.9,0.496,0.025,193,0.001,72196
10,Jett,17.2,15.8,3.7,0.493,0.1159999999999999,239,0.002,340685
11,Cypher,14.5,14.6,4.7,0.493,0.031,199,0.001,89999
12,Astra,14.9,14.6,6.3,0.49,0.016,204,0.001,46326
13,Deadlock,14.7,15.0,3.8,0.489,0.048,211,0.001,141538
14,Skye,14.0,15.0,7.5,0.489,0.0559999999999999,196,0.001,165414
15,Omen,14.7,15.1,7.2,0.487,0.1119999999999999,204,0.001,328690
16,Breach,14.4,15.4,6.6,0.487,0.0289999999999999,200,0.001,84183
17,Chamber,15.9,14.9,3.0,0.485,0.037,215,0.002,109139
18,Viper,14.3,14.8,5.6,0.48,0.011,201,0.001,32682
19,Neon,15.9,16.2,4.0,0.477,0.0139999999999999,224,0.002,39969
20,Yoru,15.6,15.6,4.3,0.47,0.0139999999999999,216,0.002,41141
21,KAY/O,14.0,15.5,8.7,0.451,0.02,201,0.001,59198
22,Harbor,13.9,15.3,5.9,0.4379999999999999,0.004,193,0.001,10350
1,Brimstone,14.3,14.8,8.7,0.508,0.051,204,0.001,136619
2,Phoenix,17.2,15.4,4.6,0.506,0.037,241,0.002,98304
3,Sage,13.6,14.9,7.0,0.502,0.073,190,0.001,196682
4,Killjoy,14.4,14.4,3.6,0.5,0.0559999999999999,199,0.001,149411
5,Reyna,17.8,15.6,4.4,0.498,0.1169999999999999,247,0.002,315325
6,Sova,14.6,14.6,5.5,0.496,0.06,204,0.001,160299
7,Jett,17.4,15.8,3.7,0.494,0.124,241,0.002,332588
8,Skye,14.2,15.1,7.5,0.493,0.0559999999999999,198,0.001,151393
9,Gekko,14.1,15.1,4.9,0.492,0.023,193,0.001,61091
10,Cypher,14.7,14.6,4.7,0.492,0.031,201,0.001,82294
11,Raze,16.5,15.8,4.7,0.491,0.052,238,0.002,139649
12,Deadlock,14.9,15.1,3.8,0.491,0.047,213,0.001,126597
13,Omen,14.8,15.1,7.3,0.49,0.114,205,0.001,306804
14,Chamber,16.1,14.9,2.9,0.488,0.039,217,0.002,104220
15,Breach,14.5,15.4,6.7,0.487,0.0289999999999999,201,0.001,77872
16,Viper,14.4,14.7,5.6,0.487,0.009,202,0.001,25389
17,Fade,14.3,15.1,6.5,0.487,0.02,199,0.001,52762
18,Astra,15.0,14.7,6.4,0.484,0.016,205,0.001,43790
19,Neon,16.1,16.3,4.1,0.475,0.012,226,0.002,32792
20,Yoru,15.8,15.6,4.3,0.472,0.013,218,0.002,34958
21,KAY/O,14.2,15.6,8.8,0.4589999999999999,0.019,203,0.001,51446
22,Harbor,14.0,15.3,6.0,0.4379999999999999,0.003,195,0.001,8258
1,Phoenix,17.4,15.5,4.6,0.506,0.037,242,0.002,90949
2,Killjoy,14.5,14.4,3.5,0.504,0.0559999999999999,200,0.001,137215
3,Brimstone,14.4,14.9,8.8,0.504,0.049,204,0.001,121680
4,Sage,13.8,14.9,7.0,0.503,0.069,192,0.001,171070
5,Reyna,17.9,15.7,4.4,0.499,0.1159999999999999,247,0.002,285698
6,Sova,14.7,14.6,5.6,0.499,0.063,204,0.001,155760
7,Skye,14.3,15.1,7.6,0.496,0.0559999999999999,199,0.001,139203
8,Cypher,14.8,14.6,4.7,0.496,0.031,202,0.001,77251
9,Raze,16.6,15.8,4.7,0.496,0.051,238,0.002,124945
10,Jett,17.4,15.8,3.7,0.495,0.13,241,0.002,320563
11,Deadlock,15.0,15.1,3.8,0.494,0.046,217,0.001,113802
12,Gekko,14.2,15.1,4.9,0.494,0.021,194,0.001,50981
13,Fade,14.4,15.1,6.5,0.494,0.019,200,0.001,46199
14,Omen,14.9,15.1,7.5,0.492,0.1169999999999999,206,0.001,287334
15,Breach,14.5,15.3,6.8,0.49,0.0289999999999999,201,0.001,70289
16,Astra,15.1,14.7,6.5,0.489,0.017,206,0.001,41845
17,Chamber,16.2,14.9,2.9,0.489,0.04,218,0.002,98242
18,Viper,14.6,14.8,5.7,0.48,0.008,204,0.001,20217
19,Neon,16.1,16.3,4.1,0.472,0.011,225,0.002,27652
20,Yoru,16.0,15.7,4.4,0.47,0.012,220,0.002,30666
21,KAY/O,14.4,15.6,8.9,0.4579999999999999,0.019,205,0.001,46167
22,Harbor,13.9,15.3,6.0,0.446,0.003,193,0.001,6846
