Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.2,14.8,8.5,0.506,0.053,202,0.001,154548
2,Phoenix,17.1,15.4,4.5,0.501,0.036000000000000004,240,0.002,106393
3,Killjoy,14.2,14.4,3.6,0.499,0.055,198,0.001,161071
4,Fade,14.2,15.1,6.5,0.49700000000000005,0.02,198,0.001,59245
5,Sage,13.5,14.9,6.9,0.49700000000000005,0.079,188,0.001,230782
6,Reyna,17.7,15.6,4.4,0.49700000000000005,0.11699999999999999,246,0.002,345303
7,Raze,16.4,15.7,4.7,0.49700000000000005,0.053,236,0.002,155082
8,Sova,14.4,14.6,5.5,0.496,0.055999999999999994,202,0.001,165601
9,Gekko,14.0,15.0,4.9,0.496,0.025,193,0.001,72196
10,Jett,17.2,15.8,3.7,0.493,0.11599999999999999,239,0.002,340685
11,Cypher,14.5,14.6,4.7,0.493,0.031,199,0.001,89999
12,Astra,14.9,14.6,6.3,0.49,0.016,204,0.001,46326
13,Deadlock,14.7,15.0,3.8,0.489,0.048,211,0.001,141538
14,Skye,14.0,15.0,7.5,0.489,0.055999999999999994,196,0.001,165414
15,Omen,14.7,15.1,7.2,0.48700000000000004,0.11199999999999999,204,0.001,328690
16,Breach,14.4,15.4,6.6,0.48700000000000004,0.028999999999999998,200,0.001,84183
17,Chamber,15.9,14.9,3.0,0.485,0.037000000000000005,215,0.002,109139
18,Viper,14.3,14.8,5.6,0.48,0.011000000000000001,201,0.001,32682
19,Neon,15.9,16.2,4.0,0.47700000000000004,0.013999999999999999,224,0.002,39969
20,Yoru,15.6,15.6,4.3,0.47,0.013999999999999999,216,0.002,41141
21,KAY/O,14.0,15.5,8.7,0.451,0.02,201,0.001,59198
22,Harbor,13.9,15.3,5.9,0.43799999999999994,0.004,193,0.001,10350
