Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.3,14.8,8.3,0.506,0.043,204,0.001,124556
2,Raze,16.7,15.7,5.0,0.502,0.081,243,0.002,235720
3,Sage,13.4,14.8,7.0,0.502,0.064,187,0.001,184201
4,Killjoy,14.3,14.3,3.7,0.5,0.055,198,0.001,159783
5,Gekko,13.9,15.0,4.8,0.5,0.045,191,0.001,130170
6,Phoenix,16.9,15.3,4.6,0.5,0.03,237,0.002,86942
7,Reyna,17.8,15.5,4.4,0.5,0.113,247,0.002,325896
8,Astra,15.0,14.6,6.1,0.496,0.018,205,0.001,52479
9,Skye,13.9,14.9,8.0,0.494,0.065,194,0.001,188326
10,Fade,14.0,15.0,6.3,0.494,0.023,195,0.001,66756
11,Chamber,16.2,14.8,3.0,0.493,0.047,220,0.002,135199
12,Jett,17.3,15.8,3.7,0.493,0.0969999999999999,240,0.002,281680
13,Breach,14.2,15.3,6.8,0.492,0.042,199,0.001,121100
14,Omen,14.7,15.1,6.9,0.49,0.0969999999999999,203,0.001,282049
15,Deadlock,14.7,15.0,3.8,0.49,0.052,204,0.001,150860
16,Viper,14.6,14.7,5.7,0.488,0.021,204,0.001,59970
17,Cypher,14.4,14.5,4.6,0.485,0.024,197,0.001,69766
18,Neon,16.2,16.2,4.2,0.483,0.018,228,0.002,51340
19,Sova,14.3,14.8,5.4,0.478,0.019,202,0.001,53842
20,Harbor,13.8,15.2,6.0,0.4679999999999999,0.015,192,0.001,42544
21,Yoru,15.4,15.6,4.2,0.4539999999999999,0.013,215,0.002,38432
22,KAY/O,13.9,15.5,8.8,0.449,0.019,200,0.001,54345
1,Killjoy,14.4,14.2,3.6,0.506,0.0559999999999999,200,0.001,148070
2,Brimstone,14.3,14.8,8.4,0.506,0.0409999999999999,204,0.001,109484
3,Raze,16.8,15.8,4.9,0.505,0.085,244,0.002,223978
4,Sage,13.5,14.8,7.0,0.501,0.0579999999999999,189,0.001,154372
5,Phoenix,17.1,15.3,4.6,0.501,0.0289999999999999,239,0.002,76330
6,Reyna,17.8,15.5,4.4,0.499,0.111,247,0.002,292874
7,Astra,15.2,14.7,6.2,0.499,0.019,206,0.001,50162
8,Chamber,16.4,14.8,2.9,0.499,0.05,221,0.002,131346
9,Viper,14.8,14.7,5.7,0.498,0.019,206,0.001,51364
10,Gekko,14.0,15.0,4.8,0.495,0.045,191,0.001,120251
11,Jett,17.4,15.8,3.7,0.495,0.102,241,0.002,270298
12,Deadlock,14.9,15.0,3.8,0.492,0.051,210,0.001,135951
13,Skye,14.0,15.0,8.0,0.492,0.066,195,0.001,175001
14,Breach,14.4,15.3,6.9,0.491,0.043,200,0.001,113782
15,Fade,14.1,15.0,6.4,0.49,0.022,196,0.001,59253
16,Omen,14.8,15.1,7.0,0.49,0.099,204,0.001,262936
17,Sova,14.4,14.8,5.5,0.485,0.017,204,0.001,46162
18,Cypher,14.5,14.6,4.6,0.483,0.024,198,0.001,62901
19,Neon,16.2,16.3,4.2,0.482,0.016,228,0.002,43417
20,Harbor,14.0,15.2,6.0,0.473,0.015,193,0.001,39994
21,Yoru,15.7,15.7,4.3,0.4629999999999999,0.013,218,0.002,33527
22,KAY/O,14.0,15.5,8.9,0.447,0.018,201,0.001,47358
1,Brimstone,14.5,14.9,8.6,0.51,0.039,205,0.001,95737
2,Gekko,14.1,15.0,4.8,0.505,0.045,192,0.001,109987
3,Sage,13.7,14.9,7.0,0.505,0.053,190,0.001,128396
4,Raze,16.9,15.8,4.9,0.502,0.086,245,0.002,208850
5,Phoenix,17.2,15.3,4.6,0.502,0.0279999999999999,239,0.002,67718
6,Killjoy,14.5,14.3,3.6,0.502,0.057,200,0.001,139082
7,Astra,15.2,14.6,6.3,0.502,0.02,207,0.001,48524
8,Reyna,18.0,15.5,4.4,0.501,0.11,248,0.002,266333
9,Chamber,16.5,14.8,2.9,0.501,0.052,222,0.002,126626
10,Viper,14.9,14.7,5.7,0.497,0.019,207,0.001,45016
11,Skye,14.2,15.0,8.0,0.496,0.066,197,0.001,160035
12,Jett,17.5,15.8,3.7,0.494,0.108,241,0.002,261314
13,Omen,14.9,15.1,7.2,0.493,0.1,205,0.001,243022
14,Breach,14.4,15.3,7.0,0.492,0.044,200,0.001,107017
15,Deadlock,15.0,15.0,3.8,0.491,0.05,215,0.001,121936
16,Sova,14.5,14.8,5.5,0.489,0.016,204,0.001,39592
17,Cypher,14.7,14.6,4.6,0.488,0.023,199,0.001,56715
18,Fade,14.3,15.0,6.4,0.487,0.022,198,0.001,53334
19,Harbor,14.1,15.2,6.1,0.478,0.015,194,0.001,37240
20,Neon,16.3,16.3,4.2,0.476,0.016,229,0.002,37985
21,Yoru,15.8,15.7,4.3,0.4629999999999999,0.012,218,0.002,29301
22,KAY/O,14.3,15.5,9.0,0.456,0.017,203,0.001,41571
