Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.3,14.8,8.3,0.506,0.043,204,0.001,124556
2,Raze,16.7,15.7,5.0,0.502,0.081,243,0.002,235720
3,Sage,13.4,14.8,7.0,0.502,0.064,187,0.001,184201
4,Killjoy,14.3,14.3,3.7,0.5,0.055,198,0.001,159783
5,Gekko,13.9,15.0,4.8,0.5,0.045,191,0.001,130170
6,Phoenix,16.9,15.3,4.6,0.5,0.03,237,0.002,86942
7,Reyna,17.8,15.5,4.4,0.5,0.113,247,0.002,325896
8,Astra,15.0,14.6,6.1,0.496,0.018000000000000002,205,0.001,52479
9,Skye,13.9,14.9,8.0,0.494,0.065,194,0.001,188326
10,Fade,14.0,15.0,6.3,0.494,0.023,195,0.001,66756
11,Chamber,16.2,14.8,3.0,0.493,0.047,220,0.002,135199
12,Jett,17.3,15.8,3.7,0.493,0.09699999999999999,240,0.002,281680
13,Breach,14.2,15.3,6.8,0.49200000000000005,0.042,199,0.001,121100
14,Omen,14.7,15.1,6.9,0.49,0.09699999999999999,203,0.001,282049
15,Deadlock,14.7,15.0,3.8,0.49,0.052000000000000005,204,0.001,150860
16,Viper,14.6,14.7,5.7,0.488,0.021,204,0.001,59970
17,Cypher,14.4,14.5,4.6,0.485,0.024,197,0.001,69766
18,Neon,16.2,16.2,4.2,0.483,0.018000000000000002,228,0.002,51340
19,Sova,14.3,14.8,5.4,0.478,0.019,202,0.001,53842
20,Harbor,13.8,15.2,6.0,0.46799999999999997,0.015,192,0.001,42544
21,Yoru,15.4,15.6,4.2,0.45399999999999996,0.013000000000000001,215,0.002,38432
22,KAY/O,13.9,15.5,8.8,0.449,0.019,200,0.001,54345
