Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,17.1,15.3,4.8,0.51,0.037,240,0.002,106577
2,Brimstone,14.1,14.8,8.2,0.507,0.042,202,0.001,121142
3,Killjoy,14.1,14.2,3.8,0.506,0.048,198,0.001,140431
4,Astra,14.9,14.3,6.4,0.506,0.034,204,0.001,99818
5,Gekko,13.9,15.0,5.0,0.504,0.0409999999999999,191,0.001,119364
6,Viper,14.6,14.6,6.0,0.5,0.051,204,0.001,147846
7,Raze,16.3,15.7,4.8,0.499,0.049,237,0.002,141606
8,Reyna,17.8,15.5,4.5,0.498,0.1169999999999999,248,0.002,339155
9,Sage,13.2,14.9,7.0,0.497,0.068,185,0.001,198468
10,Cypher,14.3,14.4,4.8,0.493,0.033,197,0.001,95316
11,Skye,13.9,15.0,7.8,0.493,0.062,195,0.001,180636
12,Fade,14.1,15.0,6.4,0.492,0.037,197,0.001,106410
13,Jett,17.2,15.7,3.8,0.491,0.1119999999999999,239,0.002,325224
14,Deadlock,14.7,15.0,4.0,0.489,0.05,208,0.001,144804
15,Sova,14.3,14.7,5.6,0.487,0.024,202,0.001,68913
16,Chamber,16.0,14.7,3.1,0.484,0.047,217,0.002,136429
17,Omen,14.5,15.2,6.6,0.478,0.051,203,0.001,147814
18,Breach,14.3,15.4,6.4,0.477,0.017,201,0.001,48918
19,Neon,16.0,16.2,4.2,0.472,0.017,226,0.002,48162
20,Yoru,15.7,15.6,4.4,0.469,0.016,219,0.002,45712
21,Harbor,13.6,15.1,6.1,0.4679999999999999,0.026,189,0.001,76106
22,KAY/O,14.0,15.5,8.3,0.4529999999999999,0.023,201,0.001,66745
1,Phoenix,17.3,15.3,4.8,0.511,0.037,243,0.002,99477
2,Gekko,14.1,14.9,5.0,0.504,0.0409999999999999,193,0.001,110052
3,Astra,15.1,14.4,6.5,0.503,0.037,206,0.001,99636
4,Brimstone,14.2,14.8,8.2,0.503,0.04,203,0.001,105167
5,Raze,16.5,15.7,4.8,0.503,0.048,239,0.002,127936
6,Killjoy,14.3,14.3,3.8,0.502,0.048,200,0.001,127243
7,Reyna,17.9,15.5,4.5,0.501,0.1159999999999999,249,0.002,309265
8,Viper,14.7,14.6,6.0,0.501,0.053,206,0.001,140342
9,Sage,13.4,14.9,7.0,0.499,0.063,187,0.001,167588
10,Cypher,14.5,14.4,4.8,0.494,0.033,198,0.001,87001
11,Fade,14.2,15.0,6.4,0.492,0.038,198,0.001,100459
12,Jett,17.3,15.8,3.8,0.491,0.119,239,0.002,315555
13,Skye,14.0,15.0,7.8,0.491,0.064,197,0.001,169072
14,Sova,14.4,14.7,5.6,0.49,0.023,203,0.001,60204
15,Deadlock,14.9,15.1,4.0,0.489,0.048,206,0.001,128598
16,Chamber,16.1,14.7,3.0,0.488,0.049,218,0.002,130731
17,Neon,16.2,16.2,4.2,0.481,0.016,227,0.002,41283
18,Omen,14.7,15.2,6.7,0.478,0.047,203,0.001,126294
19,Breach,14.4,15.4,6.5,0.477,0.016,202,0.001,43038
20,Yoru,15.9,15.6,4.4,0.469,0.015,221,0.002,40170
21,Harbor,13.7,15.1,6.2,0.465,0.027,191,0.001,72358
22,KAY/O,14.1,15.5,8.4,0.451,0.023,202,0.001,60228
1,Brimstone,14.3,14.8,8.4,0.512,0.038,204,0.001,93105
2,Gekko,14.1,14.9,5.0,0.508,0.0409999999999999,193,0.001,100294
3,Phoenix,17.4,15.4,4.8,0.507,0.038,243,0.002,92152
4,Astra,15.2,14.4,6.6,0.506,0.04,207,0.001,97953
5,Killjoy,14.5,14.3,3.8,0.505,0.048,201,0.001,117605
6,Viper,14.8,14.6,6.0,0.503,0.053,207,0.001,128825
7,Reyna,18.0,15.5,4.5,0.503,0.115,250,0.002,279200
8,Sage,13.5,14.9,7.0,0.502,0.0579999999999999,189,0.001,141103
9,Cypher,14.6,14.4,4.8,0.5,0.033,200,0.001,79355
10,Raze,16.6,15.8,4.8,0.5,0.047,240,0.002,113058
11,Skye,14.2,15.0,7.8,0.499,0.064,198,0.001,154709
12,Fade,14.4,15.0,6.5,0.496,0.039,200,0.001,93761
13,Jett,17.3,15.8,3.8,0.494,0.126,240,0.002,306161
14,Deadlock,14.9,15.0,4.0,0.492,0.048,208,0.001,115993
15,Chamber,16.2,14.8,3.0,0.49,0.051,219,0.002,124268
16,Sova,14.6,14.7,5.6,0.489,0.022,205,0.001,53531
17,Omen,14.7,15.2,6.8,0.48,0.045,204,0.001,108088
18,Yoru,16.1,15.6,4.4,0.478,0.0139999999999999,222,0.002,34737
19,Neon,16.2,16.3,4.2,0.478,0.0139999999999999,228,0.002,35008
20,Breach,14.4,15.4,6.6,0.469,0.015,202,0.001,35852
21,Harbor,13.9,15.2,6.2,0.469,0.0279999999999999,191,0.001,68306
22,KAY/O,14.2,15.5,8.5,0.4589999999999999,0.022,203,0.001,53925
