Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,17.1,15.3,4.8,0.51,0.037000000000000005,240,0.002,106577
2,Brimstone,14.1,14.8,8.2,0.507,0.042,202,0.001,121142
3,Killjoy,14.1,14.2,3.8,0.506,0.048,198,0.001,140431
4,Astra,14.9,14.3,6.4,0.506,0.034,204,0.001,99818
5,Gekko,13.9,15.0,5.0,0.504,0.040999999999999995,191,0.001,119364
6,Viper,14.6,14.6,6.0,0.5,0.051,204,0.001,147846
7,Raze,16.3,15.7,4.8,0.499,0.049,237,0.002,141606
8,Reyna,17.8,15.5,4.5,0.498,0.11699999999999999,248,0.002,339155
9,Sage,13.2,14.9,7.0,0.49700000000000005,0.068,185,0.001,198468
10,Cypher,14.3,14.4,4.8,0.493,0.033,197,0.001,95316
11,Skye,13.9,15.0,7.8,0.493,0.062,195,0.001,180636
12,Fade,14.1,15.0,6.4,0.49200000000000005,0.037000000000000005,197,0.001,106410
13,Jett,17.2,15.7,3.8,0.491,0.11199999999999999,239,0.002,325224
14,Deadlock,14.7,15.0,4.0,0.489,0.05,208,0.001,144804
15,Sova,14.3,14.7,5.6,0.48700000000000004,0.024,202,0.001,68913
16,Chamber,16.0,14.7,3.1,0.484,0.047,217,0.002,136429
17,Omen,14.5,15.2,6.6,0.478,0.051,203,0.001,147814
18,Breach,14.3,15.4,6.4,0.47700000000000004,0.017,201,0.001,48918
19,Neon,16.0,16.2,4.2,0.47200000000000003,0.017,226,0.002,48162
20,Yoru,15.7,15.6,4.4,0.469,0.016,219,0.002,45712
21,Harbor,13.6,15.1,6.1,0.46799999999999997,0.026000000000000002,189,0.001,76106
22,KAY/O,14.0,15.5,8.3,0.45299999999999996,0.023,201,0.001,66745
