Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,13.7,14.8,7.4,0.508,0.103,192,0.001,300397
2,Raze,16.7,15.8,4.9,0.5,0.086,242,0.002,251211
3,Brimstone,14.4,15.0,8.5,0.5,0.047,206,0.001,138669
4,Phoenix,16.9,15.4,4.7,0.498,0.03,238,0.002,87242
5,Killjoy,14.3,14.4,3.8,0.497,0.048,201,0.001,139601
6,Reyna,17.7,15.5,4.5,0.496,0.109,246,0.002,319652
7,Skye,14.0,14.9,7.8,0.496,0.072,196,0.001,210268
8,Astra,15.2,14.6,6.4,0.491,0.024,209,0.001,70188
9,Omen,15.0,15.1,7.0,0.49,0.098,207,0.001,288073
10,Gekko,14.0,15.1,4.7,0.488,0.026,193,0.001,76141
11,Cypher,14.6,14.5,4.8,0.488,0.046,201,0.001,134369
12,Jett,17.1,15.9,3.8,0.488,0.095,239,0.002,279530
13,Viper,14.5,14.7,5.5,0.488,0.021,204,0.001,62249
14,Fade,14.1,15.1,6.0,0.487,0.02,197,0.001,58825
15,Deadlock,14.9,15.0,3.9,0.486,0.051,210,0.001,149176
16,Breach,14.4,15.3,6.5,0.485,0.025,201,0.001,74609
17,Chamber,16.0,15.0,3.1,0.482,0.027,218,0.002,79026
18,Sova,14.4,14.8,5.3,0.48,0.02,204,0.001,59593
19,Neon,15.8,16.2,4.1,0.474,0.013,224,0.002,36889
20,Yoru,15.6,15.5,4.4,0.471,0.013,218,0.002,38200
21,KAY/O,14.0,15.4,8.4,0.451,0.022,201,0.001,64007
22,Harbor,13.8,15.3,5.7,0.445,0.004,193,0.001,12158
1,Sage,13.9,14.8,7.4,0.51,0.1009999999999999,194,0.001,270842
2,Brimstone,14.5,15.0,8.7,0.506,0.046,207,0.001,122583
3,Phoenix,17.0,15.4,4.6,0.5,0.0289999999999999,239,0.002,76848
4,Raze,16.8,15.9,4.9,0.5,0.09,244,0.002,239861
5,Killjoy,14.5,14.4,3.8,0.498,0.047,202,0.001,125320
6,Skye,14.2,14.9,7.8,0.497,0.074,198,0.001,198834
7,Reyna,17.8,15.5,4.4,0.497,0.108,247,0.002,288844
8,Gekko,14.1,15.1,4.7,0.493,0.025,194,0.001,65855
9,Cypher,14.7,14.5,4.8,0.493,0.046,202,0.001,123949
10,Omen,15.0,15.1,7.1,0.491,0.1,208,0.001,267137
11,Astra,15.3,14.6,6.5,0.491,0.026,210,0.001,68741
12,Jett,17.3,15.9,3.8,0.49,0.1009999999999999,241,0.002,270089
13,Viper,14.7,14.7,5.5,0.49,0.019,205,0.001,52236
14,Fade,14.3,15.0,6.0,0.487,0.019,198,0.001,51419
15,Deadlock,15.0,15.0,3.9,0.487,0.05,218,0.001,133861
16,Sova,14.6,14.8,5.4,0.486,0.019,205,0.001,50847
17,Chamber,16.1,15.0,3.1,0.481,0.0279999999999999,219,0.002,74195
18,Breach,14.5,15.3,6.6,0.481,0.025,202,0.001,67785
19,Neon,15.9,16.2,4.1,0.47,0.011,224,0.002,29598
20,Yoru,15.8,15.6,4.4,0.4679999999999999,0.012,219,0.002,32603
21,KAY/O,14.1,15.5,8.5,0.457,0.022,202,0.001,57807
22,Harbor,14.0,15.3,5.7,0.44,0.004,195,0.001,9693
1,Sage,14.1,14.8,7.4,0.512,0.1009999999999999,196,0.001,246178
2,Brimstone,14.6,15.0,8.8,0.505,0.044,208,0.001,107755
3,Raze,16.9,15.9,4.9,0.503,0.093,245,0.002,228046
4,Reyna,17.8,15.6,4.5,0.501,0.106,247,0.002,258351
5,Phoenix,17.1,15.4,4.7,0.501,0.0279999999999999,240,0.002,68000
6,Skye,14.3,15.0,7.8,0.498,0.077,199,0.001,189087
7,Astra,15.4,14.6,6.6,0.497,0.027,211,0.001,67025
8,Killjoy,14.6,14.5,3.8,0.496,0.046,203,0.001,111640
9,Omen,15.1,15.1,7.3,0.491,0.102,209,0.001,249364
10,Jett,17.4,16.0,3.8,0.489,0.105,241,0.002,256962
11,Deadlock,15.1,15.0,4.0,0.489,0.049,221,0.001,119580
12,Cypher,14.8,14.5,4.8,0.488,0.048,202,0.001,116330
13,Viper,14.8,14.7,5.5,0.484,0.018,207,0.001,44142
14,Breach,14.5,15.3,6.7,0.484,0.025,202,0.001,60126
15,Fade,14.4,15.1,6.1,0.484,0.018,199,0.001,44559
16,Sova,14.7,14.9,5.4,0.483,0.018,206,0.001,43892
17,Gekko,14.2,15.1,4.7,0.483,0.023,195,0.001,55504
18,Chamber,16.3,15.0,3.0,0.483,0.0279999999999999,221,0.002,69059
19,Neon,16.0,16.3,4.2,0.476,0.01,225,0.002,24354
20,Yoru,15.9,15.5,4.3,0.47,0.012,221,0.002,28387
21,KAY/O,14.3,15.5,8.5,0.4579999999999999,0.021,203,0.001,52370
22,Harbor,14.2,15.3,5.8,0.444,0.003,196,0.001,8029
