Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,13.7,14.8,7.4,0.508,0.10300000000000001,192,0.001,300397
2,Raze,16.7,15.8,4.9,0.5,0.086,242,0.002,251211
3,Brimstone,14.4,15.0,8.5,0.5,0.047,206,0.001,138669
4,Phoenix,16.9,15.4,4.7,0.498,0.03,238,0.002,87242
5,Killjoy,14.3,14.4,3.8,0.49700000000000005,0.048,201,0.001,139601
6,Reyna,17.7,15.5,4.5,0.496,0.109,246,0.002,319652
7,Skye,14.0,14.9,7.8,0.496,0.07200000000000001,196,0.001,210268
8,Astra,15.2,14.6,6.4,0.491,0.024,209,0.001,70188
9,Omen,15.0,15.1,7.0,0.49,0.098,207,0.001,288073
10,Gekko,14.0,15.1,4.7,0.488,0.026000000000000002,193,0.001,76141
11,Cypher,14.6,14.5,4.8,0.488,0.046,201,0.001,134369
12,Jett,17.1,15.9,3.8,0.488,0.095,239,0.002,279530
13,Viper,14.5,14.7,5.5,0.488,0.021,204,0.001,62249
14,Fade,14.1,15.1,6.0,0.48700000000000004,0.02,197,0.001,58825
15,Deadlock,14.9,15.0,3.9,0.486,0.051,210,0.001,149176
16,Breach,14.4,15.3,6.5,0.485,0.025,201,0.001,74609
17,Chamber,16.0,15.0,3.1,0.48200000000000004,0.027000000000000003,218,0.002,79026
18,Sova,14.4,14.8,5.3,0.48,0.02,204,0.001,59593
19,Neon,15.8,16.2,4.1,0.474,0.013000000000000001,224,0.002,36889
20,Yoru,15.6,15.5,4.4,0.47100000000000003,0.013000000000000001,218,0.002,38200
21,KAY/O,14.0,15.4,8.4,0.451,0.022000000000000002,201,0.001,64007
22,Harbor,13.8,15.3,5.7,0.445,0.004,193,0.001,12158
