Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Harbor,14.5,14.9,6.7,0.542,0.0,193,0.001,48
2,Brimstone,14.6,14.9,11.1,0.535,0.025,206,0.001,4071
3,Phoenix,17.1,15.7,4.8,0.522,0.024,236,0.002,4014
4,Sage,14.8,14.9,7.0,0.521,0.019,200,0.001,3168
5,Fade,14.7,15.0,7.1,0.518,0.01,198,0.001,1673
6,Cypher,15.2,14.7,4.8,0.515,0.031,201,0.001,5157
7,Yoru,16.5,15.9,4.7,0.511,0.008,223,0.002,1254
8,Raze,16.5,16.2,4.9,0.51,0.034,235,0.002,5569
9,Killjoy,15.1,14.5,3.4,0.504,0.11,203,0.001,18132
10,Reyna,17.3,15.9,4.3,0.503,0.087,234,0.002,14389
11,Sova,14.8,14.6,6.4,0.501,0.149,205,0.001,24661
12,Skye,14.7,15.4,7.8,0.495,0.021,199,0.001,3512
13,Jett,17.4,16.2,3.4,0.494,0.198,235,0.002,32790
14,Astra,15.3,14.9,8.7,0.494,0.018,207,0.001,2944
15,Breach,14.4,15.5,8.0,0.493,0.005,197,0.001,812
16,Deadlock,15.6,15.2,3.7,0.492,0.033,213,0.001,5536
17,Omen,14.9,15.1,9.8,0.488,0.142,202,0.001,23416
18,Viper,15.0,14.7,5.8,0.488,0.001,205,0.001,203
19,Neon,16.0,16.7,4.1,0.487,0.003,220,0.002,446
20,KAY/O,14.6,15.6,10.0,0.461,0.052,203,0.001,8633
21,Chamber,16.4,15.4,2.6,0.456,0.0279999999999999,215,0.002,4572
22,Gekko,14.1,15.5,4.9,0.374,0.002,192,0.001,390
1,Brimstone,14.4,14.8,11.7,0.5429999999999999,0.024,204,0.001,4989
2,Phoenix,17.1,15.7,5.0,0.537,0.03,236,0.002,6058
3,Sage,14.8,14.9,6.9,0.5329999999999999,0.01,203,0.001,2081
4,Raze,16.4,16.0,5.0,0.516,0.032,234,0.002,6506
5,Cypher,14.9,14.7,5.0,0.508,0.034,198,0.001,6865
6,Sova,14.8,14.6,6.5,0.501,0.162,205,0.001,33111
7,Killjoy,15.1,14.6,3.4,0.5,0.106,203,0.001,21593
8,Reyna,17.3,15.9,4.3,0.5,0.1,234,0.002,20432
9,Astra,15.7,14.9,9.0,0.498,0.018,209,0.001,3729
10,Deadlock,15.4,15.2,3.8,0.497,0.033,215,0.001,6778
11,Fade,14.9,15.1,7.3,0.495,0.01,202,0.001,2125
12,Jett,17.4,16.2,3.5,0.492,0.1939999999999999,234,0.002,39648
13,Skye,14.8,15.3,8.1,0.49,0.018,200,0.001,3678
14,Omen,14.7,15.1,10.3,0.488,0.144,201,0.001,29345
15,Chamber,16.6,15.3,2.6,0.481,0.024,218,0.002,4808
16,Breach,14.3,15.8,8.3,0.465,0.003,195,0.001,681
17,KAY/O,14.6,15.7,10.2,0.4629999999999999,0.042,204,0.001,8570
18,Gekko,13.9,15.5,5.2,0.4629999999999999,0.002,184,0.001,348
19,Yoru,15.9,15.9,4.6,0.451,0.009,218,0.002,1768
20,Neon,15.9,16.8,4.2,0.439,0.003,217,0.002,565
21,Viper,15.4,15.8,6.1,0.38,0.001,207,0.001,221
22,Harbor,13.5,16.7,5.8,0.316,0.0,193,0.001,19
1,Harbor,17.9,11.7,8.3,0.5710000000000001,0.0,233,0.001,7
2,Brimstone,14.5,14.6,12.0,0.565,0.017,206,0.001,1851
3,Breach,15.4,15.2,8.3,0.53,0.003,207,0.001,321
4,Phoenix,17.3,15.8,5.1,0.528,0.0279999999999999,236,0.002,2966
5,Sage,14.9,14.9,7.0,0.524,0.01,203,0.001,1105
6,Neon,16.0,16.5,4.4,0.516,0.003,221,0.002,273
7,Astra,15.7,14.9,9.2,0.515,0.017,208,0.001,1757
8,Reyna,17.4,15.8,4.3,0.512,0.0969999999999999,234,0.002,10273
9,Chamber,16.9,15.4,2.5,0.512,0.022,220,0.002,2358
10,Gekko,15.5,15.6,5.0,0.51,0.001,203,0.001,149
11,Jett,17.5,16.3,3.4,0.505,0.205,235,0.002,21740
12,Sova,14.9,14.5,6.5,0.504,0.165,204,0.001,17523
13,Fade,15.1,14.8,7.4,0.504,0.011,207,0.001,1120
14,Killjoy,15.3,14.6,3.4,0.503,0.118,205,0.001,12501
15,Deadlock,16.0,15.2,3.8,0.503,0.025,209,0.001,2621
16,Raze,16.7,16.0,4.8,0.502,0.024,237,0.002,2598
17,Omen,14.9,15.0,10.3,0.499,0.154,201,0.001,16322
18,Yoru,16.0,16.0,4.7,0.495,0.0069999999999999,219,0.002,763
19,Cypher,15.1,14.8,4.8,0.492,0.032,199,0.001,3367
20,Viper,16.4,14.7,5.3,0.489,0.0,218,0.001,45
21,Skye,14.7,15.3,7.8,0.488,0.012,199,0.001,1232
22,KAY/O,14.7,15.6,10.2,0.4579999999999999,0.05,204,0.001,5262
