Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Brimstone,14.4,14.8,11.7,0.5429999999999999,0.024,204,0.001,4989
2,Phoenix,17.1,15.7,5.0,0.537,0.03,236,0.002,6058
3,Sage,14.8,14.9,6.9,0.5329999999999999,0.01,203,0.001,2081
4,Raze,16.4,16.0,5.0,0.516,0.032,234,0.002,6506
5,Cypher,14.9,14.7,5.0,0.508,0.034,198,0.001,6865
6,Sova,14.8,14.6,6.5,0.501,0.162,205,0.001,33111
7,Killjoy,15.1,14.6,3.4,0.5,0.106,203,0.001,21593
8,Reyna,17.3,15.9,4.3,0.5,0.1,234,0.002,20432
9,Astra,15.7,14.9,9.0,0.498,0.018000000000000002,209,0.001,3729
10,Deadlock,15.4,15.2,3.8,0.49700000000000005,0.033,215,0.001,6778
11,Fade,14.9,15.1,7.3,0.495,0.01,202,0.001,2125
12,Jett,17.4,16.2,3.5,0.49200000000000005,0.19399999999999998,234,0.002,39648
13,Skye,14.8,15.3,8.1,0.49,0.018000000000000002,200,0.001,3678
14,Omen,14.7,15.1,10.3,0.488,0.14400000000000002,201,0.001,29345
15,Chamber,16.6,15.3,2.6,0.48100000000000004,0.024,218,0.002,4808
16,Breach,14.3,15.8,8.3,0.465,0.003,195,0.001,681
17,KAY/O,14.6,15.7,10.2,0.46299999999999997,0.042,204,0.001,8570
18,Gekko,13.9,15.5,5.2,0.46299999999999997,0.002,184,0.001,348
19,Yoru,15.9,15.9,4.6,0.451,0.009000000000000001,218,0.002,1768
20,Neon,15.9,16.8,4.2,0.439,0.003,217,0.002,565
21,Viper,15.4,15.8,6.1,0.38,0.001,207,0.001,221
22,Harbor,13.5,16.7,5.8,0.316,0.0,193,0.001,19
