Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Viper,15.8,14.7,5.6,0.521,0.0139999999999999,216,0.001,2353
2,Brimstone,14.8,14.9,9.0,0.509,0.136,205,0.001,22271
3,Sage,14.4,14.9,6.8,0.505,0.0409999999999999,194,0.001,6670
4,Phoenix,17.4,15.8,4.3,0.504,0.013,236,0.002,2129
5,Raze,17.1,16.2,4.7,0.503,0.141,243,0.002,23195
6,Chamber,16.5,15.0,2.5,0.498,0.062,215,0.002,10250
7,Killjoy,15.0,14.4,3.2,0.498,0.027,201,0.001,4489
8,Skye,14.5,15.1,7.7,0.498,0.133,196,0.001,21846
9,Cypher,14.8,14.6,4.4,0.496,0.065,195,0.001,10717
10,Astra,15.2,14.8,7.2,0.496,0.012,205,0.001,2001
11,Sova,15.0,14.7,5.8,0.495,0.033,206,0.001,5345
12,Reyna,17.7,15.7,4.0,0.494,0.066,239,0.002,10785
13,Deadlock,15.5,15.1,3.7,0.493,0.042,204,0.001,6891
14,Jett,17.5,16.1,3.3,0.488,0.13,237,0.002,21297
15,Neon,16.7,16.6,4.0,0.485,0.003,228,0.002,542
16,Fade,14.9,15.1,6.5,0.481,0.017,201,0.001,2855
17,Omen,15.1,15.3,7.8,0.466,0.03,204,0.001,4932
18,Gekko,14.5,15.1,4.5,0.465,0.0069999999999999,192,0.001,1173
19,Yoru,16.5,16.0,4.2,0.4589999999999999,0.0139999999999999,225,0.002,2301
20,Breach,14.7,15.5,7.4,0.457,0.006,200,0.001,1011
21,Harbor,14.7,15.6,6.2,0.441,0.002,195,0.001,349
22,KAY/O,14.7,15.5,9.3,0.429,0.005,207,0.001,777
1,Sage,14.4,14.8,6.8,0.545,0.023,194,0.001,4673
2,Killjoy,14.8,14.4,3.2,0.514,0.021,199,0.001,4357
3,Phoenix,17.2,15.8,4.6,0.51,0.016,232,0.002,3153
4,Brimstone,14.7,14.9,9.3,0.507,0.143,203,0.001,29092
5,Sova,15.0,14.7,5.8,0.5,0.033,205,0.001,6681
6,Reyna,17.7,15.6,4.1,0.499,0.074,239,0.002,15095
7,Jett,17.5,16.1,3.3,0.498,0.133,236,0.002,27057
8,Raze,17.0,16.2,4.7,0.498,0.148,241,0.002,30030
9,Yoru,16.6,15.8,4.3,0.497,0.015,224,0.002,3075
10,Deadlock,15.6,15.1,3.8,0.496,0.044,206,0.001,8997
11,Skye,14.3,15.0,7.9,0.494,0.141,193,0.001,28572
12,Astra,15.3,14.7,7.2,0.491,0.01,205,0.001,2078
13,Chamber,16.2,15.0,2.4,0.489,0.0579999999999999,212,0.002,11813
14,Neon,16.6,16.5,3.7,0.486,0.003,225,0.002,560
15,Cypher,14.5,14.7,4.4,0.485,0.068,192,0.001,13858
16,Viper,15.7,15.0,5.5,0.48,0.015,213,0.001,2969
17,Omen,14.9,15.2,8.1,0.469,0.0279999999999999,202,0.001,5644
18,Breach,13.8,15.3,8.1,0.466,0.003,193,0.001,670
19,Fade,14.7,15.2,6.7,0.4639999999999999,0.013,199,0.001,2665
20,Gekko,14.6,15.4,4.7,0.451,0.005,195,0.001,1061
21,KAY/O,14.4,15.9,9.3,0.426,0.004,201,0.001,744
22,Harbor,14.0,15.5,6.2,0.39,0.002,188,0.001,464
1,Gekko,15.0,15.2,4.6,0.547,0.004,195,0.001,439
2,Phoenix,17.5,15.4,4.3,0.524,0.013,240,0.002,1410
3,Sage,14.6,14.8,6.6,0.515,0.0289999999999999,197,0.001,3053
4,Deadlock,15.7,15.1,3.7,0.51,0.034,206,0.001,3526
5,Killjoy,15.2,14.6,3.2,0.508,0.017,203,0.001,1814
6,Brimstone,14.8,14.9,9.4,0.507,0.155,204,0.001,16313
7,Raze,17.1,16.3,4.6,0.507,0.149,242,0.002,15661
8,Sova,15.0,14.7,5.8,0.505,0.031,205,0.001,3263
9,Jett,17.6,16.1,3.3,0.504,0.14,238,0.002,14673
10,Reyna,17.6,15.7,4.0,0.504,0.068,237,0.002,7107
11,Omen,15.4,15.3,8.3,0.502,0.02,206,0.001,2149
12,Skye,14.4,15.0,7.8,0.499,0.144,193,0.001,15081
13,Neon,16.7,16.0,4.0,0.498,0.003,225,0.002,305
14,Cypher,14.7,14.7,4.4,0.498,0.072,193,0.001,7605
15,Chamber,16.5,15.0,2.3,0.498,0.061,215,0.002,6393
16,Viper,15.9,15.1,5.5,0.486,0.017,214,0.001,1734
17,Yoru,17.1,15.9,4.2,0.484,0.0139999999999999,229,0.002,1478
18,Breach,14.5,15.2,8.0,0.482,0.003,197,0.001,334
19,Fade,14.8,15.3,6.6,0.476,0.0139999999999999,199,0.001,1434
20,Astra,15.0,14.8,7.4,0.4639999999999999,0.008,201,0.001,879
21,KAY/O,14.1,15.8,10.1,0.436,0.002,198,0.001,236
22,Harbor,13.2,15.0,5.5,0.429,0.002,184,0.001,191
