Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,14.4,14.8,6.8,0.545,0.023,194,0.001,4673
2,Killjoy,14.8,14.4,3.2,0.514,0.021,199,0.001,4357
3,Phoenix,17.2,15.8,4.6,0.51,0.016,232,0.002,3153
4,Brimstone,14.7,14.9,9.3,0.507,0.14300000000000002,203,0.001,29092
5,Sova,15.0,14.7,5.8,0.5,0.033,205,0.001,6681
6,Reyna,17.7,15.6,4.1,0.499,0.07400000000000001,239,0.002,15095
7,Jett,17.5,16.1,3.3,0.498,0.133,236,0.002,27057
8,Raze,17.0,16.2,4.7,0.498,0.14800000000000002,241,0.002,30030
9,Yoru,16.6,15.8,4.3,0.49700000000000005,0.015,224,0.002,3075
10,Deadlock,15.6,15.1,3.8,0.496,0.044000000000000004,206,0.001,8997
11,Skye,14.3,15.0,7.9,0.494,0.141,193,0.001,28572
12,Astra,15.3,14.7,7.2,0.491,0.01,205,0.001,2078
13,Chamber,16.2,15.0,2.4,0.489,0.057999999999999996,212,0.002,11813
14,Neon,16.6,16.5,3.7,0.486,0.003,225,0.002,560
15,Cypher,14.5,14.7,4.4,0.485,0.068,192,0.001,13858
16,Viper,15.7,15.0,5.5,0.48,0.015,213,0.001,2969
17,Omen,14.9,15.2,8.1,0.469,0.027999999999999997,202,0.001,5644
18,Breach,13.8,15.3,8.1,0.466,0.003,193,0.001,670
19,Fade,14.7,15.2,6.7,0.46399999999999997,0.013000000000000001,199,0.001,2665
20,Gekko,14.6,15.4,4.7,0.451,0.005,195,0.001,1061
21,KAY/O,14.4,15.9,9.3,0.426,0.004,201,0.001,744
22,Harbor,14.0,15.5,6.2,0.39,0.002,188,0.001,464
