Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,14.5,14.9,6.6,0.526,0.026,197,0.001,4227
2,Skye,14.6,15.1,7.4,0.52,0.018,199,0.001,2919
3,Gekko,14.2,14.9,4.5,0.517,0.006,189,0.001,971
4,Phoenix,16.7,15.3,4.5,0.51,0.01,233,0.002,1689
5,Brimstone,14.9,14.8,9.9,0.51,0.154,206,0.001,25017
6,Reyna,17.6,15.6,4.2,0.506,0.072,239,0.002,11740
7,Cypher,15.4,14.6,4.4,0.504,0.049,204,0.001,7963
8,Jett,17.5,16.0,3.4,0.501,0.168,238,0.002,27248
9,Killjoy,15.2,14.6,3.3,0.499,0.084,205,0.001,13630
10,Viper,15.3,14.7,5.7,0.498,0.015,209,0.001,2482
11,Breach,14.3,15.2,7.9,0.497,0.146,193,0.001,23683
12,Raze,16.8,16.1,4.4,0.494,0.091,235,0.002,14837
13,Deadlock,15.7,15.1,3.6,0.492,0.035,208,0.001,5647
14,Fade,15.1,15.0,6.1,0.491,0.018,202,0.001,2900
15,Sova,15.0,14.6,5.7,0.49,0.005,207,0.001,822
16,Neon,16.4,16.6,4.3,0.488,0.018,227,0.002,2991
17,Chamber,16.8,15.2,2.6,0.479,0.047,221,0.002,7629
18,Yoru,16.5,15.9,4.3,0.476,0.008,222,0.002,1266
19,KAY/O,14.6,15.4,9.5,0.447,0.011,204,0.001,1738
20,Omen,14.9,15.3,7.6,0.446,0.008,202,0.001,1302
21,Astra,15.2,15.0,7.0,0.414,0.008,204,0.001,1224
22,Harbor,13.7,15.5,6.1,0.364,0.002,188,0.001,280
1,Phoenix,17.2,15.5,4.7,0.519,0.011,233,0.002,2287
2,Killjoy,15.2,14.4,3.3,0.516,0.077,205,0.001,15281
3,Sova,15.2,14.3,5.9,0.514,0.004,211,0.001,883
4,Sage,14.6,14.9,6.6,0.513,0.012,199,0.001,2477
5,Cypher,15.3,14.7,4.5,0.506,0.055,203,0.001,10916
6,Brimstone,14.7,14.8,10.5,0.505,0.171,205,0.001,34218
7,Reyna,17.5,15.5,4.2,0.505,0.0819999999999999,237,0.002,16355
8,Jett,17.4,16.0,3.4,0.503,0.1639999999999999,236,0.002,32735
9,Raze,16.7,15.9,4.4,0.499,0.107,235,0.002,21305
10,Deadlock,15.7,15.1,3.7,0.498,0.034,216,0.001,6845
11,Skye,14.5,15.0,7.7,0.497,0.017,198,0.001,3477
12,Breach,14.1,15.2,8.2,0.496,0.153,192,0.001,30629
13,KAY/O,14.6,15.5,10.0,0.491,0.01,204,0.001,1930
14,Fade,15.0,15.0,6.4,0.488,0.013,202,0.001,2613
15,Omen,15.2,15.2,8.1,0.488,0.005,204,0.001,1083
16,Chamber,16.7,15.1,2.6,0.487,0.039,220,0.002,7850
17,Gekko,14.1,15.0,4.7,0.483,0.004,190,0.001,822
18,Neon,16.5,16.6,4.3,0.473,0.015,228,0.002,2902
19,Viper,15.1,14.9,5.8,0.466,0.008,206,0.001,1630
20,Yoru,15.9,15.7,4.4,0.457,0.01,217,0.002,1952
21,Astra,15.2,14.8,7.0,0.4429999999999999,0.006,205,0.001,1120
22,Harbor,14.1,15.7,6.8,0.384,0.001,192,0.001,294
1,Harbor,15.4,14.8,6.1,0.585,0.001,200,0.001,53
2,Sage,14.7,14.9,6.6,0.5329999999999999,0.016,200,0.001,1679
3,Phoenix,17.1,15.3,4.4,0.531,0.009,234,0.002,905
4,Gekko,14.6,14.8,4.6,0.528,0.003,195,0.001,320
5,Skye,14.9,15.0,7.7,0.523,0.011,199,0.001,1171
6,Yoru,16.1,15.7,4.3,0.516,0.008,222,0.002,802
7,Reyna,18.0,15.6,4.2,0.516,0.073,241,0.002,7502
8,Deadlock,16.3,15.1,3.5,0.513,0.024,214,0.001,2468
9,Viper,15.8,14.5,5.5,0.513,0.0069999999999999,215,0.001,716
10,Jett,17.5,15.9,3.3,0.512,0.176,237,0.002,18130
11,Killjoy,15.6,14.6,3.2,0.512,0.085,209,0.001,8809
12,Breach,14.1,15.2,8.4,0.511,0.158,191,0.001,16357
13,Brimstone,14.9,14.8,10.4,0.506,0.172,206,0.001,17735
14,Cypher,15.4,14.7,4.4,0.505,0.064,203,0.001,6563
15,Chamber,16.8,15.1,2.5,0.502,0.035,220,0.002,3574
16,Raze,16.8,16.0,4.3,0.501,0.109,235,0.002,11221
17,Fade,15.2,15.2,6.3,0.487,0.015,202,0.001,1594
18,Neon,16.2,16.5,4.3,0.487,0.015,226,0.002,1539
19,Astra,15.0,14.8,6.9,0.481,0.005,201,0.001,539
20,Omen,15.8,15.4,8.1,0.475,0.004,211,0.001,451
21,KAY/O,14.2,15.5,9.9,0.4529999999999999,0.0069999999999999,201,0.001,731
22,Sova,14.7,15.2,5.4,0.44,0.004,200,0.001,423
