Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Phoenix,17.2,15.5,4.7,0.519,0.011000000000000001,233,0.002,2287
2,Killjoy,15.2,14.4,3.3,0.516,0.077,205,0.001,15281
3,Sova,15.2,14.3,5.9,0.514,0.004,211,0.001,883
4,Sage,14.6,14.9,6.6,0.513,0.012,199,0.001,2477
5,Cypher,15.3,14.7,4.5,0.506,0.055,203,0.001,10916
6,Brimstone,14.7,14.8,10.5,0.505,0.171,205,0.001,34218
7,Reyna,17.5,15.5,4.2,0.505,0.08199999999999999,237,0.002,16355
8,Jett,17.4,16.0,3.4,0.503,0.16399999999999998,236,0.002,32735
9,Raze,16.7,15.9,4.4,0.499,0.107,235,0.002,21305
10,Deadlock,15.7,15.1,3.7,0.498,0.034,216,0.001,6845
11,Skye,14.5,15.0,7.7,0.49700000000000005,0.017,198,0.001,3477
12,Breach,14.1,15.2,8.2,0.496,0.153,192,0.001,30629
13,KAY/O,14.6,15.5,10.0,0.491,0.01,204,0.001,1930
14,Fade,15.0,15.0,6.4,0.488,0.013000000000000001,202,0.001,2613
15,Omen,15.2,15.2,8.1,0.488,0.005,204,0.001,1083
16,Chamber,16.7,15.1,2.6,0.48700000000000004,0.039,220,0.002,7850
17,Gekko,14.1,15.0,4.7,0.483,0.004,190,0.001,822
18,Neon,16.5,16.6,4.3,0.473,0.015,228,0.002,2902
19,Viper,15.1,14.9,5.8,0.466,0.008,206,0.001,1630
20,Yoru,15.9,15.7,4.4,0.457,0.01,217,0.002,1952
21,Astra,15.2,14.8,7.0,0.44299999999999995,0.006,205,0.001,1120
22,Harbor,14.1,15.7,6.8,0.384,0.001,192,0.001,294
