Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Gekko,14.5,14.8,5.1,0.534,0.004,197,0.001,727
2,Brimstone,14.5,14.8,9.9,0.526,0.023,204,0.001,3769
3,Cypher,15.4,14.8,4.5,0.51,0.038,204,0.001,6293
4,Astra,15.4,14.7,7.4,0.508,0.018,205,0.001,2973
5,Killjoy,15.4,14.7,3.2,0.505,0.091,207,0.001,15020
6,Raze,16.6,16.1,4.5,0.502,0.038,235,0.002,6256
7,Sage,14.7,15.2,7.1,0.501,0.027,201,0.001,4495
8,Jett,17.4,16.1,3.4,0.5,0.193,235,0.002,31832
9,Phoenix,17.2,15.8,4.7,0.499,0.03,237,0.002,4951
10,Breach,14.5,15.4,8.1,0.499,0.027,198,0.001,4496
11,Skye,14.6,15.3,7.8,0.497,0.052,199,0.001,8542
12,Deadlock,15.5,15.2,3.6,0.494,0.0289999999999999,230,0.001,4860
13,Sova,14.8,14.8,5.7,0.493,0.12,202,0.001,19699
14,Omen,14.7,15.0,8.7,0.492,0.143,200,0.001,23543
15,Viper,15.7,14.7,5.6,0.491,0.001,215,0.001,167
16,Neon,16.0,16.4,3.9,0.489,0.005,222,0.002,742
17,Fade,14.9,15.0,6.7,0.489,0.011,201,0.001,1867
18,Reyna,17.4,16.0,4.2,0.485,0.093,236,0.002,15262
19,Yoru,16.0,15.9,4.5,0.483,0.008,219,0.002,1327
20,Chamber,16.7,15.4,2.6,0.479,0.0409999999999999,219,0.002,6726
21,KAY/O,14.8,15.6,9.6,0.452,0.0069999999999999,209,0.001,1202
22,Harbor,14.5,16.1,6.2,0.402,0.001,193,0.001,87
1,Brimstone,14.5,14.8,10.6,0.535,0.023,204,0.001,4723
2,Viper,14.8,14.9,6.1,0.525,0.002,200,0.001,316
3,Gekko,14.7,15.2,5.1,0.525,0.003,197,0.001,604
4,Phoenix,17.0,15.8,4.9,0.515,0.0409999999999999,233,0.002,8439
5,Sage,14.8,15.1,6.9,0.508,0.013,202,0.001,2584
6,Deadlock,15.6,15.2,3.7,0.507,0.0289999999999999,206,0.001,6004
7,Yoru,16.0,15.8,4.5,0.502,0.01,218,0.002,2031
8,Raze,16.7,16.1,4.7,0.502,0.031,235,0.002,6280
9,Reyna,17.2,15.8,4.3,0.502,0.106,234,0.002,21659
10,Killjoy,15.2,14.7,3.3,0.501,0.087,205,0.001,17872
11,Cypher,15.3,14.9,4.6,0.501,0.046,203,0.001,9457
12,Sova,14.8,14.8,5.9,0.498,0.136,203,0.001,27868
13,Omen,14.7,15.1,9.2,0.494,0.143,199,0.001,29278
14,Chamber,16.8,15.2,2.6,0.493,0.035,220,0.002,7070
15,Jett,17.2,16.1,3.4,0.493,0.192,232,0.002,39209
16,Skye,14.5,15.2,7.9,0.492,0.048,198,0.001,9725
17,Fade,14.4,15.0,7.2,0.489,0.008,198,0.001,1734
18,Astra,15.3,14.7,7.6,0.484,0.018,204,0.001,3683
19,Neon,16.2,16.8,4.0,0.465,0.004,217,0.002,800
20,Breach,14.6,15.6,8.5,0.465,0.019,199,0.001,3861
21,KAY/O,14.8,15.9,10.5,0.4539999999999999,0.006,208,0.001,1209
22,Harbor,14.4,15.9,6.9,0.345,0.001,199,0.001,148
1,Neon,16.6,16.8,4.2,0.5429999999999999,0.004,226,0.002,422
2,Sage,15.1,15.2,6.9,0.536,0.013,205,0.001,1416
3,Gekko,14.4,15.2,5.1,0.526,0.003,194,0.001,270
4,Fade,15.0,15.3,7.1,0.523,0.0069999999999999,200,0.001,789
5,Phoenix,17.2,15.9,4.8,0.522,0.039,234,0.002,4186
6,Brimstone,14.4,14.8,10.5,0.521,0.017,203,0.001,1824
7,Killjoy,15.7,14.8,3.2,0.514,0.104,210,0.001,11001
8,Yoru,16.3,15.9,4.7,0.508,0.008,220,0.002,839
9,Reyna,17.5,15.9,4.2,0.506,0.103,235,0.002,10953
10,Jett,17.4,16.2,3.3,0.504,0.204,234,0.002,21633
11,Sova,14.9,14.7,5.9,0.502,0.144,204,0.001,15304
12,Skye,14.6,15.2,8.0,0.502,0.036,199,0.001,3855
13,Omen,14.7,15.0,9.2,0.501,0.155,199,0.001,16459
14,Astra,15.4,14.8,7.8,0.498,0.016,205,0.001,1676
15,Deadlock,15.8,15.3,3.7,0.497,0.02,207,0.001,2096
16,Chamber,16.7,15.3,2.4,0.494,0.0289999999999999,219,0.002,3092
17,Raze,16.6,16.0,4.5,0.491,0.026,236,0.002,2802
18,Cypher,15.3,15.0,4.4,0.482,0.042,201,0.001,4492
19,Breach,14.5,15.4,8.4,0.477,0.023,195,0.001,2479
20,Viper,15.7,15.1,5.2,0.4629999999999999,0.001,217,0.001,123
21,KAY/O,14.9,15.6,10.2,0.4429999999999999,0.005,209,0.001,522
22,Harbor,15.0,15.8,6.0,0.35,0.0,200,0.001,20
