Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Neon,16.6,16.8,4.2,0.5429999999999999,0.004,226,0.002,422
2,Sage,15.1,15.2,6.9,0.536,0.013000000000000001,205,0.001,1416
3,Gekko,14.4,15.2,5.1,0.526,0.003,194,0.001,270
4,Fade,15.0,15.3,7.1,0.523,0.006999999999999999,200,0.001,789
5,Phoenix,17.2,15.9,4.8,0.522,0.039,234,0.002,4186
6,Brimstone,14.4,14.8,10.5,0.521,0.017,203,0.001,1824
7,Killjoy,15.7,14.8,3.2,0.514,0.10400000000000001,210,0.001,11001
8,Yoru,16.3,15.9,4.7,0.508,0.008,220,0.002,839
9,Reyna,17.5,15.9,4.2,0.506,0.10300000000000001,235,0.002,10953
10,Jett,17.4,16.2,3.3,0.504,0.204,234,0.002,21633
11,Sova,14.9,14.7,5.9,0.502,0.14400000000000002,204,0.001,15304
12,Skye,14.6,15.2,8.0,0.502,0.036000000000000004,199,0.001,3855
13,Omen,14.7,15.0,9.2,0.501,0.155,199,0.001,16459
14,Astra,15.4,14.8,7.8,0.498,0.016,205,0.001,1676
15,Deadlock,15.8,15.3,3.7,0.49700000000000005,0.02,207,0.001,2096
16,Chamber,16.7,15.3,2.4,0.494,0.028999999999999998,219,0.002,3092
17,Raze,16.6,16.0,4.5,0.491,0.026000000000000002,236,0.002,2802
18,Cypher,15.3,15.0,4.4,0.48200000000000004,0.042,201,0.001,4492
19,Breach,14.5,15.4,8.4,0.47700000000000004,0.023,195,0.001,2479
20,Viper,15.7,15.1,5.2,0.46299999999999997,0.001,217,0.001,123
21,KAY/O,14.9,15.6,10.2,0.44299999999999995,0.005,209,0.001,522
22,Harbor,15.0,15.8,6.0,0.35,0.0,200,0.001,20
