Rank,Agent,Kills,Deaths,Assists,Win %,Pick %,Avg. Score,First Blood %,Matches
1,Sage,14.7,14.9,6.9,0.524,0.016,201,0.001,2586
2,Brimstone,14.6,14.9,10.0,0.515,0.017,205,0.001,2832
3,Gekko,14.3,15.0,4.8,0.514,0.044,190,0.001,7105
4,Viper,15.8,14.8,5.9,0.513,0.01,215,0.001,1597
5,Fade,15.1,15.0,6.8,0.508,0.0139999999999999,203,0.001,2262
6,Killjoy,15.2,14.5,3.3,0.507,0.093,206,0.001,15067
7,Cypher,15.0,14.6,4.3,0.504,0.017,200,0.001,2757
8,Reyna,17.6,15.7,4.2,0.503,0.072,238,0.002,11626
9,Phoenix,17.4,15.7,4.7,0.503,0.011,239,0.001,1731
10,Raze,17.0,16.0,4.5,0.502,0.108,241,0.002,17454
11,Skye,14.4,15.0,8.7,0.499,0.071,195,0.001,11501
12,Jett,17.5,16.2,3.4,0.498,0.157,238,0.002,25375
13,Omen,15.0,15.1,8.5,0.498,0.133,202,0.001,21560
14,Harbor,14.2,15.0,6.8,0.494,0.012,192,0.001,1904
15,Astra,15.2,14.5,7.2,0.493,0.023,205,0.001,3698
16,Neon,16.6,16.8,4.3,0.493,0.009,227,0.002,1427
17,Sova,14.9,14.8,6.0,0.489,0.0069999999999999,206,0.001,1075
18,Chamber,16.8,15.1,2.5,0.489,0.073,221,0.002,11763
19,Breach,14.2,15.2,8.0,0.488,0.066,194,0.001,10733
20,Deadlock,15.8,15.1,3.7,0.487,0.035,216,0.001,5711
21,Yoru,16.2,16.0,4.4,0.452,0.009,221,0.002,1440
22,KAY/O,14.8,15.7,10.6,0.452,0.005,207,0.001,790
1,Brimstone,14.7,14.8,10.7,0.5329999999999999,0.016,207,0.001,3231
2,Viper,15.3,14.6,6.1,0.525,0.01,211,0.001,1949
3,Sage,14.8,14.9,7.0,0.518,0.008,202,0.001,1699
4,Raze,17.0,16.0,4.6,0.511,0.113,241,0.002,22659
5,Killjoy,15.3,14.4,3.3,0.509,0.093,206,0.001,18586
6,Fade,14.9,15.1,7.1,0.506,0.013,200,0.001,2542
7,Skye,14.5,15.0,8.9,0.503,0.09,196,0.001,18105
8,Jett,17.4,16.1,3.4,0.502,0.159,236,0.002,31896
9,Sova,14.9,14.6,6.4,0.501,0.0069999999999999,209,0.001,1308
10,Phoenix,17.0,15.5,4.6,0.5,0.011,235,0.002,2276
11,Deadlock,15.5,15.0,3.7,0.499,0.035,248,0.001,7109
12,Omen,14.8,15.1,8.9,0.498,0.133,201,0.001,26631
13,Chamber,16.7,15.1,2.5,0.496,0.066,220,0.002,13273
14,Gekko,14.3,15.0,4.9,0.495,0.034,190,0.001,6741
15,Breach,14.3,15.2,8.1,0.494,0.0559999999999999,194,0.001,11299
16,Cypher,15.1,14.7,4.6,0.493,0.017,202,0.001,3366
17,Reyna,17.5,15.7,4.2,0.492,0.08,237,0.002,16048
18,Astra,15.2,14.7,7.4,0.484,0.026,203,0.001,5202
19,Yoru,16.4,16.1,4.4,0.481,0.01,222,0.002,1918
20,Neon,16.4,16.5,4.3,0.471,0.009,227,0.002,1783
21,KAY/O,14.7,15.8,10.5,0.455,0.004,207,0.001,822
22,Harbor,14.4,15.4,6.9,0.4539999999999999,0.01,192,0.001,1921
1,Sage,15.1,14.8,6.8,0.5660000000000001,0.008,205,0.001,834
2,Viper,16.0,14.5,5.9,0.55,0.009,217,0.001,964
3,Sova,15.3,14.6,6.5,0.5329999999999999,0.008,213,0.001,836
4,Yoru,16.4,16.0,4.5,0.525,0.008,223,0.002,846
5,Phoenix,17.4,15.3,4.6,0.524,0.01,238,0.001,1050
6,Deadlock,16.0,15.0,3.7,0.523,0.024,210,0.001,2523
7,Raze,17.2,16.1,4.5,0.514,0.114,242,0.002,11867
8,Killjoy,15.4,14.6,3.2,0.512,0.105,206,0.001,10964
9,Neon,16.7,16.9,4.3,0.509,0.009,228,0.002,977
10,Jett,17.6,16.2,3.3,0.505,0.1669999999999999,237,0.002,17381
11,Brimstone,14.6,14.9,10.6,0.505,0.012,204,0.001,1285
12,Gekko,14.8,15.0,4.8,0.503,0.034,194,0.001,3485
13,Astra,15.4,14.7,7.6,0.501,0.021,204,0.001,2165
14,Omen,15.1,15.2,9.0,0.499,0.15,202,0.001,15546
15,Reyna,17.7,15.7,4.2,0.497,0.07,238,0.002,7281
16,Skye,14.4,15.1,9.1,0.497,0.091,194,0.001,9494
17,Cypher,15.4,14.9,4.5,0.493,0.016,203,0.001,1632
18,KAY/O,15.0,15.4,10.5,0.49,0.002,208,0.001,241
19,Fade,14.9,15.1,7.4,0.487,0.013,202,0.001,1336
20,Breach,14.1,15.2,8.2,0.484,0.057,192,0.001,5955
21,Chamber,16.8,15.3,2.4,0.476,0.065,220,0.002,6707
22,Harbor,14.3,15.0,6.9,0.447,0.006,196,0.001,586
